"annotation_abrv","annotation_names","parcellation_group","graph_order","ControlVnoTrauma_z","ControlVnoTrauma_p","ControlVTrauma_z","ControlVTrauma_p","TraumaVnoTrauma_t","TraumaVnoTrauma_p","Model_p","Model_padj","Model_fdr","NTvsT_padj","NTvsT_fdr"
"GPe","Globus pallidus, external segment","cerebral_nuclei","610",3.50932269093514,0.000449249486876655,0.752809831953528,0.45156419771173,-2.93093217013634,0.00337946562410618,0.00198901036109411,0.0176280918277361,TRUE,0.037680197753019,TRUE
"TRS","Triangular nucleus of septum","cerebral_nuclei","619",-0.581337202450368,0.561013211971815,0.162796423172267,0.870678724594481,0.789058947546286,0.43007755433136,0.7179131830361,0.809182351669582,FALSE,NA,NA
"AV","Anteroventral nucleus of thalamus","diencephalon","675",-0.876753687300736,0.380620439125474,-1.22424379250162,0.220860273489815,-0.368453552511184,0.71253507247938,0.460292148669154,0.589382581298746,FALSE,NA,NA
"ECU","External cuneate nucleus","hindbrain","929",0.621623554069821,0.534189429285476,0.838742064644531,0.401614067886507,0.230479472610671,0.817719212642952,0.70369830732868,0.799174962091868,FALSE,NA,NA
"PERI6b","Perirhinal area, layer 6b","cortical_plate","369",2.86499938215063,0.00417010055844134,2.87854409531711,0.00399515424228046,0.0144627266732205,0.988460815957806,0.0144354066119974,0.0652480378862282,FALSE,NA,NA
"ORBl5","Orbital area, lateral part, layer 5","cortical_plate","261",1.67638321461241,0.093663154608566,1.30222534731429,0.192839362704596,-0.397677501328192,0.69086792388966,0.25858301535722,0.392213164233098,FALSE,NA,NA
"TEa4","Temporal association areas, layer 4","cortical_plate","363",3.53605371828263,0.000406152096426547,2.60800191344425,0.00910724452971615,-0.988551010423582,0.322882865142327,0.00669965763060787,0.0398453322241415,TRUE,0.509815050224727,FALSE
"PL1","Prelimbic area, layer 1","cortical_plate","239",4.27172276400625,1.93968629870173e-05,3.09503100345441,0.0019679232538078,-1.25313984941282,0.210154815866683,0.0012810042436443,0.0141222906860299,TRUE,0.38581885223727,FALSE
"GPi","Globus pallidus, internal segment","cerebral_nuclei","611",-0.334796098798405,0.737778903568361,-1.44289325420605,0.149050543738794,-1.17487009894268,0.240046689898439,0.325378644830253,0.459597335822733,FALSE,NA,NA
"VISal6a","Anterolateral visual area, layer 6a","cortical_plate","169",1.22674112584173,0.219919905129074,0.681174993797674,0.495760768815391,-0.579294222516989,0.562390663209928,0.484353451843481,0.611541397658272,FALSE,NA,NA
