annotation_labels,annotation_names,annotation_abrv,annotation_graph_order,volumes,parcellation_group
319,Basomedial amygdalar nucleus,BMA,566,69327,cortical_subplate
583,Claustrum,CLA,557,31625,cortical_subplate
942,Endopiriform nucleus,EP,558,,cortical_subplate
131,Lateral amygdalar nucleus,LA,561,41076,cortical_subplate
16,"Layer 6b, isocortex",6b,556,,cortical_subplate
780,Posterior amygdalar nucleus,PA,569,20241,cortical_subplate
10675,"Crus 1, granular layer",ANcr1gr,1055,,cerebellum
10677,"Crus 1, molecular layer",ANcr1mo,1053,,cerebellum
10676,"Crus 1, Purkinje layer",ANcr1pu,1054,,cerebellum
10678,"Crus 2, granular layer",ANcr2gr,1059,,cerebellum
10680,"Crus 2, molecular layer",ANcr2mo,1057,,cerebellum
10679,"Crus 2, Purkinje layer",ANcr2pu,1058,,cerebellum
992,Lobule IV,CUL4,1014,,cerebellum
1001,Lobule V,CUL5,1018,,cerebellum
1091,Lobules IV-V,"CUL4, 5",1022,,cerebellum
10723,"Declive (VI), granular layer",DECgr,1029,,cerebellum
10725,"Declive (VI), molecular layer",DECmo,1027,,cerebellum
10724,"Declive (VI), Purkinje layer",DECpu,1028,,cerebellum
734,Dentate gyrus crest,DGcr,478,,cortical_plate
766,Dentate gyrus lateral blade,DGlb,482,,cortical_plate
799,Dentate gyrus medial blade,DGmb,486,,cortical_plate
10702,"Dentate gyrus, subgranular zone",DG-sgz,477,,cortical_plate
758,"Dentate gyrus crest, granule cell layer",DGcr-sg,481,,cortical_plate
742,"Dentate gyrus crest, molecular layer",DGcr-mo,479,,cortical_plate
751,"Dentate gyrus crest, polymorph layer",DGcr-po,480,,cortical_plate
790,"Dentate gyrus lateral blade, granule cell layer",DGlb-sg,485,,cortical_plate
775,"Dentate gyrus lateral blade, molecular layer",DGlb-mo,483,,cortical_plate
782,"Dentate gyrus lateral blade, polymorph layer",DGlb-po,484,,cortical_plate
823,"Dentate gyrus medial blade, granule cell layer",DGmb-sg,489,,cortical_plate
807,"Dentate gyrus medial blade, molecular layer",DGmb-mo,487,,cortical_plate
815,"Dentate gyrus medial blade, polymorph layer",DGmb-po,488,,cortical_plate
480149230,Laterolateral anterior visual area,VISlla,129,,cortical_plate
496345668,"Dorsal part of the lateral geniculate complex, core",LGd-co,664,,diencephalon
496345672,"Dorsal part of the lateral geniculate complex, ipsilateral zone",LGd-ip,665,,diencephalon
496345664,"Dorsal part of the lateral geniculate complex, shell",LGd-sh,663,,diencephalon
496,"Dorsal peduncular area, layer 1",DP1,411,,cortical_plate
535,"Dorsal peduncular area, layer 2",DP2,412,,cortical_plate
360,"Dorsal peduncular area, layer 2/3",DP2/3,413,,cortical_plate
646,"Dorsal peduncular area, layer 5",DP5,414,,cortical_plate
267,"Dorsal peduncular area, layer 6a",DP6a,415,,cortical_plate
668,"Dorsomedial nucleus of the hypothalamus, anterior part",DMHa,740,,diencephalon
676,"Dorsomedial nucleus of the hypothalamus, posterior part",DMHp,741,,diencephalon
684,"Dorsomedial nucleus of the hypothalamus, ventral part",DMHv,742,,diencephalon
1121,"Entorhinal area, lateral part, layer 1",ENTl1,495,,cortical_plate
20,"Entorhinal area, lateral part, layer 2",ENTl2,496,,cortical_plate
999,"Entorhinal area, lateral part, layer 2/3",ENTl2/3,497,,cortical_plate
715,"Entorhinal area, lateral part, layer 2a",ENTl2a,498,,cortical_plate
764,"Entorhinal area, lateral part, layer 2b",ENTl2b,499,,cortical_plate
52,"Entorhinal area, lateral part, layer 3",ENTl3,500,,cortical_plate
92,"Entorhinal area, lateral part, layer 4",ENTl4,501,,cortical_plate
312,"Entorhinal area, lateral part, layer 4/5",ENTl4/5,502,,cortical_plate
139,"Entorhinal area, lateral part, layer 5",ENTl5,503,,cortical_plate
387,"Entorhinal area, lateral part, layer 5/6",ENTl5/6,504,,cortical_plate
28,"Entorhinal area, lateral part, layer 6a",ENTl6a,505,,cortical_plate
60,"Entorhinal area, lateral part, layer 6b",ENTl6b,506,,cortical_plate
526,"Entorhinal area, medial part, dorsal zone, layer 1",ENTm1,508,,cortical_plate
543,"Entorhinal area, medial part, dorsal zone, layer 2",ENTm2,509,,cortical_plate
468,"Entorhinal area, medial part, dorsal zone, layer 2a",ENTm2a,510,,cortical_plate
508,"Entorhinal area, medial part, dorsal zone, layer 2b",ENTm2b,511,,cortical_plate
664,"Entorhinal area, medial part, dorsal zone, layer 3",ENTm3,512,,cortical_plate
712,"Entorhinal area, medial part, dorsal zone, layer 4",ENTm4,513,,cortical_plate
727,"Entorhinal area, medial part, dorsal zone, layer 5",ENTm5,514,,cortical_plate
550,"Entorhinal area, medial part, dorsal zone, layer 5/6",ENTm5/6,515,,cortical_plate
743,"Entorhinal area, medial part, dorsal zone, layer 6",ENTm6,516,,cortical_plate
259,"Entorhinal area, medial part, ventral zone, layer 1",ENTmv1,518,,cortical_plate
324,"Entorhinal area, medial part, ventral zone, layer 2",ENTmv2,519,,cortical_plate
371,"Entorhinal area, medial part, ventral zone, layer 3",ENTmv3,520,,cortical_plate
419,"Entorhinal area, medial part, ventral zone, layer 4",ENTmv4,521,,cortical_plate
1133,"Entorhinal area, medial part, ventral zone, layer 5/6",ENTmv5/6,522,,cortical_plate
186,Lateral habenula,LH,713,20631,diencephalon
483,Medial habenula,MH,712,19039,diencephalon
953,Pineal body,PIN,714,,diencephalon
407,"Field CA1, pyramidal layer",CA1sp,460,,cortical_plate
391,"Field CA1, stratum lacunosum-moleculare",CA1slm,458,,cortical_plate
399,"Field CA1, stratum oriens",CA1so,459,,cortical_plate
415,"Field CA1, stratum radiatum",CA1sr,461,,cortical_plate
446,"Field CA2, pyramidal layer",CA2sp,465,,cortical_plate
431,"Field CA2, stratum lacunosum-moleculare",CA2slm,463,,cortical_plate
438,"Field CA2, stratum oriens",CA2so,464,,cortical_plate
454,"Field CA2, stratum radiatum",CA2sr,466,,cortical_plate
495,"Field CA3, pyramidal layer",CA3sp,471,,cortical_plate
471,"Field CA3, stratum lacunosum-moleculare",CA3slm,468,,cortical_plate
479,"Field CA3, stratum lucidum",CA3slu,469,,cortical_plate
486,"Field CA3, stratum oriens",CA3so,470,,cortical_plate
504,"Field CA3, stratum radiatum",CA3sr,472,,cortical_plate
10690,"Flocculus, granular layer",FLgr,1075,,cerebellum
10692,"Flocculus, molecular layer",FLmo,1073,,cerebellum
10691,"Flocculus, Purkinje layer",FLpu,1074,,cerebellum
10726,"Folium-tuber vermis (VII), granular layer",FOTUgr,1033,,cerebellum
10728,"Folium-tuber vermis (VII), molecular layer",FOTUmo,1031,,cerebellum
10727,"Folium-tuber vermis (VII), Purkinje layer",FOTUpu,1032,,cerebellum
526157192,"Frontal pole, layer 5",FRP5,9,,cortical_plate
526157196,"Frontal pole, layer 6a",FRP6a,10,,cortical_plate
526322264,"Frontal pole, layer 6b",FRP6b,11,,cortical_plate
170,Dorsal part of the lateral geniculate complex,LGd,662,46211,diencephalon
475,Medial geniculate complex,MG,658,30179,diencephalon
27,Intergeniculate leaflet of the lateral geniculate complex,IGL,705,4556,diencephalon
563807439,Intermediate geniculate nucleus,IntG,706,,diencephalon
321,Subgeniculate nucleus,SubG,710,1726,diencephalon
178,Ventral part of the lateral geniculate complex,LGv,707,25851,diencephalon
354,Medulla,MY,918,575501,hindbrain
771,Pons,P,867,384669,hindbrain
1080,Hippocampal region,HIP,455,,cortical_plate
822,Retrohippocampal region,RHP,492,,cortical_plate
375,Ammon's horn,CA,456,,cortical_plate
726,Dentate gyrus,DG,473,,cortical_plate
194,Lateral hypothalamic area,LHA,790,218492,diencephalon
226,Lateral preoptic area,LPO,791,65423,diencephalon
364,Parasubthalamic nucleus,PSTN,793,3901,diencephalon
576073704,Perifornical nucleus,PeF,794,,diencephalon
356,Preparasubthalamic nucleus,PST,792,912,diencephalon
173,Retrochiasmatic area,RCH,795,16634,diencephalon
470,Subthalamic nucleus,STN,796,11971,diencephalon
614,Tuberal nucleus,TU,797,30356,diencephalon
797,Zona incerta,ZI,798,88068,diencephalon
88,Anterior hypothalamic nucleus,AHN,757,49955,diencephalon
980,Dorsal premammillary nucleus,PMd,776,5281,diencephalon
331,Mammillary body,MBO,762,,diencephalon
515,Medial preoptic nucleus,MPN,772,13213,diencephalon
63,"Paraventricular hypothalamic nucleus, descending division",PVHd,778,3051,diencephalon
946,Posterior hypothalamic nucleus,PH,788,47189,diencephalon
1004,Ventral premammillary nucleus,PMv,777,5630,diencephalon
693,Ventromedial hypothalamic nucleus,VMH,783,29872,diencephalon
290,Hypothalamic lateral zone,LZ,789,,diencephalon
467,Hypothalamic medial zone,MEZ,756,,diencephalon
10671,Median eminence,ME,801,,diencephalon
141,Periventricular region,PVR,734,,diencephalon
157,Periventricular zone,PVZ,716,,diencephalon
811,"Inferior colliculus, central nucleus",ICc,809,,midbrain
820,"Inferior colliculus, dorsal nucleus",ICd,810,,midbrain
828,"Inferior colliculus, external nucleus",ICe,811,,midbrain
747,"Infralimbic area, layer 2",ILA2,247,,cortical_plate
1097,Hypothalamus,HY,715,232031,diencephalon
549,Thalamus,TH,641,295591,diencephalon
575,Central lateral nucleus of the thalamus,CL,700,15427,diencephalon
599,Central medial nucleus of the thalamus,CM,698,10754,diencephalon
907,Paracentral nucleus,PCN,699,16836,diencephalon
930,Parafascicular nucleus,PF,701,26914,diencephalon
560581563,Posterior intralaminar thalamic nucleus,PIL,702,,diencephalon
189,Rhomboid nucleus,RH,697,4099,diencephalon
95,Agranular insular area,AI,278,,cortical_plate
31,Anterior cingulate area,ACA,220,,cortical_plate
247,Auditory areas,AUD,121,,cortical_plate
895,Ectorhinal area,ECT,373,101,cortical_plate
184,"Frontal pole, cerebral cortex",FRP,6,,cortical_plate
1057,Gustatory areas,GU,107,,cortical_plate
44,Infralimbic area,ILA,245,,cortical_plate
714,Orbital area,ORB,252,,cortical_plate
922,Perirhinal area,PERI,367,,cortical_plate
22,Posterior parietal association areas,PTLp,339,,cortical_plate
972,Prelimbic area,PL,238,,cortical_plate
254,Retrosplenial area,RSP,297,,cortical_plate
500,Somatomotor areas,MO,12,,cortical_plate
453,Somatosensory areas,SS,30,,cortical_plate
541,Temporal association areas,TEa,360,,cortical_plate
677,Visceral area,VISC,114,,cortical_plate
669,Visual areas,VIS,157,,cortical_plate
560581551,Ethmoid nucleus of the thalamus,Eth,672,,diencephalon
218,Lateral posterior nucleus of the thalamus,LP,668,69350,diencephalon
1020,Posterior complex of the thalamus,PO,669,75867,diencephalon
1029,Posterior limiting nucleus of the thalamus,POL,670,6759,diencephalon
560581555,Retroethmoid nucleus,REth,673,,diencephalon
325,Suprageniculate nucleus,SGN,671,2009,diencephalon
955,"Lateral reticular nucleus, magnocellular part",LRNm,965,,hindbrain
963,"Lateral reticular nucleus, parvicellular part",LRNp,966,,hindbrain
242,Lateral septal nucleus,LS,586,,cerebral_nuclei
310,Septofimbrial nucleus,SF,590,16876,cerebral_nuclei
333,Septohippocampal nucleus,SH,591,2365,cerebral_nuclei
312782578,"Laterointermediate area, layer 1",VISli1,207,,cortical_plate
312782582,"Laterointermediate area, layer 2/3",VISli2/3,208,,cortical_plate
312782586,"Laterointermediate area, layer 4",VISli4,209,,cortical_plate
312782590,"Laterointermediate area, layer 5",VISli5,210,,cortical_plate
312782594,"Laterointermediate area, layer 6a",VISli6a,211,,cortical_plate
312782598,"Laterointermediate area, layer 6b",VISli6b,212,,cortical_plate
480149234,"Laterolateral anterior visual area, layer 1",VISlla1,130,,cortical_plate
480149238,"Laterolateral anterior visual area, layer 2/3",VISlla2/3,131,,cortical_plate
480149242,"Laterolateral anterior visual area, layer 4",VISlla4,132,,cortical_plate
480149250,"Laterolateral anterior visual area, layer 6a",VISlla6a,134,,cortical_plate
480149254,"Laterolateral anterior visual area, layer 6b",VISlla6b,135,,cortical_plate
480149246,"Laterolateral anterior visual area,layer 5",VISlla5,133,,cortical_plate
10705,"Lingula (I), granular layer",LINGgr,1003,,cerebellum
10707,"Lingula (I), molecular layer",LINGmo,1001,,cerebellum
10706,"Lingula (I), Purkinje layer",LINGpu,1002,,cerebellum
10708,"Lobule II, granular layer",CENT2gr,1008,,cerebellum
10710,"Lobule II, molecular layer",CENT2mo,1006,,cerebellum
10709,"Lobule II, Purkinje layer",CENT2pu,1007,,cerebellum
10711,"Lobule III, granular layer",CENT3gr,1012,,cerebellum
10713,"Lobule III, molecular layer",CENT3mo,1010,,cerebellum
10712,"Lobule III, Purkinje layer",CENT3pu,1011,,cerebellum
10714,"Lobule IV, granular layer",CUL4gr,1017,,cerebellum
10716,"Lobule IV, molecular layer",CUL4mo,1015,,cerebellum
10715,"Lobule IV, Purkinje layer",CUL4pu,1016,,cerebellum
10717,"Lobule V, granular layer",CUL5gr,1021,,cerebellum
10719,"Lobule V, molecular layer",CUL5mo,1019,,cerebellum
10718,"Lobule V, Purkinje layer",CUL5pu,1020,,cerebellum
10720,"Lobules IV-V, granular layer","CUL4, 5gr",1025,,cerebellum
10722,"Lobules IV-V, molecular layer","CUL4, 5mo",1023,,cerebellum
10721,"Lobules IV-V, Purkinje layer","CUL4, 5pu",1024,,cerebellum
212,"Main olfactory bulb, glomerular layer",MOBgl,381,,cortical_plate
220,"Main olfactory bulb, granule layer",MOBgr,382,,cortical_plate
228,"Main olfactory bulb, inner plexiform layer",MOBipl,383,,cortical_plate
236,"Main olfactory bulb, mitral layer",MOBmi,384,,cortical_plate
244,"Main olfactory bulb, outer plexiform layer",MOBopl,385,,cortical_plate
557,Tuberomammillary nucleus,TM,769,,diencephalon
411,"Medial amygdalar nucleus, anterodorsal part",MEAad,601,,cerebral_nuclei
418,"Medial amygdalar nucleus, anteroventral part",MEAav,602,,cerebral_nuclei
426,"Medial amygdalar nucleus, posterodorsal part",MEApd,603,,cerebral_nuclei
435,"Medial amygdalar nucleus, posteroventral part",MEApv,607,,cerebral_nuclei
472,"Medial amygdalar nucleus, posterodorsal part, sublayer a",MEApd-a,604,,cerebral_nuclei
480,"Medial amygdalar nucleus, posterodorsal part, sublayer b",MEApd-b,605,,cerebral_nuclei
487,"Medial amygdalar nucleus, posterodorsal part, sublayer c",MEApd-c,606,,cerebral_nuclei
1072,"Medial geniculate complex, dorsal part",MGd,659,,diencephalon
1088,"Medial geniculate complex, medial part",MGm,661,,diencephalon
1079,"Medial geniculate complex, ventral part",MGv,660,,diencephalon
59,Intermediodorsal nucleus of the thalamus,IMD,684,9498,diencephalon
362,Mediodorsal nucleus of thalamus,MD,685,86351,diencephalon
1077,Perireunensis nucleus,PR,690,1164,diencephalon
366,Submedial nucleus of the thalamus,SMT,689,11317,diencephalon
732,"Medial mammillary nucleus, median part",Mmme,765,,diencephalon
740,"Medial preoptic nucleus, central part",MPNc,773,,diencephalon
748,"Medial preoptic nucleus, lateral part",MPNl,774,,diencephalon
756,"Medial preoptic nucleus, medial part",MPNm,775,,diencephalon
596,Diagonal band nucleus,NDB,618,67827,cerebral_nuclei
564,Medial septal nucleus,MS,617,39040,cerebral_nuclei
480149318,"Medial visual area, layer 1",VISm1,319,,cortical_plate
480149322,"Medial visual area, layer 2/3",VISm2/3,320,,cortical_plate
480149326,"Medial visual area, layer 4",VISm4,321,,cortical_plate
480149334,"Medial visual area, layer 6a",VISm6a,323,,cortical_plate
480149338,"Medial visual area, layer 6b",VISm6b,324,,cortical_plate
480149330,"Medial visual area,layer 5",VISm5,322,,cortical_plate
617,"Mediodorsal nucleus of the thalamus, central part",MDc,686,,diencephalon
626,"Mediodorsal nucleus of the thalamus, lateral part",MDl,687,,diencephalon
636,"Mediodorsal nucleus of the thalamus, medial part",MDm,688,,diencephalon
480149262,"Mediomedial anterior visual area, layer 1",VISmma1,305,,cortical_plate
480149266,"Mediomedial anterior visual area, layer 2/3",VISmma2/3,306,,cortical_plate
480149270,"Mediomedial anterior visual area, layer 4",VISmma4,307,,cortical_plate
480149278,"Mediomedial anterior visual area, layer 6a",VISmma6a,309,,cortical_plate
480149282,"Mediomedial anterior visual area, layer 6b",VISmma6b,310,,cortical_plate
480149274,"Mediomedial anterior visual area,layer 5",VISmma5,308,,cortical_plate
480149290,"Mediomedial posterior visual area, layer 1",VISmmp1,312,,cortical_plate
480149294,"Mediomedial posterior visual area, layer 2/3",VISmmp2/3,313,,cortical_plate
480149298,"Mediomedial posterior visual area, layer 4",VISmmp4,314,,cortical_plate
480149306,"Mediomedial posterior visual area, layer 6a",VISmmp6a,316,,cortical_plate
480149310,"Mediomedial posterior visual area, layer 6b",VISmmp6b,317,,cortical_plate
480149302,"Mediomedial posterior visual area,layer 5",VISmmp5,315,,cortical_plate
379,"Medulla, behavioral state related",MY-sat,993,,hindbrain
370,"Medulla, motor related",MY-mot,947,,hindbrain
386,"Medulla, sensory related",MY-sen,919,,hindbrain
653,Abducens nucleus,VI,948,1290,hindbrain
568,Accessory abducens nucleus,ACVI,949,,hindbrain
576,Accessory facial motor nucleus,ACVII,951,350,hindbrain
839,Dorsal motor nucleus of the vagus nerve,DMX,956,5665,hindbrain
887,Efferent cochlear group,ECO,957,,hindbrain
640,Efferent vestibular nucleus,EV,952,,hindbrain
661,Facial motor nucleus,VII,950,51799,hindbrain
1048,Gigantocellular reticular nucleus,GRN,958,121816,hindbrain
773,Hypoglossal nucleus,XII,990,22521,hindbrain
83,Inferior olivary complex,IO,960,33071,hindbrain
106,Inferior salivatory nucleus,ISN,962,456,hindbrain
372,Infracerebellar nucleus,ICB,959,624,hindbrain
136,Intermediate reticular nucleus,IRN,961,153949,hindbrain
76,Interstitial nucleus of the vestibular nerve,INV,992,,hindbrain
235,Lateral reticular nucleus,LRN,964,31634,hindbrain
203,Linear nucleus of the medulla,LIN,963,1644,hindbrain
307,Magnocellular reticular nucleus,MARN,967,41122,hindbrain
395,Medullary reticular nucleus,MDRN,968,,hindbrain
135,Nucleus ambiguus,AMB,953,,hindbrain
765,Nucleus x,x,989,3979,hindbrain
781,Nucleus y,y,991,1672,hindbrain
938,Paragigantocellular reticular nucleus,PGRN,973,,hindbrain
995,Paramedian reticular nucleus,PMR,980,,hindbrain
1069,Parapyramidal nucleus,PPY,981,2505,hindbrain
859,Parasolitary nucleus,PAS,972,860,hindbrain
852,Parvicellular reticular nucleus,PARN,971,118338,hindbrain
154,Perihypoglossal nuclei,PHY,976,,hindbrain
701,Vestibular nuclei,VNC,984,,hindbrain
207,Area postrema,AP,920,2893,hindbrain
607,Cochlear nuclei,CN,921,,hindbrain
720,Dorsal column nuclei,DCN,926,,hindbrain
903,External cuneate nucleus,ECU,929,5822,hindbrain
651,Nucleus of the solitary tract,NTS,931,31890,hindbrain
642,Nucleus of the trapezoid body,NTB,930,6415,hindbrain
789,Nucleus z,z,946,,hindbrain
589508451,Paratrigeminal nucleus,Pa5,945,,hindbrain
429,"Spinal nucleus of the trigeminal, caudal part",SPVC,937,84534,hindbrain
437,"Spinal nucleus of the trigeminal, interpolar part",SPVI,938,75635,hindbrain
445,"Spinal nucleus of the trigeminal, oral part",SPVO,939,32813,hindbrain
348,"Midbrain, behavioral state related",MBsta,857,,midbrain
323,"Midbrain, motor related",MBmot,816,,midbrain
339,"Midbrain, sensory related",MBsen,803,,midbrain
539,"Midbrain reticular nucleus, magnocellular part",MRNm,821,,midbrain
548,"Midbrain reticular nucleus, magnocellular part, general",MRNmg,822,,midbrain
555,"Midbrain reticular nucleus, parvicellular part",MRNp,823,,midbrain
165,Midbrain raphe nuclei,RAmb,860,,midbrain
1052,Pedunculopontine nucleus,PPN,859,29476,midbrain
374,"Substantia nigra, compact part",SNc,858,13715,midbrain
231,Anterior tegmental nucleus,AT,852,998,midbrain
616,Cuneiform nucleus,CUN,845,18893,midbrain
75,Dorsal terminal nucleus of the accessory optic tract,DT,854,,midbrain
975,Edinger-Westphal nucleus,EW,849,2053,midbrain
549009207,Intercollicular nucleus,InCo,844,,midbrain
66,Lateral terminal nucleus of the accessory optic tract,LT,853,382,midbrain
549009211,Medial accesory oculomotor nucleus,MA3,848,,midbrain
58,Medial terminal nucleus of the accessory optic tract,MT,855,,midbrain
128,Midbrain reticular nucleus,MRN,820,311620,midbrain
246,"Midbrain reticular nucleus, retrorubral area",RR,819,27478,midbrain
35,Oculomotor nucleus,III,847,2303,midbrain
795,Periaqueductal gray,PAG,832,283394,midbrain
1100,Pretectal region,PRT,836,,midbrain
214,Red nucleus,RN,846,41425,midbrain
615,"Substantia nigra, lateral part",SNl,856,,midbrain
381,"Substantia nigra, reticular part",SNr,817,107010,midbrain
294,"Superior colliculus, motor related",SCm,824,,midbrain
115,Trochlear nucleus,IV,850,466,midbrain
749,Ventral tegmental area,VTA,818,51455,midbrain
757,Ventral tegmental nucleus,VTN,851,2406,midbrain
4,Inferior colliculus,IC,808,357773,midbrain
460,Midbrain trigeminal nucleus,MEV,815,2226,midbrain
580,Nucleus of the brachium of the inferior colliculus,NB,812,8983,midbrain
271,Nucleus sagulum,SAG,813,5980,midbrain
874,Parabigeminal nucleus,PBG,814,5430,midbrain
302,"Superior colliculus, sensory related",SCs,804,,midbrain
181,Nucleus of reuniens,RE,694,24576,diencephalon
15,Parataenial nucleus,PT,693,17129,diencephalon
149,Paraventricular nucleus of the thalamus,PVT,692,25631,diencephalon
560581559,Xiphoid thalamic nucleus,Xi,695,,diencephalon
10735,"Nodulus (X), granular layer",NODgr,1045,,cerebellum
10737,"Nodulus (X), molecular layer",NODmo,1043,,cerebellum
10736,"Nodulus (X), Purkinje layer",NODpu,1044,,cerebellum
82,"Nucleus of the lateral lemniscus, dorsal part",NLLd,870,,hindbrain
90,"Nucleus of the lateral lemniscus, horizontal part",NLLh,871,,hindbrain
99,"Nucleus of the lateral lemniscus, ventral part",NLLv,872,,hindbrain
392,"Nucleus of the lateral olfactory tract, layers 1-3",NLOT1-3,422,,cortical_plate
268,"Nucleus of the lateral olfactory tract, pyramidal layer",NLOT2,424,,cortical_plate
659,"Nucleus of the solitary tract, central part",NTSce,932,,hindbrain
666,"Nucleus of the solitary tract, commissural part",NTSco,933,,hindbrain
674,"Nucleus of the solitary tract, gelatinous part",NTSge,934,,hindbrain
682,"Nucleus of the solitary tract, lateral part",NTSl,935,,hindbrain
691,"Nucleus of the solitary tract, medial part",NTSm,936,,hindbrain
151,Accessory olfactory bulb,AOB,386,,cortical_plate
159,Anterior olfactory nucleus,AON,390,240263,cortical_plate
631,Cortical amygdalar area,COA,426,,cortical_plate
814,Dorsal peduncular area,DP,410,15028,cortical_plate
507,Main olfactory bulb,MOB,380,1028777,cortical_plate
619,Nucleus of the lateral olfactory tract,NLOT,421,,cortical_plate
961,Piriform area,PIR,416,822843,cortical_plate
788,Piriform-amygdalar area,PAA,444,45973,cortical_plate
566,Postpiriform transition area,TR,449,66078,cortical_plate
589,Taenia tecta,TT,398,98588,cortical_plate
481,Islands of Calleja,isl,578,,cerebral_nuclei
489,Major island of Calleja,islm,579,,cerebral_nuclei
144,"Olfactory tubercle, layers 1-3",OT1-3,580,,cerebral_nuclei
458,"Olfactory tubercle, molecular layer",OT1,581,,cerebral_nuclei
473,"Olfactory tubercle, polymorph layer",OT3,583,,cerebral_nuclei
465,"Olfactory tubercle, pyramidal layer",OT2,582,,cerebral_nuclei
723,"Orbital area, lateral part",ORBl,258,,cortical_plate
264,"Orbital area, layer 1",ORB1,253,,cortical_plate
492,"Orbital area, layer 2/3",ORB2/3,254,,cortical_plate
352,"Orbital area, layer 5",ORB5,255,,cortical_plate
476,"Orbital area, layer 6a",ORB6a,256,,cortical_plate
516,"Orbital area, layer 6b",ORB6b,257,,cortical_plate
731,"Orbital area, medial part",ORBm,264,,cortical_plate
738,"Orbital area, ventral part",ORBv,271,,cortical_plate
746,"Orbital area, ventrolateral part",ORBvl,272,,cortical_plate
524,"Orbital area, medial part, layer 2",ORBm2,266,,cortical_plate
527696977,"Orbital area, medial part, layer 6b",ORBm6b,270,,cortical_plate
809,"Pallidum, caudal region",PALc,620,,cerebral_nuclei
818,"Pallidum, dorsal region",PALd,609,,cerebral_nuclei
826,"Pallidum, medial region",PALm,615,,cerebral_nuclei
835,"Pallidum, ventral region",PALv,612,,cerebral_nuclei
351,Bed nuclei of the stria terminalis,BST,621,95464,cerebral_nuclei
287,Bed nucleus of the anterior commissure,BAC,638,478,cerebral_nuclei
1022,"Globus pallidus, external segment",GPe,610,103116,cerebral_nuclei
1031,"Globus pallidus, internal segment",GPi,611,27122,cerebral_nuclei
904,Medial septal complex,MSC,616,,cerebral_nuclei
581,Triangular nucleus of septum,TRS,619,13836,cerebral_nuclei
298,Magnocellular nucleus,MA,614,21620,cerebral_nuclei
342,Substantia innominata,SI,613,178368,cerebral_nuclei
123,Koelliker-Fuse subnucleus,KF,875,,hindbrain
881,"Parabrachial nucleus, lateral division",PBl,876,,hindbrain
890,"Parabrachial nucleus, medial division",PBm,882,,hindbrain
860,"Parabrachial nucleus, lateral division, central lateral part",PBlc,877,,hindbrain
868,"Parabrachial nucleus, lateral division, dorsal lateral part",PBld,878,,hindbrain
875,"Parabrachial nucleus, lateral division, external lateral part",PBle,879,,hindbrain
883,"Parabrachial nucleus, lateral division, superior lateral part",PBls,880,,hindbrain
891,"Parabrachial nucleus, lateral division, ventral lateral part",PBlv,881,,hindbrain
899,"Parabrachial nucleus, medial division, external medial part",PBme,883,,hindbrain
915,"Parabrachial nucleus, medial division, medial medial part",PBmm,884,,hindbrain
923,"Parabrachial nucleus, medial division, ventral medial part",PBmv,885,,hindbrain
10687,"Paraflocculus, granular layer",PFLgr,1071,,cerebellum
10689,"Paraflocculus, molecular layer",PFLmo,1069,,cerebellum
10688,"Paraflocculus, Purkinje layer",PFLpu,1070,,cerebellum
10681,"Paramedian lobule, granular layer",PRMgr,1063,,cerebellum
10683,"Paramedian lobule, molecular layer",PRMmo,1061,,cerebellum
10682,"Paramedian lobule, Purkinje layer",PRMpu,1062,,cerebellum
185,"Parapyramidal nucleus, deep part",PPYd,982,,hindbrain
193,"Parapyramidal nucleus, superficial part",PPYs,983,,hindbrain
10693,"Parasubiculum, layer 1",PAR1,524,,cortical_plate
10694,"Parasubiculum, layer 2",PAR2,525,,cortical_plate
10695,"Parasubiculum, layer 3",PAR3,526,,cortical_plate
71,"Paraventricular hypothalamic nucleus, magnocellular division",PVHm,721,,diencephalon
94,"Paraventricular hypothalamic nucleus, parvicellular division",PVHp,727,,diencephalon
439,"Paraventricular hypothalamic nucleus, descending division, dorsal parvicellular part",PVHdp,779,,diencephalon
447,"Paraventricular hypothalamic nucleus, descending division, forniceal part",PVHf,780,,diencephalon
455,"Paraventricular hypothalamic nucleus, descending division, lateral parvicellular part",PVHlp,781,,diencephalon
464,"Paraventricular hypothalamic nucleus, descending division, medial parvicellular part, ventral zone",PVHmpv,782,,diencephalon
47,"Paraventricular hypothalamic nucleus, magnocellular division, anterior magnocellular part",PVHam,722,,diencephalon
79,"Paraventricular hypothalamic nucleus, magnocellular division, medial magnocellular part",PVHmm,723,,diencephalon
103,"Paraventricular hypothalamic nucleus, magnocellular division, posterior magnocellular part",PVHpm,724,,diencephalon
652,"Paraventricular hypothalamic nucleus, magnocellular division, posterior magnocellular part, lateral zone",PVHpml,725,,diencephalon
660,"Paraventricular hypothalamic nucleus, magnocellular division, posterior magnocellular part, medial zone",PVHpmm,726,,diencephalon
55,"Paraventricular hypothalamic nucleus, parvicellular division, anterior parvicellular part",PVHap,728,,diencephalon
87,"Paraventricular hypothalamic nucleus, parvicellular division, medial parvicellular part, dorsal zone",PVHmpd,729,,diencephalon
110,"Paraventricular hypothalamic nucleus, parvicellular division, periventricular part",PVHpv,730,,diencephalon
67,Interstitial nucleus of Cajal,INC,834,3513,midbrain
587,Nucleus of Darkschewitsch,ND,835,1935,midbrain
50,Precommissural nucleus,PRC,833,5291,midbrain
161,Nucleus intercalatus,NIS,977,,hindbrain
