annotation_labels,annotation_names,annotation_abrv,annotation_graph_order,volumes,parcellation_group
910,"Orbital area, medial part, layer 6a",ORBm6a,269,6524,cortical_plate
969,"Orbital area, ventrolateral part, layer 1",ORBvl1,273,25156,cortical_plate
288,"Orbital area, ventrolateral part, layer 2/3",ORBvl2/3,274,35411,cortical_plate
1125,"Orbital area, ventrolateral part, layer 5",ORBvl5,275,15049,cortical_plate
608,"Orbital area, ventrolateral part, layer 6a",ORBvl6a,276,9998,cortical_plate
680,"Orbital area, ventrolateral part, layer 6b",ORBvl6b,277,76,cortical_plate
970,"Paragigantocellular reticular nucleus, dorsal part",PGRNd,974,9881,hindbrain
978,"Paragigantocellular reticular nucleus, lateral part",PGRNl,975,42251,hindbrain
540,"Perirhinal area, layer 1",PERI1,370,29487,cortical_plate
888,"Perirhinal area, layer 2/3",PERI2/3,372,46144,cortical_plate
692,"Perirhinal area, layer 5",PERI5,371,41974,cortical_plate
335,"Perirhinal area, layer 6a",PERI6a,368,16967,cortical_plate
368,"Perirhinal area, layer 6b",PERI6b,369,5078,cortical_plate
696,"Posterior auditory area, layer 1",AUDpo1,144,1728,cortical_plate
643,"Posterior auditory area, layer 2/3",AUDpo2/3,145,3137,cortical_plate
759,"Posterior auditory area, layer 4",AUDpo4,146,1356,cortical_plate
791,"Posterior auditory area, layer 5",AUDpo5,147,3728,cortical_plate
249,"Posterior auditory area, layer 6a",AUDpo6a,148,1307,cortical_plate
456,"Posterior auditory area, layer 6b",AUDpo6b,149,270,cortical_plate
750,"Posterolateral visual area, layer 1",VISpl1,193,4462,cortical_plate
269,"Posterolateral visual area, layer 2/3",VISpl2/3,194,9689,cortical_plate
869,"Posterolateral visual area, layer 4",VISpl4,195,3003,cortical_plate
902,"Posterolateral visual area, layer 5",VISpl5,196,14368,cortical_plate
377,"Posterolateral visual area, layer 6a",VISpl6a,197,9301,cortical_plate
393,"Posterolateral visual area, layer 6b",VISpl6b,198,126,cortical_plate
805,"posteromedial visual area, layer 1",VISpm1,200,11155,cortical_plate
41,"posteromedial visual area, layer 2/3",VISpm2/3,201,19917,cortical_plate
