"annotation_abrv","annotation_names","group","mean","sem","sd","var"
"ACAd6a","Anterior cingulate area, dorsal part, layer 6a","Control",102.375,29.6695716541857,83.9182212462994,7042.26785714286
"ACAd6a","Anterior cingulate area, dorsal part, layer 6a","No Trauma",162.2,23.493639801255,74.2934122995512,5519.51111111111
"ACAd6a","Anterior cingulate area, dorsal part, layer 6a","Trauma",108.6,18.9737830820436,60.0003703692273,3600.04444444444
"ACAd6b","Anterior cingulate area, dorsal part, layer 6b","Control",11.375,3.81228043864262,10.7827573997961,116.267857142857
"ACAd6b","Anterior cingulate area, dorsal part, layer 6b","No Trauma",8.2,1.28927197372091,4.07703596037884,16.6222222222222
"ACAd6b","Anterior cingulate area, dorsal part, layer 6b","Trauma",7.2,1.04136662345422,3.29309040939426,10.8444444444444
"ACAv6a","Anterior cingulate area, ventral part, 6a","Control",97.125,35.0603752220977,99.1657162819605,9833.83928571429
"ACAv6a","Anterior cingulate area, ventral part, 6a","No Trauma",117.8,17.4278193956929,55.1116039404488,3037.28888888889
"ACAv6a","Anterior cingulate area, ventral part, 6a","Trauma",93.2,14.97761292359,47.3633707509177,2243.28888888889
"ACAv6b","Anterior cingulate area, ventral part, 6b","Control",13.625,4.54319546134656,12.8500972758964,165.125
"ACAv6b","Anterior cingulate area, ventral part, 6b","No Trauma",10.9,2.00249843945008,6.33245607959503,40.1
"ACAv6b","Anterior cingulate area, ventral part, 6b","Trauma",9,2.21610268514595,7.00793201387621,49.1111111111111
"ACAv1","Anterior cingulate area, ventral part, layer 1","Control",117.875,29.1831883477946,82.5425215094793,6813.26785714286
"ACAv1","Anterior cingulate area, ventral part, layer 1","No Trauma",218.9,36.192218316465,114.449843454094,13098.7666666667
"ACAv1","Anterior cingulate area, ventral part, layer 1","Trauma",165.5,20.9492773675424,66.2474318160502,4388.72222222222
"ACAv2/3","Anterior cingulate area, ventral part, layer 2/3","Control",274.5,114.090189887525,322.695787745318,104132.571428571
"ACAv2/3","Anterior cingulate area, ventral part, layer 2/3","No Trauma",525.7,122.760204373314,388.201851847435,150700.677777778
"ACAv2/3","Anterior cingulate area, ventral part, layer 2/3","Trauma",422.4,87.0716435535193,275.344713243438,75814.7111111111
"ACAv5","Anterior cingulate area, ventral part, layer 5","Control",156,55.6141040692788,157.300440468006,24743.4285714286
"ACAv5","Anterior cingulate area, ventral part, layer 5","No Trauma",240.2,40.7266770338831,128.789060957141,16586.6222222222
"ACAv5","Anterior cingulate area, ventral part, layer 5","Trauma",184.4,29.9911838897885,94.8404508166801,8994.71111111111
"VISal1","Anterolateral visual area, layer 1","Control",5.375,1.28086884574495,3.62284418654736,13.125
"VISal1","Anterolateral visual area, layer 1","No Trauma",20.4,7.41050305684814,23.4340682672803,549.155555555556
"VISal1","Anterolateral visual area, layer 1","Trauma",8.9,3.44625400495475,10.8980120511342,118.766666666667
"VISal2/3","Anterolateral visual area, layer 2/3","Control",80.375,21.6687212853656,61.2883990420933,3756.26785714286
"VISal2/3","Anterolateral visual area, layer 2/3","No Trauma",348.2,117.18748511111,370.579366218178,137329.066666667
"VISal2/3","Anterolateral visual area, layer 2/3","Trauma",165.4,37.2254990265782,117.717363960368,13857.3777777778
"VISal4","Anterolateral visual area, layer 4","Control",12.375,4.93144972889022,13.9482461775153,194.553571428571
"VISal4","Anterolateral visual area, layer 4","No Trauma",86,48.542535757599,153.50497639418,23563.7777777778
"VISal4","Anterolateral visual area, layer 4","Trauma",26.2,7.19073477933004,22.7390999528712,517.066666666667
"VISal5","Anterolateral visual area, layer 5","Control",40.625,13.3803393881791,37.8453148638356,1432.26785714286
"VISal5","Anterolateral visual area, layer 5","No Trauma",154.5,78.7937180237105,249.167614267986,62084.5
"VISal5","Anterolateral visual area, layer 5","Trauma",70.8,19.8851144773616,62.8822532816516,3954.17777777778
"VISal6a","Anterolateral visual area, layer 6a","Control",50.25,9.85021754654615,27.860622493302,776.214285714286
"VISal6a","Anterolateral visual area, layer 6a","No Trauma",71,14.4368356027982,45.6532827102523,2084.22222222222
"VISal6a","Anterolateral visual area, layer 6a","Trauma",60.9,11.6804204642736,36.9367326955461,1364.32222222222
"VISal6b","Anterolateral visual area, layer 6b","Control",10.125,2.74146402493266,7.75403120963541,60.125
"VISal6b","Anterolateral visual area, layer 6b","No Trauma",7.2,1.2,3.79473319220206,14.4
"VISal6b","Anterolateral visual area, layer 6b","Trauma",6.1,1.53803626600791,4.86369772452561,23.6555555555556
"VISam1","Anteromedial visual area, layer 1","Control",20,11.4937871416319,32.5093393174507,1056.85714285714
"VISam1","Anteromedial visual area, layer 1","No Trauma",76.3,41.4546740428628,131.091189635307,17184.9
"VISam1","Anteromedial visual area, layer 1","Trauma",27.6,7.95012229116285,25.1404941169509,632.044444444444
"VISam2/3","Anteromedial visual area, layer 2/3","Control",36.125,23.4919724130849,66.4453319869586,4414.98214285714
"VISam2/3","Anteromedial visual area, layer 2/3","No Trauma",247,145.551212827498,460.273348734809,211851.555555556
"VISam2/3","Anteromedial visual area, layer 2/3","Trauma",68.9,20.7795037904609,65.7105606259586,4317.87777777778
"VISam4","Anteromedial visual area, layer 4","Control",8.75,6.92755883616815,19.5940953204931,383.928571428571
"VISam4","Anteromedial visual area, layer 4","No Trauma",100,57.6697494359044,182.367760308669,33258
"VISam4","Anteromedial visual area, layer 4","Trauma",35.9,11.9846661289425,37.8988419641316,1436.32222222222
"VISam5","Anteromedial visual area, layer 5","Control",33.625,21.160895116768,59.8520497321759,3582.26785714286
"VISam5","Anteromedial visual area, layer 5","No Trauma",188.3,86.8247340591634,274.563916865353,75385.3444444444
"VISam5","Anteromedial visual area, layer 5","Trauma",134.4,39.7733020449089,125.774224527745,15819.1555555556
