Animal,Experiment,Date,din,state,time,rewarded
03,25c2,250701,START,,1751390832.0079744,
03,25c2,250701,3,1.0,1751390837.6019435,1.0
03,25c2,250701,3,0.0,1751390837.648233,
03,25c2,250701,3,1.0,1751390837.6791563,0.0
03,25c2,250701,3,0.0,1751390837.726903,
03,25c2,250701,3,1.0,1751390837.7900276,0.0
03,25c2,250701,3,0.0,1751390837.8240497,
03,25c2,250701,3,1.0,1751390837.886031,0.0
03,25c2,250701,3,0.0,1751390837.933895,
03,25c2,250701,3,1.0,1751390837.9960418,0.0
03,25c2,250701,3,0.0,1751390838.0429022,
03,25c2,250701,3,1.0,1751390838.107005,0.0
03,25c2,250701,3,0.0,1751390838.154394,
03,25c2,250701,3,1.0,1751390838.2181597,0.0
03,25c2,250701,3,0.0,1751390838.2657385,
03,25c2,250701,3,1.0,1751390850.923414,0.0
03,25c2,250701,3,0.0,1751390850.954954,
03,25c2,250701,3,1.0,1751390851.0022411,0.0
03,25c2,250701,3,0.0,1751390851.0498548,
03,25c2,250701,3,1.0,1751390851.1117208,0.0
03,25c2,250701,3,0.0,1751390851.1590908,
03,25c2,250701,3,1.0,1751390851.2363925,0.0
03,25c2,250701,3,0.0,1751390851.2837534,
03,25c2,250701,4,1.0,1751390854.3264203,1.0
03,25c2,250701,4,0.0,1751390854.3731997,
03,25c2,250701,4,1.0,1751390854.4531963,0.0
03,25c2,250701,4,0.0,1751390854.4844031,
03,25c2,250701,4,1.0,1751390854.5458004,0.0
03,25c2,250701,4,0.0,1751390854.5929232,
03,25c2,250701,4,1.0,1751390854.672085,0.0
03,25c2,250701,4,0.0,1751390854.7194786,
03,25c2,250701,4,1.0,1751390854.78329,0.0
03,25c2,250701,4,0.0,1751390854.829347,
03,25c2,250701,4,1.0,1751390854.8929482,0.0
03,25c2,250701,4,0.0,1751390854.9564388,
03,25c2,250701,4,1.0,1751390855.0516496,0.0
03,25c2,250701,4,0.0,1751390855.0835643,
03,25c2,250701,4,1.0,1751390855.1618433,0.0
03,25c2,250701,4,0.0,1751390855.2076206,
03,25c2,250701,4,1.0,1751390855.301901,0.0
03,25c2,250701,4,0.0,1751390855.3489025,
03,25c2,250701,4,1.0,1751390855.4424467,0.0
03,25c2,250701,4,0.0,1751390855.4900088,
03,25c2,250701,4,1.0,1751390855.7883613,0.0
03,25c2,250701,4,0.0,1751390855.8199987,
03,25c2,250701,4,1.0,1751390855.897734,0.0
03,25c2,250701,4,0.0,1751390855.9609823,
03,25c2,250701,5,1.0,1751390862.832799,1.0
03,25c2,250701,5,0.0,1751390862.8643897,
03,25c2,250701,5,1.0,1751390862.9439971,0.0
03,25c2,250701,5,0.0,1751390862.9619803,
03,25c2,250701,5,1.0,1751390863.0231707,0.0
03,25c2,250701,5,0.0,1751390863.0704646,
03,25c2,250701,5,1.0,1751390863.1176424,0.0
03,25c2,250701,5,0.0,1751390863.1652994,
03,25c2,250701,5,1.0,1751390863.2283683,0.0
03,25c2,250701,5,0.0,1751390863.2602546,
03,25c2,250701,5,1.0,1751390863.322742,0.0
03,25c2,250701,5,0.0,1751390863.369353,
03,25c2,250701,5,1.0,1751390863.4319775,0.0
03,25c2,250701,5,0.0,1751390863.4782803,
03,25c2,250701,5,1.0,1751390863.54176,0.0
03,25c2,250701,5,0.0,1751390863.588827,
03,25c2,250701,5,1.0,1751390863.6521497,0.0
03,25c2,250701,5,0.0,1751390863.699942,
03,25c2,250701,5,1.0,1751390863.7637615,0.0
03,25c2,250701,5,0.0,1751390863.7816837,
03,25c2,250701,4,1.0,1751390865.8896332,0.0
03,25c2,250701,4,0.0,1751390865.9370842,
03,25c2,250701,4,1.0,1751390866.0002382,0.0
03,25c2,250701,4,0.0,1751390866.032123,
03,25c2,250701,4,1.0,1751390881.7328472,0.0
03,25c2,250701,4,0.0,1751390881.7487755,
03,25c2,250701,5,1.0,1751390899.2520523,0.0
03,25c2,250701,5,0.0,1751390899.299922,
03,25c2,250701,5,1.0,1751390899.379322,0.0
03,25c2,250701,5,0.0,1751390899.410511,
03,25c2,250701,3,1.0,1751390908.613001,1.0
03,25c2,250701,3,0.0,1751390908.6449184,
03,25c2,250701,3,1.0,1751390908.8018277,0.0
03,25c2,250701,3,0.0,1751390908.8329265,
03,25c2,250701,3,1.0,1751390908.8954215,0.0
03,25c2,250701,3,0.0,1751390908.9427085,
03,25c2,250701,3,1.0,1751390909.005487,0.0
03,25c2,250701,3,0.0,1751390909.0516212,
03,25c2,250701,3,1.0,1751390909.1134157,0.0
03,25c2,250701,3,0.0,1751390909.1606145,
03,25c2,250701,3,1.0,1751390909.207966,0.0
03,25c2,250701,3,0.0,1751390909.2709177,
03,25c2,250701,3,1.0,1751390909.3174405,0.0
03,25c2,250701,3,0.0,1751390909.381241,
03,25c2,250701,3,1.0,1751390909.4291408,0.0
03,25c2,250701,3,0.0,1751390909.492941,
03,25c2,250701,3,1.0,1751390909.540847,0.0
03,25c2,250701,3,0.0,1751390909.5876884,
03,25c2,250701,3,1.0,1751390909.651546,0.0
03,25c2,250701,3,0.0,1751390909.699402,
03,25c2,250701,3,1.0,1751390909.74729,0.0
03,25c2,250701,3,0.0,1751390909.764216,
03,25c2,250701,3,1.0,1751390909.780174,0.0
03,25c2,250701,3,0.0,1751390909.811119,
03,25c2,250701,3,1.0,1751390909.8739226,0.0
03,25c2,250701,3,0.0,1751390909.921826,
03,25c2,250701,3,1.0,1751390909.9696665,0.0
03,25c2,250701,3,0.0,1751390910.01754,
03,25c2,250701,3,1.0,1751390910.080372,0.0
03,25c2,250701,3,0.0,1751390910.1282434,
03,25c2,250701,3,1.0,1751390910.1761436,0.0
03,25c2,250701,3,0.0,1751390910.224016,
03,25c2,250701,3,1.0,1751390910.2559023,0.0
03,25c2,250701,3,0.0,1751390910.2728562,
03,25c2,250701,3,1.0,1751390910.2888136,0.0
03,25c2,250701,3,0.0,1751390910.3197312,
03,25c2,250701,3,1.0,1751390910.3835616,0.0
03,25c2,250701,3,0.0,1751390910.4311502,
03,25c2,250701,3,1.0,1751390910.478994,0.0
03,25c2,250701,3,0.0,1751390910.4953291,
03,25c2,250701,3,1.0,1751390910.5112858,0.0
03,25c2,250701,3,0.0,1751390910.541806,
03,25c2,250701,3,1.0,1751390910.6056354,0.0
03,25c2,250701,3,0.0,1751390910.637552,
03,25c2,250701,3,1.0,1751390910.700383,0.0
03,25c2,250701,3,0.0,1751390910.747257,
03,25c2,250701,3,1.0,1751390910.7941318,0.0
03,25c2,250701,3,0.0,1751390910.8110864,
03,25c2,250701,3,1.0,1751390910.8270435,0.0
03,25c2,250701,3,0.0,1751390910.856998,
03,25c2,250701,3,1.0,1751390910.9048998,0.0
03,25c2,250701,3,0.0,1751390910.967537,
03,25c2,250701,4,1.0,1751390924.3811357,1.0
03,25c2,250701,4,0.0,1751390924.4449542,
03,25c2,250701,4,1.0,1751390924.4768689,0.0
03,25c2,250701,4,0.0,1751390924.5088117,
03,25c2,250701,4,1.0,1751390924.5724263,0.0
03,25c2,250701,4,0.0,1751390924.6196363,
03,25c2,250701,4,1.0,1751390924.681768,0.0
03,25c2,250701,4,0.0,1751390924.744857,
03,25c2,250701,4,1.0,1751390924.7925732,0.0
03,25c2,250701,4,0.0,1751390924.8395543,
03,25c2,250701,4,1.0,1751390924.9180818,0.0
03,25c2,250701,4,0.0,1751390924.964836,
03,25c2,250701,4,1.0,1751390925.0287375,0.0
03,25c2,250701,4,0.0,1751390925.0749023,
03,25c2,250701,4,1.0,1751390925.1542327,0.0
03,25c2,250701,4,0.0,1751390925.2010396,
03,25c2,250701,4,1.0,1751390925.2802594,0.0
03,25c2,250701,4,0.0,1751390925.3281293,
03,25c2,250701,4,1.0,1751390925.3909843,0.0
03,25c2,250701,4,0.0,1751390925.4378593,
03,25c2,250701,4,1.0,1751390925.5163643,0.0
03,25c2,250701,4,0.0,1751390925.5638874,
03,25c2,250701,4,1.0,1751390925.6277454,0.0
03,25c2,250701,4,0.0,1751390925.675529,
03,25c2,250701,4,1.0,1751390925.7551544,0.0
03,25c2,250701,4,0.0,1751390925.802206,
03,25c2,250701,4,1.0,1751390925.8812664,0.0
03,25c2,250701,4,0.0,1751390925.9131815,
03,25c2,250701,4,1.0,1751390925.991397,0.0
03,25c2,250701,4,0.0,1751390926.0392416,
03,25c2,250701,4,1.0,1751390926.1178536,0.0
03,25c2,250701,4,0.0,1751390926.165045,
03,25c2,250701,4,1.0,1751390926.260069,0.0
03,25c2,250701,4,0.0,1751390926.3071134,
03,25c2,250701,4,1.0,1751390926.353902,0.0
03,25c2,250701,4,0.0,1751390926.416324,
03,25c2,250701,4,1.0,1751390926.4795773,0.0
03,25c2,250701,4,0.0,1751390926.527478,
03,25c2,250701,4,1.0,1751390926.606956,0.0
03,25c2,250701,4,0.0,1751390926.65494,
03,25c2,250701,4,1.0,1751390926.7333455,0.0
03,25c2,250701,4,0.0,1751390926.780541,
03,25c2,250701,4,1.0,1751390926.890246,0.0
03,25c2,250701,4,0.0,1751390926.9369187,
03,25c2,250701,4,1.0,1751390934.7420278,0.0
03,25c2,250701,4,0.0,1751390934.7733698,
03,25c2,250701,5,1.0,1751390949.481202,1.0
03,25c2,250701,5,0.0,1751390949.5290573,
03,25c2,250701,5,1.0,1751390949.574332,0.0
03,25c2,250701,5,0.0,1751390949.6049936,
03,25c2,250701,5,1.0,1751390949.6675532,0.0
03,25c2,250701,5,0.0,1751390949.699463,
03,25c2,250701,5,1.0,1751390949.777823,0.0
03,25c2,250701,5,0.0,1751390949.8098826,
03,25c2,250701,5,1.0,1751390949.872145,0.0
03,25c2,250701,5,0.0,1751390949.9193609,
03,25c2,250701,5,1.0,1751390949.966107,0.0
03,25c2,250701,5,0.0,1751390949.9841688,
03,25c2,250701,5,1.0,1751390950.0001402,0.0
03,25c2,250701,5,0.0,1751390950.0301268,
03,25c2,250701,5,1.0,1751390950.077943,0.0
03,25c2,250701,5,0.0,1751390950.1400976,
03,25c2,250701,5,1.0,1751390950.2026758,0.0
03,25c2,250701,5,0.0,1751390950.2506692,
03,25c2,250701,5,1.0,1751390950.298569,0.0
03,25c2,250701,5,0.0,1751390950.3151982,
03,25c2,250701,5,1.0,1751390950.5532124,0.0
03,25c2,250701,5,0.0,1751390950.585098,
03,25c2,250701,5,1.0,1751390950.663648,0.0
03,25c2,250701,5,0.0,1751390950.6955323,
03,25c2,250701,5,1.0,1751390950.7426074,0.0
03,25c2,250701,5,0.0,1751390950.7587478,
03,25c2,250701,3,1.0,1751390958.2726784,1.0
03,25c2,250701,3,0.0,1751390958.3206651,
03,25c2,250701,3,1.0,1751390958.3526769,0.0
03,25c2,250701,3,0.0,1751390958.4001534,
03,25c2,250701,3,1.0,1751390958.4624622,0.0
03,25c2,250701,3,0.0,1751390958.493925,
03,25c2,250701,3,1.0,1751390958.5575528,0.0
03,25c2,250701,3,0.0,1751390958.6209714,
03,25c2,250701,3,1.0,1751390958.66882,0.0
03,25c2,250701,3,0.0,1751390958.716723,
03,25c2,250701,3,1.0,1751390958.7960055,0.0
03,25c2,250701,3,0.0,1751390958.827382,
03,25c2,250701,3,1.0,1751390958.9051845,0.0
03,25c2,250701,3,0.0,1751390958.95304,
03,25c2,250701,3,1.0,1751390959.0162811,0.0
03,25c2,250701,3,0.0,1751390959.0628846,
03,25c2,250701,3,1.0,1751390959.1265244,0.0
03,25c2,250701,3,0.0,1751390959.173982,
03,25c2,250701,3,1.0,1751390959.2378116,0.0
03,25c2,250701,3,0.0,1751390959.2856846,
03,25c2,250701,3,1.0,1751390959.3651168,0.0
03,25c2,250701,3,0.0,1751390959.3958273,
03,25c2,250701,3,1.0,1751390959.4593208,0.0
03,25c2,250701,3,0.0,1751390959.507193,
03,25c2,250701,3,1.0,1751390959.568544,0.0
03,25c2,250701,3,0.0,1751390959.6152828,
03,25c2,250701,3,1.0,1751390959.678729,0.0
03,25c2,250701,3,0.0,1751390959.725604,
03,25c2,250701,3,1.0,1751390959.773511,0.0
03,25c2,250701,3,0.0,1751390959.8373225,
03,25c2,250701,3,1.0,1751390959.8688004,0.0
03,25c2,250701,3,0.0,1751390959.8857546,
03,25c2,250701,3,1.0,1751390959.901766,0.0
03,25c2,250701,3,0.0,1751390959.947261,
03,25c2,250701,3,1.0,1751390960.0108285,0.0
03,25c2,250701,3,0.0,1751390960.0731514,
03,25c2,250701,3,1.0,1751390960.1522386,0.0
03,25c2,250701,3,0.0,1751390960.198237,
03,25c2,250701,4,1.0,1751390978.4405458,1.0
03,25c2,250701,4,0.0,1751390978.4872756,
03,25c2,250701,4,1.0,1751390978.5507689,0.0
03,25c2,250701,4,0.0,1751390978.5826595,
03,25c2,250701,4,1.0,1751390978.6298249,0.0
03,25c2,250701,4,0.0,1751390978.676675,
03,25c2,250701,4,1.0,1751390978.7246747,0.0
03,25c2,250701,4,0.0,1751390978.772576,
03,25c2,250701,4,1.0,1751390978.8514538,0.0
03,25c2,250701,4,0.0,1751390978.9135344,
03,25c2,250701,4,1.0,1751390978.9763377,0.0
03,25c2,250701,4,0.0,1751390979.0242095,
03,25c2,250701,4,1.0,1751390979.087212,0.0
03,25c2,250701,4,0.0,1751390979.13534,
03,25c2,250701,4,1.0,1751390979.197008,0.0
03,25c2,250701,4,0.0,1751390979.244406,
03,25c2,250701,4,1.0,1751390979.3062122,0.0
03,25c2,250701,4,0.0,1751390979.3523128,
03,25c2,250701,4,1.0,1751390979.4321296,0.0
03,25c2,250701,4,0.0,1751390979.4791052,
03,25c2,250701,4,1.0,1751390979.5583806,0.0
03,25c2,250701,4,0.0,1751390979.5903249,
03,25c2,250701,4,1.0,1751390979.6853075,0.0
03,25c2,250701,4,0.0,1751390979.7164557,
03,25c2,250701,4,1.0,1751390979.77993,0.0
03,25c2,250701,4,0.0,1751390979.8271954,
03,25c2,250701,4,1.0,1751390979.891025,0.0
03,25c2,250701,4,0.0,1751390979.937899,
03,25c2,250701,4,1.0,1751390979.9857998,0.0
03,25c2,250701,4,0.0,1751390980.0486042,
03,25c2,250701,4,1.0,1751390980.111772,0.0
03,25c2,250701,4,0.0,1751390980.1587594,
03,25c2,250701,4,1.0,1751390980.2226202,0.0
03,25c2,250701,4,0.0,1751390980.2698765,
03,25c2,250701,4,1.0,1751390980.3329651,0.0
03,25c2,250701,4,0.0,1751390980.3955252,
03,25c2,250701,4,1.0,1751390980.4584858,0.0
03,25c2,250701,4,0.0,1751390980.5056226,
03,25c2,250701,4,1.0,1751390980.5693614,0.0
03,25c2,250701,4,0.0,1751390980.616961,
03,25c2,250701,4,1.0,1751390980.6807904,0.0
03,25c2,250701,4,0.0,1751390980.760447,
03,25c2,250701,4,1.0,1751390980.806863,0.0
03,25c2,250701,4,0.0,1751390980.8548944,
03,25c2,250701,3,1.0,1751391002.2567782,0.0
03,25c2,250701,3,0.0,1751391002.273704,
03,25c2,250701,5,1.0,1751391011.5722744,1.0
03,25c2,250701,5,0.0,1751391011.6041577,
03,25c2,250701,5,1.0,1751391011.6212676,0.0
03,25c2,250701,5,0.0,1751391011.6521554,
03,25c2,250701,5,1.0,1751391011.6691084,0.0
03,25c2,250701,5,0.0,1751391011.6850688,
03,25c2,250701,5,1.0,1751391011.7478185,0.0
03,25c2,250701,5,0.0,1751391011.7942595,
03,25c2,250701,5,1.0,1751391011.842136,0.0
03,25c2,250701,5,0.0,1751391011.8729413,
03,25c2,250701,5,1.0,1751391011.9360197,0.0
03,25c2,250701,5,0.0,1751391011.983904,
03,25c2,250701,5,1.0,1751391012.0310204,0.0
03,25c2,250701,5,0.0,1751391012.0787282,
03,25c2,250701,5,1.0,1751391012.1416187,0.0
03,25c2,250701,5,0.0,1751391012.1887708,
03,25c2,250701,5,1.0,1751391012.2525835,0.0
03,25c2,250701,5,0.0,1751391012.2994893,
03,25c2,250701,5,1.0,1751391012.3471017,0.0
03,25c2,250701,5,0.0,1751391012.4096706,
03,25c2,250701,5,1.0,1751391012.4567883,0.0
03,25c2,250701,5,0.0,1751391012.5031292,
03,25c2,250701,5,1.0,1751391022.322538,0.0
03,25c2,250701,5,0.0,1751391022.3699758,
03,25c2,250701,3,1.0,1751391037.3169892,1.0
03,25c2,250701,3,0.0,1751391037.3637831,
03,25c2,250701,3,1.0,1751391037.441449,0.0
03,25c2,250701,3,0.0,1751391037.460369,
03,25c2,250701,3,1.0,1751391037.5052495,0.0
03,25c2,250701,3,0.0,1751391037.5531204,
03,25c2,250701,3,1.0,1751391037.5844593,0.0
03,25c2,250701,3,0.0,1751391037.6323314,
03,25c2,250701,3,1.0,1751391037.6955698,0.0
03,25c2,250701,3,0.0,1751391037.7414162,
03,25c2,250701,3,1.0,1751391037.7892883,0.0
03,25c2,250701,3,0.0,1751391037.8372636,
03,25c2,250701,3,1.0,1751391037.884869,0.0
03,25c2,250701,3,0.0,1751391037.9321368,
03,25c2,250701,3,1.0,1751391037.9945862,0.0
03,25c2,250701,3,0.0,1751391038.0425203,
03,25c2,250701,3,1.0,1751391038.0903556,0.0
03,25c2,250701,3,0.0,1751391038.1372716,
03,25c2,250701,3,1.0,1751391038.1851735,0.0
03,25c2,250701,3,0.0,1751391038.2316003,
03,25c2,250701,3,1.0,1751391038.2941935,0.0
03,25c2,250701,3,0.0,1751391038.3420434,
03,25c2,250701,3,1.0,1751391038.4058654,0.0
03,25c2,250701,3,0.0,1751391038.453092,
03,25c2,250701,4,1.0,1751391047.970682,1.0
03,25c2,250701,4,0.0,1751391048.0180714,
03,25c2,250701,4,1.0,1751391048.035001,0.0
03,25c2,250701,4,0.0,1751391048.098002,
03,25c2,250701,4,1.0,1751391048.1602,0.0
03,25c2,250701,4,0.0,1751391048.207598,
03,25c2,250701,4,1.0,1751391048.2554982,0.0
03,25c2,250701,4,0.0,1751391048.3028133,
03,25c2,250701,4,1.0,1751391048.333951,0.0
03,25c2,250701,4,0.0,1751391048.4291184,
03,25c2,250701,4,1.0,1751391048.4930444,0.0
03,25c2,250701,4,0.0,1751391048.525024,
03,25c2,250701,4,1.0,1751391048.584833,0.0
03,25c2,250701,4,0.0,1751391048.631708,
03,25c2,250701,4,1.0,1751391048.6785753,0.0
03,25c2,250701,4,0.0,1751391048.7246518,
03,25c2,250701,4,1.0,1751391048.7867296,0.0
03,25c2,250701,4,0.0,1751391048.818065,
03,25c2,250701,4,1.0,1751391048.8959908,0.0
03,25c2,250701,4,0.0,1751391048.942605,
03,25c2,250701,4,1.0,1751391048.9896076,0.0
03,25c2,250701,4,0.0,1751391049.0511775,
03,25c2,250701,4,1.0,1751391049.114184,0.0
03,25c2,250701,4,0.0,1751391049.162056,
03,25c2,250701,4,1.0,1751391049.239829,0.0
03,25c2,250701,4,0.0,1751391049.2877128,
03,25c2,250701,4,1.0,1751391049.3349943,0.0
03,25c2,250701,4,0.0,1751391049.412819,
