Animal,File,Box,phase,subphase,component,freezing,motion
9,250825_SEFL21H2_S2_g3,1,mildstressor,prepost,post,35.33,190.38
9,250825_SEFL21H2_S2_g3,1,mildstressor,startle,startle_pre,0,500.78
9,250825_SEFL21H2_S2_g3,1,mildstressor,startle,startle_startle,0,648.69
9,250825_SEFL21H2_S2_g3,1,mildstressor,startle,startle_post,68.89,95.4
10,250825_SEFL21H2_S2_g3,2,mildstressor,prepost,bl,1.13,291.04
10,250825_SEFL21H2_S2_g3,2,mildstressor,prepost,post,12,202.66
10,250825_SEFL21H2_S2_g3,2,mildstressor,startle,startle_pre,0,232.86
10,250825_SEFL21H2_S2_g3,2,mildstressor,startle,startle_startle,0,685.5
10,250825_SEFL21H2_S2_g3,2,mildstressor,startle,startle_post,0,171.64
11,250825_SEFL21H2_S2_g3,3,mildstressor,prepost,bl,1.19,252.32
11,250825_SEFL21H2_S2_g3,3,mildstressor,prepost,post,13,173.84
11,250825_SEFL21H2_S2_g3,3,mildstressor,startle,startle_pre,0,285.77
11,250825_SEFL21H2_S2_g3,3,mildstressor,startle,startle_startle,0,768.86
11,250825_SEFL21H2_S2_g3,3,mildstressor,startle,startle_post,43.33,36.28
12,250825_SEFL21H2_S2_g3,4,mildstressor,prepost,bl,1.31,459.6
12,250825_SEFL21H2_S2_g3,4,mildstressor,prepost,post,34.67,92.51
12,250825_SEFL21H2_S2_g3,4,mildstressor,startle,startle_pre,0,577.54
12,250825_SEFL21H2_S2_g3,4,mildstressor,startle,startle_startle,0,863.72
12,250825_SEFL21H2_S2_g3,4,mildstressor,startle,startle_post,55.56,79.1
13,250825_SEFL21H2_S2_g4,1,mildstressor,prepost,bl,0,407.89
13,250825_SEFL21H2_S2_g4,1,mildstressor,prepost,post,63,64.83
13,250825_SEFL21H2_S2_g4,1,mildstressor,startle,startle_pre,0,410.79
13,250825_SEFL21H2_S2_g4,1,mildstressor,startle,startle_startle,0,506.78
13,250825_SEFL21H2_S2_g4,1,mildstressor,startle,startle_post,97.78,2.62
14,250825_SEFL21H2_S2_g4,2,mildstressor,prepost,bl,12,273.33
14,250825_SEFL21H2_S2_g4,2,mildstressor,prepost,post,12.67,101.6
14,250825_SEFL21H2_S2_g4,2,mildstressor,startle,startle_pre,68.89,17.38
14,250825_SEFL21H2_S2_g4,2,mildstressor,startle,startle_startle,0,659.5
14,250825_SEFL21H2_S2_g4,2,mildstressor,startle,startle_post,0,39.23
15,250825_SEFL21H2_S2_g4,3,mildstressor,prepost,bl,1.06,400.13
15,250825_SEFL21H2_S2_g4,3,mildstressor,prepost,post,10,96.47
15,250825_SEFL21H2_S2_g4,3,mildstressor,startle,startle_pre,0,271.8
15,250825_SEFL21H2_S2_g4,3,mildstressor,startle,startle_startle,0,862.36
15,250825_SEFL21H2_S2_g4,3,mildstressor,startle,startle_post,0,264.33
5,250826_SEFL21H2_S2recall_g2,1,sefltest,min,min01,1.89,403.83
5,250826_SEFL21H2_S2recall_g2,1,sefltest,min,min02,5.83,320.78
5,250826_SEFL21H2_S2recall_g2,1,sefltest,min,min03,12.67,317.16
5,250826_SEFL21H2_S2recall_g2,1,sefltest,min,min04,9.94,297.49
5,250826_SEFL21H2_S2recall_g2,1,sefltest,min,min05,11.67,362.63
5,250826_SEFL21H2_S2recall_g2,1,sefltest,min,min06,1.78,305.23
5,250826_SEFL21H2_S2recall_g2,1,sefltest,min,min07,0,418.36
5,250826_SEFL21H2_S2recall_g2,1,sefltest,min,min08,3.56,333.93
5,250826_SEFL21H2_S2recall_g2,1,sefltest,avg,avg,5.92,344.93
6,250826_SEFL21H2_S2recall_g2,2,sefltest,min,min01,6,160.68
6,250826_SEFL21H2_S2recall_g2,2,sefltest,min,min02,3.44,227.13
6,250826_SEFL21H2_S2recall_g2,2,sefltest,min,min03,7.83,192.62
6,250826_SEFL21H2_S2recall_g2,2,sefltest,min,min04,26,196.77
6,250826_SEFL21H2_S2recall_g2,2,sefltest,min,min05,1.89,160.56
6,250826_SEFL21H2_S2recall_g2,2,sefltest,min,min06,30.5,106.83
6,250826_SEFL21H2_S2recall_g2,2,sefltest,min,min07,33.83,59.9
6,250826_SEFL21H2_S2recall_g2,2,sefltest,min,min08,35.44,113.87
6,250826_SEFL21H2_S2recall_g2,2,sefltest,avg,avg,18.39,152.29
7,250826_SEFL21H2_S2recall_g2,3,sefltest,min,min01,1.67,313.54
7,250826_SEFL21H2_S2recall_g2,3,sefltest,min,min02,8.11,274.97
7,250826_SEFL21H2_S2recall_g2,3,sefltest,min,min03,6.06,219.6
7,250826_SEFL21H2_S2recall_g2,3,sefltest,min,min04,8.61,222.63
7,250826_SEFL21H2_S2recall_g2,3,sefltest,min,min05,52.56,37.34
7,250826_SEFL21H2_S2recall_g2,3,sefltest,min,min06,1.72,227.25
7,250826_SEFL21H2_S2recall_g2,3,sefltest,min,min07,0,277.16
7,250826_SEFL21H2_S2recall_g2,3,sefltest,min,min08,4.11,229.35
7,250826_SEFL21H2_S2recall_g2,3,sefltest,avg,avg,10.35,225.23
8,250826_SEFL21H2_S2recall_g2,4,sefltest,min,min01,2.06,312.18
8,250826_SEFL21H2_S2recall_g2,4,sefltest,min,min02,19.61,151.45
8,250826_SEFL21H2_S2recall_g2,4,sefltest,min,min03,50.11,52.68
8,250826_SEFL21H2_S2recall_g2,4,sefltest,min,min04,24.89,87.54
8,250826_SEFL21H2_S2recall_g2,4,sefltest,min,min05,11.22,161.69
8,250826_SEFL21H2_S2recall_g2,4,sefltest,min,min06,23.67,107.59
8,250826_SEFL21H2_S2recall_g2,4,sefltest,min,min07,30.61,96.86
8,250826_SEFL21H2_S2recall_g2,4,sefltest,min,min08,21.33,87.93
8,250826_SEFL21H2_S2recall_g2,4,sefltest,avg,avg,23.16,132.24
9,250826_SEFL21H2_S2recall_g3,1,sefltest,min,min01,1.72,209.83
9,250826_SEFL21H2_S2recall_g3,1,sefltest,min,min02,28.44,142.24
9,250826_SEFL21H2_S2recall_g3,1,sefltest,min,min03,18.67,139.72
9,250826_SEFL21H2_S2recall_g3,1,sefltest,min,min04,24.56,193.79
9,250826_SEFL21H2_S2recall_g3,1,sefltest,min,min05,16.06,162.5
9,250826_SEFL21H2_S2recall_g3,1,sefltest,min,min06,8.61,209.3
9,250826_SEFL21H2_S2recall_g3,1,sefltest,min,min07,16.61,168.45
9,250826_SEFL21H2_S2recall_g3,1,sefltest,min,min08,14.83,196.77
9,250826_SEFL21H2_S2recall_g3,1,sefltest,avg,avg,16.61,177.83
10,250826_SEFL21H2_S2recall_g3,2,sefltest,min,min01,0,244.21
10,250826_SEFL21H2_S2recall_g3,2,sefltest,min,min02,13.28,145.35
10,250826_SEFL21H2_S2recall_g3,2,sefltest,min,min03,25,131.62
10,250826_SEFL21H2_S2recall_g3,2,sefltest,min,min04,16.94,134.16
10,250826_SEFL21H2_S2recall_g3,2,sefltest,min,min05,34.28,104.59
10,250826_SEFL21H2_S2recall_g3,2,sefltest,min,min06,11.39,201
10,250826_SEFL21H2_S2recall_g3,2,sefltest,min,min07,43.28,59.95
10,250826_SEFL21H2_S2recall_g3,2,sefltest,min,min08,12.17,195.64
10,250826_SEFL21H2_S2recall_g3,2,sefltest,avg,avg,19.74,152.07
11,250826_SEFL21H2_S2recall_g3,3,sefltest,min,min01,2.22,108.05
11,250826_SEFL21H2_S2recall_g3,3,sefltest,min,min02,18.94,84.47
11,250826_SEFL21H2_S2recall_g3,3,sefltest,min,min03,23.28,99.33
11,250826_SEFL21H2_S2recall_g3,3,sefltest,min,min04,13,123.88
11,250826_SEFL21H2_S2recall_g3,3,sefltest,min,min05,13.94,154.23
11,250826_SEFL21H2_S2recall_g3,3,sefltest,min,min06,11.28,191.52
11,250826_SEFL21H2_S2recall_g3,3,sefltest,min,min07,22,102.43
11,250826_SEFL21H2_S2recall_g3,3,sefltest,min,min08,7.33,137.18
11,250826_SEFL21H2_S2recall_g3,3,sefltest,avg,avg,14.05,125.14
12,250826_SEFL21H2_S2recall_g3,4,sefltest,min,min01,0,340.48
12,250826_SEFL21H2_S2recall_g3,4,sefltest,min,min02,0,247.97
12,250826_SEFL21H2_S2recall_g3,4,sefltest,min,min03,13,230.49
12,250826_SEFL21H2_S2recall_g3,4,sefltest,min,min04,15.5,209.44
12,250826_SEFL21H2_S2recall_g3,4,sefltest,min,min05,4.5,213.37
12,250826_SEFL21H2_S2recall_g3,4,sefltest,min,min06,12,219.76
12,250826_SEFL21H2_S2recall_g3,4,sefltest,min,min07,11.78,162.91
12,250826_SEFL21H2_S2recall_g3,4,sefltest,min,min08,17.39,157.57
12,250826_SEFL21H2_S2recall_g3,4,sefltest,avg,avg,9.27,222.75
13,250826_SEFL21H2_S2recall_g4,1,sefltest,min,min01,13.44,194.02
13,250826_SEFL21H2_S2recall_g4,1,sefltest,min,min02,32.94,153.8
13,250826_SEFL21H2_S2recall_g4,1,sefltest,min,min03,16.72,217.59
13,250826_SEFL21H2_S2recall_g4,1,sefltest,min,min04,15.17,211.35
13,250826_SEFL21H2_S2recall_g4,1,sefltest,min,min05,21.39,189.8
13,250826_SEFL21H2_S2recall_g4,1,sefltest,min,min06,14.39,254.34
13,250826_SEFL21H2_S2recall_g4,1,sefltest,min,min07,10.33,159.33
13,250826_SEFL21H2_S2recall_g4,1,sefltest,min,min08,12.22,288.07
13,250826_SEFL21H2_S2recall_g4,1,sefltest,avg,avg,17.08,208.54
14,250826_SEFL21H2_S2recall_g4,2,sefltest,min,min01,4.28,182.87
14,250826_SEFL21H2_S2recall_g4,2,sefltest,min,min02,23.61,118.63
14,250826_SEFL21H2_S2recall_g4,2,sefltest,min,min03,31.61,125.13
14,250826_SEFL21H2_S2recall_g4,2,sefltest,min,min04,31.94,119.38
14,250826_SEFL21H2_S2recall_g4,2,sefltest,min,min05,36.94,104.16
14,250826_SEFL21H2_S2recall_g4,2,sefltest,min,min06,21.94,189.05
14,250826_SEFL21H2_S2recall_g4,2,sefltest,min,min07,31.33,97.24
14,250826_SEFL21H2_S2recall_g4,2,sefltest,min,min08,30.89,76.13
14,250826_SEFL21H2_S2recall_g4,2,sefltest,avg,avg,26.89,126.57
15,250826_SEFL21H2_S2recall_g4,3,sefltest,min,min01,7.83,201.63
15,250826_SEFL21H2_S2recall_g4,3,sefltest,min,min02,29.89,109.66
15,250826_SEFL21H2_S2recall_g4,3,sefltest,min,min03,30.67,85.23
15,250826_SEFL21H2_S2recall_g4,3,sefltest,min,min04,36.22,93.8
15,250826_SEFL21H2_S2recall_g4,3,sefltest,min,min05,43.44,51.27
15,250826_SEFL21H2_S2recall_g4,3,sefltest,min,min06,21.39,122.62
15,250826_SEFL21H2_S2recall_g4,3,sefltest,min,min07,10.72,220.43
15,250826_SEFL21H2_S2recall_g4,3,sefltest,min,min08,13.61,161.26
15,250826_SEFL21H2_S2recall_g4,3,sefltest,avg,avg,24.32,130.74
1,250826_SEFL21H2_S2recall_g1,1,sefltest,min,min01,38.61,118.9
1,250826_SEFL21H2_S2recall_g1,1,sefltest,min,min02,43.5,64.35
1,250826_SEFL21H2_S2recall_g1,1,sefltest,min,min03,28.89,183.46
1,250826_SEFL21H2_S2recall_g1,1,sefltest,min,min04,56.39,91.31
1,250826_SEFL21H2_S2recall_g1,1,sefltest,min,min05,52,83.55
1,250826_SEFL21H2_S2recall_g1,1,sefltest,min,min06,31.28,112.15
1,250826_SEFL21H2_S2recall_g1,1,sefltest,min,min07,20.11,142.05
1,250826_SEFL21H2_S2recall_g1,1,sefltest,min,min08,45.28,69.05
1,250826_SEFL21H2_S2recall_g1,1,sefltest,avg,avg,39.67,108.1
2,250826_SEFL21H2_S2recall_g1,2,sefltest,min,min01,0,435.99
2,250826_SEFL21H2_S2recall_g1,2,sefltest,min,min02,12,260.52
2,250826_SEFL21H2_S2recall_g1,2,sefltest,min,min03,3.11,275.87
2,250826_SEFL21H2_S2recall_g1,2,sefltest,min,min04,9.67,396.17
2,250826_SEFL21H2_S2recall_g1,2,sefltest,min,min05,11.61,217.66
2,250826_SEFL21H2_S2recall_g1,2,sefltest,min,min06,9.56,277.98
2,250826_SEFL21H2_S2recall_g1,2,sefltest,min,min07,8.39,209.18
2,250826_SEFL21H2_S2recall_g1,2,sefltest,min,min08,11.11,213.37
2,250826_SEFL21H2_S2recall_g1,2,sefltest,avg,avg,8.43,285.84
3,250826_SEFL21H2_S2recall_g1,3,sefltest,min,min01,0,366.74
3,250826_SEFL21H2_S2recall_g1,3,sefltest,min,min02,8.44,312.05
3,250826_SEFL21H2_S2recall_g1,3,sefltest,min,min03,9,244.53
3,250826_SEFL21H2_S2recall_g1,3,sefltest,min,min04,2.28,311.69
3,250826_SEFL21H2_S2recall_g1,3,sefltest,min,min05,5.61,335.92
3,250826_SEFL21H2_S2recall_g1,3,sefltest,min,min06,3.83,287.43
3,250826_SEFL21H2_S2recall_g1,3,sefltest,min,min07,4.78,251.04
3,250826_SEFL21H2_S2recall_g1,3,sefltest,min,min08,8.94,236.92
3,250826_SEFL21H2_S2recall_g1,3,sefltest,avg,avg,5.36,293.29
4,250826_SEFL21H2_S2recall_g1,4,sefltest,min,min01,1.78,430.89
4,250826_SEFL21H2_S2recall_g1,4,sefltest,min,min02,3.5,268.35
4,250826_SEFL21H2_S2recall_g1,4,sefltest,min,min03,1.78,269.93
4,250826_SEFL21H2_S2recall_g1,4,sefltest,min,min04,0,317.8
4,250826_SEFL21H2_S2recall_g1,4,sefltest,min,min05,2.67,342.1
4,250826_SEFL21H2_S2recall_g1,4,sefltest,min,min06,0,354.91
4,250826_SEFL21H2_S2recall_g1,4,sefltest,min,min07,3.44,286.11
4,250826_SEFL21H2_S2recall_g1,4,sefltest,min,min08,8.11,299.5
4,250826_SEFL21H2_S2recall_g1,4,sefltest,avg,avg,2.66,321.2
21,251210_SEFL21H2_B2_trauma_21_22 Box 1.wmv,1,trauma,bl,bl,5.049382716,845.7702469
22,251210_SEFL21H2_B2_trauma_21_22 Box 2.wmv,2,trauma,bl,bl,4.641975309,833.494321
23,251210_SEFL21H2_B2_trauma_23_24 Box 1.wmv,1,trauma,bl,bl,10.66666667,677.7780247
24,251210_SEFL21H2_B2_trauma_23_24 Box 2.wmv,2,trauma,bl,bl,7.641975309,682.2960494
25,251210_SEFL21H2_B2_trauma_25_26 Box 1.wmv,1,trauma,bl,bl,4.641975309,811.7018519
26,251210_SEFL21H2_B2_trauma_25_26 Box 2.wmv,2,trauma,bl,bl,9,729.842963
27,251210_SEFL21H2_B2_trauma_27_28 Box 1.wmv,1,trauma,bl,bl,7.679012346,717.5888889
28,251210_SEFL21H2_B2_trauma_27_28 Box 2.wmv,2,trauma,bl,bl,12.49382716,749.9003704
29,251210_SEFL21H2_B2_trauma_29_30 Box 1.wmv,1,trauma,bl,bl,6.382716049,799.1344444
30,251210_SEFL21H2_B2_trauma_29_30 Box 2.wmv,2,trauma,bl,bl,7.790123457,787.6418519
31,251210_SEFL21H2_B2_trauma_31_32 Box 1.wmv,1,trauma,bl,bl,11.50617284,741.0302469
32,251210_SEFL21H2_B2_trauma_31_32 Box 2.wmv,2,trauma,bl,bl,6.061728395,824.9360494
33,251210_SEFL21H2_B2_trauma_33_34 Box 1.wmv,1,trauma,bl,bl,14,604.1907407
34,251210_SEFL21H2_B2_trauma_33_34 Box 2.wmv,2,trauma,bl,bl,5.827160494,744.7590123
35,251210_SEFL21H2_B2_trauma_35_36 Box 1.wmv,1,trauma,bl,bl,5.839506173,677.6265432
36,251210_SEFL21H2_B2_trauma_35_36 Box 2.wmv,2,trauma,bl,bl,8.555555556,764.5892593
37,251210_SEFL21H2_B2_trauma_37_38 Box 1.wmv,1,trauma,bl,bl,8,756.1961728
38,251210_SEFL21H2_B2_trauma_37_38 Box 2.wmv,2,trauma,bl,bl,5.839506173,722.015679
21,251210_SEFL21H2_B2_trauma_21_22 Box 1.wmv,1,trauma,bl,laser,1.777777778,847.3066667
22,251210_SEFL21H2_B2_trauma_21_22 Box 2.wmv,2,trauma,bl,laser,9.777777778,862.0833333
23,251210_SEFL21H2_B2_trauma_23_24 Box 1.wmv,1,trauma,bl,laser,12.55555556,735.3777778
24,251210_SEFL21H2_B2_trauma_23_24 Box 2.wmv,2,trauma,bl,laser,17.33333333,827.4833333
25,251210_SEFL21H2_B2_trauma_25_26 Box 1.wmv,1,trauma,bl,laser,11,676.5911111
26,251210_SEFL21H2_B2_trauma_25_26 Box 2.wmv,2,trauma,bl,laser,8.222222222,759.61
27,251210_SEFL21H2_B2_trauma_27_28 Box 1.wmv,1,trauma,bl,laser,15.33333333,733.5222222
28,251210_SEFL21H2_B2_trauma_27_28 Box 2.wmv,2,trauma,bl,laser,8.111111111,785.3255556
29,251210_SEFL21H2_B2_trauma_29_30 Box 1.wmv,1,trauma,bl,laser,0,962.0344444
30,251210_SEFL21H2_B2_trauma_29_30 Box 2.wmv,2,trauma,bl,laser,39,390.92
31,251210_SEFL21H2_B2_trauma_31_32 Box 1.wmv,1,trauma,bl,laser,9,806.2233333
32,251210_SEFL21H2_B2_trauma_31_32 Box 2.wmv,2,trauma,bl,laser,2.444444444,720.5788889
33,251210_SEFL21H2_B2_trauma_33_34 Box 1.wmv,1,trauma,bl,laser,10.22222222,698.8922222
34,251210_SEFL21H2_B2_trauma_33_34 Box 2.wmv,2,trauma,bl,laser,5.444444444,658.4644444
35,251210_SEFL21H2_B2_trauma_35_36 Box 1.wmv,1,trauma,bl,laser,9.444444444,556.78
36,251210_SEFL21H2_B2_trauma_35_36 Box 2.wmv,2,trauma,bl,laser,14,602.0344444
37,251210_SEFL21H2_B2_trauma_37_38 Box 1.wmv,1,trauma,bl,laser,5.444444444,781.5577778
38,251210_SEFL21H2_B2_trauma_37_38 Box 2.wmv,2,trauma,bl,laser,4.222222222,789.7022222
21,251210_SEFL21H2_B2_trauma_21_22 Box 1.wmv,1,trauma,postshock,postshock_1,3.333333333,1011.453333
22,251210_SEFL21H2_B2_trauma_21_22 Box 2.wmv,2,trauma,postshock,postshock_1,2.5,826.7683333
23,251210_SEFL21H2_B2_trauma_23_24 Box 1.wmv,1,trauma,postshock,postshock_1,17,753.235
24,251210_SEFL21H2_B2_trauma_23_24 Box 2.wmv,2,trauma,postshock,postshock_1,7.333333333,549.9833333
25,251210_SEFL21H2_B2_trauma_25_26 Box 1.wmv,1,trauma,postshock,postshock_1,14.66666667,554.585
26,251210_SEFL21H2_B2_trauma_25_26 Box 2.wmv,2,trauma,postshock,postshock_1,0,963.4333333
27,251210_SEFL21H2_B2_trauma_27_28 Box 1.wmv,1,trauma,postshock,postshock_1,6.833333333,1043.016667
28,251210_SEFL21H2_B2_trauma_27_28 Box 2.wmv,2,trauma,postshock,postshock_1,18.33333333,615.565
29,251210_SEFL21H2_B2_trauma_29_30 Box 1.wmv,1,trauma,postshock,postshock_1,9.5,843.0783333
30,251210_SEFL21H2_B2_trauma_29_30 Box 2.wmv,2,trauma,postshock,postshock_1,75.83333333,110.9566667
31,251210_SEFL21H2_B2_trauma_31_32 Box 1.wmv,1,trauma,postshock,postshock_1,0,879.2533333
32,251210_SEFL21H2_B2_trauma_31_32 Box 2.wmv,2,trauma,postshock,postshock_1,26.66666667,661.325
33,251210_SEFL21H2_B2_trauma_33_34 Box 1.wmv,1,trauma,postshock,postshock_1,11.16666667,513.2566667
34,251210_SEFL21H2_B2_trauma_33_34 Box 2.wmv,2,trauma,postshock,postshock_1,0,884.4933333
35,251210_SEFL21H2_B2_trauma_35_36 Box 1.wmv,1,trauma,postshock,postshock_1,9.166666667,615.3316667
36,251210_SEFL21H2_B2_trauma_35_36 Box 2.wmv,2,trauma,postshock,postshock_1,9.333333333,658.91
37,251210_SEFL21H2_B2_trauma_37_38 Box 1.wmv,1,trauma,postshock,postshock_1,18.16666667,617.39
38,251210_SEFL21H2_B2_trauma_37_38 Box 2.wmv,2,trauma,postshock,postshock_1,2.5,1172.098333
21,251210_SEFL21H2_B2_trauma_21_22 Box 1.wmv,1,trauma,postshock,postshock_10,52.77310924,223.887395
22,251210_SEFL21H2_B2_trauma_21_22 Box 2.wmv,2,trauma,postshock,postshock_10,65.54621849,179.9915966
23,251210_SEFL21H2_B2_trauma_23_24 Box 1.wmv,1,trauma,postshock,postshock_10,9.443507589,533.8785835
24,251210_SEFL21H2_B2_trauma_23_24 Box 2.wmv,2,trauma,postshock,postshock_10,99.32432432,12.77702703
25,251210_SEFL21H2_B2_trauma_25_26 Box 1.wmv,1,trauma,postshock,postshock_10,77.64705882,79.10588235
26,251210_SEFL21H2_B2_trauma_25_26 Box 2.wmv,2,trauma,postshock,postshock_10,56.13445378,194.7714286
27,251210_SEFL21H2_B2_trauma_27_28 Box 1.wmv,1,trauma,postshock,postshock_10,30.01686341,250.1112985
28,251210_SEFL21H2_B2_trauma_27_28 Box 2.wmv,2,trauma,postshock,postshock_10,70.77702703,125.6689189
29,251210_SEFL21H2_B2_trauma_29_30 Box 1.wmv,1,trauma,postshock,postshock_10,61.8487395,184.0285714
30,251210_SEFL21H2_B2_trauma_29_30 Box 2.wmv,2,trauma,postshock,postshock_10,100,7.276094276
31,251210_SEFL21H2_B2_trauma_31_32 Box 1.wmv,1,trauma,postshock,postshock_10,78.99159664,82.50420168
32,251210_SEFL21H2_B2_trauma_31_32 Box 2.wmv,2,trauma,postshock,postshock_10,81.34453782,74.97647059
33,251210_SEFL21H2_B2_trauma_33_34 Box 1.wmv,1,trauma,postshock,postshock_10,76.00671141,101.0436242
34,251210_SEFL21H2_B2_trauma_33_34 Box 2.wmv,2,trauma,postshock,postshock_10,19.63087248,417.8053691
35,251210_SEFL21H2_B2_trauma_35_36 Box 1.wmv,1,trauma,postshock,postshock_10,44.87394958,206.0302521
36,251210_SEFL21H2_B2_trauma_35_36 Box 2.wmv,2,trauma,postshock,postshock_10,75.12605042,101.3932773
37,251210_SEFL21H2_B2_trauma_37_38 Box 1.wmv,1,trauma,postshock,postshock_10,70.03367003,158.03367
38,251210_SEFL21H2_B2_trauma_37_38 Box 2.wmv,2,trauma,postshock,postshock_10,11.44781145,459.8299663
21,251210_SEFL21H2_B2_trauma_21_22 Box 1.wmv,1,trauma,postshock,postshock_2,3.666666667,545.0933333
22,251210_SEFL21H2_B2_trauma_21_22 Box 2.wmv,2,trauma,postshock,postshock_2,26.16666667,527.8116667
23,251210_SEFL21H2_B2_trauma_23_24 Box 1.wmv,1,trauma,postshock,postshock_2,9.166666667,652.06
24,251210_SEFL21H2_B2_trauma_23_24 Box 2.wmv,2,trauma,postshock,postshock_2,27,349.01
25,251210_SEFL21H2_B2_trauma_25_26 Box 1.wmv,1,trauma,postshock,postshock_2,60.83333333,177.3033333
26,251210_SEFL21H2_B2_trauma_25_26 Box 2.wmv,2,trauma,postshock,postshock_2,7.5,741.135
27,251210_SEFL21H2_B2_trauma_27_28 Box 1.wmv,1,trauma,postshock,postshock_2,0,827.9966667
28,251210_SEFL21H2_B2_trauma_27_28 Box 2.wmv,2,trauma,postshock,postshock_2,14.16666667,605.395
29,251210_SEFL21H2_B2_trauma_29_30 Box 1.wmv,1,trauma,postshock,postshock_2,27.66666667,321.665
30,251210_SEFL21H2_B2_trauma_29_30 Box 2.wmv,2,trauma,postshock,postshock_2,89.5,42.155
31,251210_SEFL21H2_B2_trauma_31_32 Box 1.wmv,1,trauma,postshock,postshock_2,0,1099.201667
32,251210_SEFL21H2_B2_trauma_31_32 Box 2.wmv,2,trauma,postshock,postshock_2,45.66666667,221.5216667
33,251210_SEFL21H2_B2_trauma_33_34 Box 1.wmv,1,trauma,postshock,postshock_2,20.83333333,625.505
34,251210_SEFL21H2_B2_trauma_33_34 Box 2.wmv,2,trauma,postshock,postshock_2,22.66666667,410.8883333
35,251210_SEFL21H2_B2_trauma_35_36 Box 1.wmv,1,trauma,postshock,postshock_2,0,920.4566667
36,251210_SEFL21H2_B2_trauma_35_36 Box 2.wmv,2,trauma,postshock,postshock_2,19.66666667,627.6416667
37,251210_SEFL21H2_B2_trauma_37_38 Box 1.wmv,1,trauma,postshock,postshock_2,56.66666667,223.98
38,251210_SEFL21H2_B2_trauma_37_38 Box 2.wmv,2,trauma,postshock,postshock_2,0,1112.445
21,251210_SEFL21H2_B2_trauma_21_22 Box 1.wmv,1,trauma,postshock,postshock_3,6.166666667,573.7666667
22,251210_SEFL21H2_B2_trauma_21_22 Box 2.wmv,2,trauma,postshock,postshock_3,21.33333333,514.8416667
23,251210_SEFL21H2_B2_trauma_23_24 Box 1.wmv,1,trauma,postshock,postshock_3,6.5,607.2766667
24,251210_SEFL21H2_B2_trauma_23_24 Box 2.wmv,2,trauma,postshock,postshock_3,53.83333333,148.4883333
25,251210_SEFL21H2_B2_trauma_25_26 Box 1.wmv,1,trauma,postshock,postshock_3,67.16666667,228.27
26,251210_SEFL21H2_B2_trauma_25_26 Box 2.wmv,2,trauma,postshock,postshock_3,12.83333333,971.8216667
27,251210_SEFL21H2_B2_trauma_27_28 Box 1.wmv,1,trauma,postshock,postshock_3,3.166666667,683.69
28,251210_SEFL21H2_B2_trauma_27_28 Box 2.wmv,2,trauma,postshock,postshock_3,35.83333333,341.855
29,251210_SEFL21H2_B2_trauma_29_30 Box 1.wmv,1,trauma,postshock,postshock_3,48.33333333,274.86
30,251210_SEFL21H2_B2_trauma_29_30 Box 2.wmv,2,trauma,postshock,postshock_3,80.33333333,121.3433333
31,251210_SEFL21H2_B2_trauma_31_32 Box 1.wmv,1,trauma,postshock,postshock_3,4,677.8216667
32,251210_SEFL21H2_B2_trauma_31_32 Box 2.wmv,2,trauma,postshock,postshock_3,69.16666667,116.5916667
33,251210_SEFL21H2_B2_trauma_33_34 Box 1.wmv,1,trauma,postshock,postshock_3,44.66666667,283.1633333
34,251210_SEFL21H2_B2_trauma_33_34 Box 2.wmv,2,trauma,postshock,postshock_3,2.666666667,814.045
35,251210_SEFL21H2_B2_trauma_35_36 Box 1.wmv,1,trauma,postshock,postshock_3,2.5,570.5883333
36,251210_SEFL21H2_B2_trauma_35_36 Box 2.wmv,2,trauma,postshock,postshock_3,86.66666667,63.29833333
37,251210_SEFL21H2_B2_trauma_37_38 Box 1.wmv,1,trauma,postshock,postshock_3,78.83333333,147.4
38,251210_SEFL21H2_B2_trauma_37_38 Box 2.wmv,2,trauma,postshock,postshock_3,0,745.235
21,251210_SEFL21H2_B2_trauma_21_22 Box 1.wmv,1,trauma,postshock,postshock_4,2.333333333,738.3416667
22,251210_SEFL21H2_B2_trauma_21_22 Box 2.wmv,2,trauma,postshock,postshock_4,70,114.755
23,251210_SEFL21H2_B2_trauma_23_24 Box 1.wmv,1,trauma,postshock,postshock_4,2.666666667,835.3733333
24,251210_SEFL21H2_B2_trauma_23_24 Box 2.wmv,2,trauma,postshock,postshock_4,73.83333333,86.935
25,251210_SEFL21H2_B2_trauma_25_26 Box 1.wmv,1,trauma,postshock,postshock_4,71.83333333,107.8416667
26,251210_SEFL21H2_B2_trauma_25_26 Box 2.wmv,2,trauma,postshock,postshock_4,11,815.6383333
27,251210_SEFL21H2_B2_trauma_27_28 Box 1.wmv,1,trauma,postshock,postshock_4,9.5,464.35
28,251210_SEFL21H2_B2_trauma_27_28 Box 2.wmv,2,trauma,postshock,postshock_4,33.66666667,535.7666667
29,251210_SEFL21H2_B2_trauma_29_30 Box 1.wmv,1,trauma,postshock,postshock_4,71.33333333,168.1233333
30,251210_SEFL21H2_B2_trauma_29_30 Box 2.wmv,2,trauma,postshock,postshock_4,87.83333333,40.96166667
31,251210_SEFL21H2_B2_trauma_31_32 Box 1.wmv,1,trauma,postshock,postshock_4,21.5,406.695
32,251210_SEFL21H2_B2_trauma_31_32 Box 2.wmv,2,trauma,postshock,postshock_4,49.33333333,379.3083333
