Animal,File,phase,subphase,bin,motion,freezing
25,240320_SEFL21G4d_trauma_g6,trauma,shock,shock08,1170.97,0
25,240320_SEFL21G4d_trauma_g6,trauma,shock,shock09,932.7,0
25,240320_SEFL21G4d_trauma_g6,trauma,shock,shock10,968.47,0
26,240320_SEFL21G4d_trauma_g7,trauma,baseline,baseline,283.84,0
26,240320_SEFL21G4d_trauma_g7,trauma,postshock,postshock01,152.62,7.33
26,240320_SEFL21G4d_trauma_g7,trauma,postshock,postshock02,78.06,25.33
26,240320_SEFL21G4d_trauma_g7,trauma,postshock,postshock03,54.26,37.33
26,240320_SEFL21G4d_trauma_g7,trauma,postshock,postshock04,15.88,73.33
26,240320_SEFL21G4d_trauma_g7,trauma,postshock,postshock05,102.7,40
26,240320_SEFL21G4d_trauma_g7,trauma,postshock,postshock06,43.88,38.67
26,240320_SEFL21G4d_trauma_g7,trauma,postshock,postshock07,97.5,35.33
26,240320_SEFL21G4d_trauma_g7,trauma,postshock,postshock08,8.56,83.83
26,240320_SEFL21G4d_trauma_g7,trauma,postshock,postshock09,31.3,23.17
26,240320_SEFL21G4d_trauma_g7,trauma,postshock,postshock10,8.15,89.17
26,240320_SEFL21G4d_trauma_g7,trauma,shock,shock01,1099.63,0
26,240320_SEFL21G4d_trauma_g7,trauma,shock,shock02,795.93,0
26,240320_SEFL21G4d_trauma_g7,trauma,shock,shock03,617.1,0
26,240320_SEFL21G4d_trauma_g7,trauma,shock,shock04,713.6,0
26,240320_SEFL21G4d_trauma_g7,trauma,shock,shock05,680.1,0
26,240320_SEFL21G4d_trauma_g7,trauma,shock,shock06,563.93,0
26,240320_SEFL21G4d_trauma_g7,trauma,shock,shock07,637.67,0
26,240320_SEFL21G4d_trauma_g7,trauma,shock,shock08,648.37,0
26,240320_SEFL21G4d_trauma_g7,trauma,shock,shock09,895.4,0
26,240320_SEFL21G4d_trauma_g7,trauma,shock,shock10,1117.87,0
27,240320_SEFL21G4d_trauma_g7,trauma,baseline,baseline,211.52,1.59
27,240320_SEFL21G4d_trauma_g7,trauma,postshock,postshock01,182.41,0
27,240320_SEFL21G4d_trauma_g7,trauma,postshock,postshock02,145.46,0
27,240320_SEFL21G4d_trauma_g7,trauma,postshock,postshock03,95.4,39.83
27,240320_SEFL21G4d_trauma_g7,trauma,postshock,postshock04,100.32,17.83
27,240320_SEFL21G4d_trauma_g7,trauma,postshock,postshock05,25.25,60.67
27,240320_SEFL21G4d_trauma_g7,trauma,postshock,postshock06,18.27,79.33
27,240320_SEFL21G4d_trauma_g7,trauma,postshock,postshock07,16.26,48.67
27,240320_SEFL21G4d_trauma_g7,trauma,postshock,postshock08,16.1,65.33
27,240320_SEFL21G4d_trauma_g7,trauma,postshock,postshock09,3.57,83.5
27,240320_SEFL21G4d_trauma_g7,trauma,postshock,postshock10,10.38,77.17
27,240320_SEFL21G4d_trauma_g7,trauma,shock,shock01,689.13,0
27,240320_SEFL21G4d_trauma_g7,trauma,shock,shock02,506.73,0
27,240320_SEFL21G4d_trauma_g7,trauma,shock,shock03,433.23,0
27,240320_SEFL21G4d_trauma_g7,trauma,shock,shock04,709.07,0
27,240320_SEFL21G4d_trauma_g7,trauma,shock,shock05,1119.27,0
27,240320_SEFL21G4d_trauma_g7,trauma,shock,shock06,590.17,0
27,240320_SEFL21G4d_trauma_g7,trauma,shock,shock07,640.2,0
27,240320_SEFL21G4d_trauma_g7,trauma,shock,shock08,438.17,0
27,240320_SEFL21G4d_trauma_g7,trauma,shock,shock09,1005.57,0
27,240320_SEFL21G4d_trauma_g7,trauma,shock,shock10,405.63,0
28,240320_SEFL21G4d_trauma_g7,trauma,baseline,baseline,182.95,6.27
28,240320_SEFL21G4d_trauma_g7,trauma,postshock,postshock01,122.08,6.67
28,240320_SEFL21G4d_trauma_g7,trauma,postshock,postshock02,91.45,37.33
28,240320_SEFL21G4d_trauma_g7,trauma,postshock,postshock03,45.24,29.5
28,240320_SEFL21G4d_trauma_g7,trauma,postshock,postshock04,8.45,76.83
28,240320_SEFL21G4d_trauma_g7,trauma,postshock,postshock05,7.25,80.67
28,240320_SEFL21G4d_trauma_g7,trauma,postshock,postshock06,9.04,64
28,240320_SEFL21G4d_trauma_g7,trauma,postshock,postshock07,7.72,77.17
28,240320_SEFL21G4d_trauma_g7,trauma,postshock,postshock08,3.98,84
28,240320_SEFL21G4d_trauma_g7,trauma,postshock,postshock09,3.56,95.5
28,240320_SEFL21G4d_trauma_g7,trauma,postshock,postshock10,11.52,67.67
28,240320_SEFL21G4d_trauma_g7,trauma,shock,shock01,735.63,0
28,240320_SEFL21G4d_trauma_g7,trauma,shock,shock02,1147.37,0
28,240320_SEFL21G4d_trauma_g7,trauma,shock,shock03,632.47,0
28,240320_SEFL21G4d_trauma_g7,trauma,shock,shock04,561.27,0
28,240320_SEFL21G4d_trauma_g7,trauma,shock,shock05,550.37,0
28,240320_SEFL21G4d_trauma_g7,trauma,shock,shock06,867.47,0
28,240320_SEFL21G4d_trauma_g7,trauma,shock,shock07,664.37,0
28,240320_SEFL21G4d_trauma_g7,trauma,shock,shock08,319.9,0
28,240320_SEFL21G4d_trauma_g7,trauma,shock,shock09,317.67,0
28,240320_SEFL21G4d_trauma_g7,trauma,shock,shock10,569.1,0
29,240320_SEFL21G4d_trauma_g7,trauma,baseline,baseline,193.37,1.18
29,240320_SEFL21G4d_trauma_g7,trauma,postshock,postshock01,111.96,11.5
29,240320_SEFL21G4d_trauma_g7,trauma,postshock,postshock02,65.61,31
29,240320_SEFL21G4d_trauma_g7,trauma,postshock,postshock03,56.19,39.5
29,240320_SEFL21G4d_trauma_g7,trauma,postshock,postshock04,44.1,29.67
29,240320_SEFL21G4d_trauma_g7,trauma,postshock,postshock05,0.49,95.5
29,240320_SEFL21G4d_trauma_g7,trauma,postshock,postshock06,18.59,51.67
29,240320_SEFL21G4d_trauma_g7,trauma,postshock,postshock07,1.99,91.33
29,240320_SEFL21G4d_trauma_g7,trauma,postshock,postshock08,2.5,88.67
29,240320_SEFL21G4d_trauma_g7,trauma,postshock,postshock09,1.22,87.17
29,240320_SEFL21G4d_trauma_g7,trauma,postshock,postshock10,33.05,28.17
29,240320_SEFL21G4d_trauma_g7,trauma,shock,shock01,1074.1,0
29,240320_SEFL21G4d_trauma_g7,trauma,shock,shock02,832.47,0
29,240320_SEFL21G4d_trauma_g7,trauma,shock,shock03,898.87,0
29,240320_SEFL21G4d_trauma_g7,trauma,shock,shock04,1073.9,0
29,240320_SEFL21G4d_trauma_g7,trauma,shock,shock05,583.47,0
29,240320_SEFL21G4d_trauma_g7,trauma,shock,shock06,600.07,0
29,240320_SEFL21G4d_trauma_g7,trauma,shock,shock07,883.43,0
29,240320_SEFL21G4d_trauma_g7,trauma,shock,shock08,739.7,0
29,240320_SEFL21G4d_trauma_g7,trauma,shock,shock09,1122.97,0
29,240320_SEFL21G4d_trauma_g7,trauma,shock,shock10,922.37,0
1,21G4D_SEFL21G4d_sefltest_g1,sefltest,min,min01,201.59,11.44
1,21G4D_SEFL21G4d_sefltest_g1,sefltest,min,min02,116.17,28.89
1,21G4D_SEFL21G4d_sefltest_g1,sefltest,min,min03,138.97,14.11
1,21G4D_SEFL21G4d_sefltest_g1,sefltest,min,min04,173.03,20.28
1,21G4D_SEFL21G4d_sefltest_g1,sefltest,min,min05,122.97,31.5
1,21G4D_SEFL21G4d_sefltest_g1,sefltest,min,min06,119.84,33.28
1,21G4D_SEFL21G4d_sefltest_g1,sefltest,min,min07,157.42,13.11
1,21G4D_SEFL21G4d_sefltest_g1,sefltest,min,min08,203.59,28.78
1,21G4D_SEFL21G4d_sefltest_g1,sefltest,avg,avg,154.2,22.92
2,21G4D_SEFL21G4d_sefltest_g1,sefltest,min,min01,379.49,0
2,21G4D_SEFL21G4d_sefltest_g1,sefltest,min,min02,231.23,4.83
2,21G4D_SEFL21G4d_sefltest_g1,sefltest,min,min03,218.92,16.28
2,21G4D_SEFL21G4d_sefltest_g1,sefltest,min,min04,198.64,18.94
2,21G4D_SEFL21G4d_sefltest_g1,sefltest,min,min05,170.07,26.89
2,21G4D_SEFL21G4d_sefltest_g1,sefltest,min,min06,171.5,27
2,21G4D_SEFL21G4d_sefltest_g1,sefltest,min,min07,165.69,23.22
2,21G4D_SEFL21G4d_sefltest_g1,sefltest,min,min08,170.69,10.83
2,21G4D_SEFL21G4d_sefltest_g1,sefltest,avg,avg,213.28,16.49
3,21G4D_SEFL21G4d_sefltest_g1,sefltest,min,min01,93.64,16.61
3,21G4D_SEFL21G4d_sefltest_g1,sefltest,min,min02,35.08,46.28
3,21G4D_SEFL21G4d_sefltest_g1,sefltest,min,min03,37.33,46.44
3,21G4D_SEFL21G4d_sefltest_g1,sefltest,min,min04,174.6,14.78
3,21G4D_SEFL21G4d_sefltest_g1,sefltest,min,min05,116.33,23.78
3,21G4D_SEFL21G4d_sefltest_g1,sefltest,min,min06,92.65,32.22
3,21G4D_SEFL21G4d_sefltest_g1,sefltest,min,min07,136.44,26.33
3,21G4D_SEFL21G4d_sefltest_g1,sefltest,min,min08,75.22,41.33
3,21G4D_SEFL21G4d_sefltest_g1,sefltest,avg,avg,95.16,31.22
4,21G4D_SEFL21G4d_sefltest_g1,sefltest,min,min01,287.32,2.11
4,21G4D_SEFL21G4d_sefltest_g1,sefltest,min,min02,120.08,17.33
4,21G4D_SEFL21G4d_sefltest_g1,sefltest,min,min03,165.1,5.5
4,21G4D_SEFL21G4d_sefltest_g1,sefltest,min,min04,173.46,13
4,21G4D_SEFL21G4d_sefltest_g1,sefltest,min,min05,192.59,8.89
4,21G4D_SEFL21G4d_sefltest_g1,sefltest,min,min06,175.41,17.72
4,21G4D_SEFL21G4d_sefltest_g1,sefltest,min,min07,94.14,17.5
4,21G4D_SEFL21G4d_sefltest_g1,sefltest,min,min08,174.39,24.5
4,21G4D_SEFL21G4d_sefltest_g1,sefltest,avg,avg,172.81,13.32
5,21G4D_SEFL21G4d_sefltest_g2,sefltest,min,min01,229.58,4.22
5,21G4D_SEFL21G4d_sefltest_g2,sefltest,min,min02,131.11,21.39
5,21G4D_SEFL21G4d_sefltest_g2,sefltest,min,min03,131.86,38.72
5,21G4D_SEFL21G4d_sefltest_g2,sefltest,min,min04,172.59,8.89
5,21G4D_SEFL21G4d_sefltest_g2,sefltest,min,min05,150.74,31.28
5,21G4D_SEFL21G4d_sefltest_g2,sefltest,min,min06,173.67,11.22
5,21G4D_SEFL21G4d_sefltest_g2,sefltest,min,min07,142.53,12.61
5,21G4D_SEFL21G4d_sefltest_g2,sefltest,min,min08,115.47,32.5
5,21G4D_SEFL21G4d_sefltest_g2,sefltest,avg,avg,155.94,20.24
6,21G4D_SEFL21G4d_sefltest_g2,sefltest,min,min01,200.84,0
6,21G4D_SEFL21G4d_sefltest_g2,sefltest,min,min02,139.11,9.83
6,21G4D_SEFL21G4d_sefltest_g2,sefltest,min,min03,93.14,25.39
6,21G4D_SEFL21G4d_sefltest_g2,sefltest,min,min04,137.23,20.22
6,21G4D_SEFL21G4d_sefltest_g2,sefltest,min,min05,97.22,33.56
6,21G4D_SEFL21G4d_sefltest_g2,sefltest,min,min06,75.53,4.39
6,21G4D_SEFL21G4d_sefltest_g2,sefltest,min,min07,77.92,36.83
6,21G4D_SEFL21G4d_sefltest_g2,sefltest,min,min08,154.05,11.17
6,21G4D_SEFL21G4d_sefltest_g2,sefltest,avg,avg,121.88,17.67
7,21G4D_SEFL21G4d_sefltest_g2,sefltest,min,min01,298.94,0
7,21G4D_SEFL21G4d_sefltest_g2,sefltest,min,min02,123.68,13.06
7,21G4D_SEFL21G4d_sefltest_g2,sefltest,min,min03,180.96,3.56
7,21G4D_SEFL21G4d_sefltest_g2,sefltest,min,min04,143.5,10.78
7,21G4D_SEFL21G4d_sefltest_g2,sefltest,min,min05,114.16,33.56
7,21G4D_SEFL21G4d_sefltest_g2,sefltest,min,min06,169.52,13.17
7,21G4D_SEFL21G4d_sefltest_g2,sefltest,min,min07,142.67,28.39
7,21G4D_SEFL21G4d_sefltest_g2,sefltest,min,min08,122.53,32.33
7,21G4D_SEFL21G4d_sefltest_g2,sefltest,avg,avg,161.99,16.85
8,21G4D_SEFL21G4d_sefltest_g2,sefltest,min,min01,383.58,0
8,21G4D_SEFL21G4d_sefltest_g2,sefltest,min,min02,257.78,1.67
8,21G4D_SEFL21G4d_sefltest_g2,sefltest,min,min03,194.6,26.5
8,21G4D_SEFL21G4d_sefltest_g2,sefltest,min,min04,170.74,20.22
8,21G4D_SEFL21G4d_sefltest_g2,sefltest,min,min05,156.72,18
8,21G4D_SEFL21G4d_sefltest_g2,sefltest,min,min06,86.47,20.44
8,21G4D_SEFL21G4d_sefltest_g2,sefltest,min,min07,153.11,21.89
8,21G4D_SEFL21G4d_sefltest_g2,sefltest,min,min08,188.03,12.72
8,21G4D_SEFL21G4d_sefltest_g2,sefltest,avg,avg,198.88,15.18
9,21G4D_SEFL21G4d_sefltest_g3,sefltest,min,min01,412.44,0
9,21G4D_SEFL21G4d_sefltest_g3,sefltest,min,min02,350.66,0
9,21G4D_SEFL21G4d_sefltest_g3,sefltest,min,min03,306.43,9
9,21G4D_SEFL21G4d_sefltest_g3,sefltest,min,min04,215.94,28.33
9,21G4D_SEFL21G4d_sefltest_g3,sefltest,min,min05,225.66,7.83
9,21G4D_SEFL21G4d_sefltest_g3,sefltest,min,min06,219.4,21.33
9,21G4D_SEFL21G4d_sefltest_g3,sefltest,min,min07,213.45,25
9,21G4D_SEFL21G4d_sefltest_g3,sefltest,min,min08,139.23,32.89
9,21G4D_SEFL21G4d_sefltest_g3,sefltest,avg,avg,260.4,15.6
10,21G4D_SEFL21G4d_sefltest_g3,sefltest,min,min01,286.95,0
10,21G4D_SEFL21G4d_sefltest_g3,sefltest,min,min02,239.22,0
10,21G4D_SEFL21G4d_sefltest_g3,sefltest,min,min03,237.9,1.67
10,21G4D_SEFL21G4d_sefltest_g3,sefltest,min,min04,215.5,0
10,21G4D_SEFL21G4d_sefltest_g3,sefltest,min,min05,293.81,0
10,21G4D_SEFL21G4d_sefltest_g3,sefltest,min,min06,243.83,2
10,21G4D_SEFL21G4d_sefltest_g3,sefltest,min,min07,279.4,4.22
10,21G4D_SEFL21G4d_sefltest_g3,sefltest,min,min08,223.95,2.56
10,21G4D_SEFL21G4d_sefltest_g3,sefltest,avg,avg,252.57,1.31
11,21G4D_SEFL21G4d_sefltest_g3,sefltest,min,min01,224.44,2.89
11,21G4D_SEFL21G4d_sefltest_g3,sefltest,min,min02,191.57,10.22
11,21G4D_SEFL21G4d_sefltest_g3,sefltest,min,min03,136.41,12.89
11,21G4D_SEFL21G4d_sefltest_g3,sefltest,min,min04,187.69,25
11,21G4D_SEFL21G4d_sefltest_g3,sefltest,min,min05,115.87,33.33
11,21G4D_SEFL21G4d_sefltest_g3,sefltest,min,min06,157.71,27.33
11,21G4D_SEFL21G4d_sefltest_g3,sefltest,min,min07,242.23,8.11
11,21G4D_SEFL21G4d_sefltest_g3,sefltest,min,min08,207.37,14.22
11,21G4D_SEFL21G4d_sefltest_g3,sefltest,avg,avg,182.91,17.27
12,21G4D_SEFL21G4d_sefltest_g3,sefltest,min,min01,352.01,0
12,21G4D_SEFL21G4d_sefltest_g3,sefltest,min,min02,157.82,11.06
12,21G4D_SEFL21G4d_sefltest_g3,sefltest,min,min03,162.31,13.72
12,21G4D_SEFL21G4d_sefltest_g3,sefltest,min,min04,130.82,21.06
12,21G4D_SEFL21G4d_sefltest_g3,sefltest,min,min05,81.27,45.28
12,21G4D_SEFL21G4d_sefltest_g3,sefltest,min,min06,101.86,33.61
12,21G4D_SEFL21G4d_sefltest_g3,sefltest,min,min07,96.46,38.83
12,21G4D_SEFL21G4d_sefltest_g3,sefltest,min,min08,121.5,30.28
12,21G4D_SEFL21G4d_sefltest_g3,sefltest,avg,avg,150.51,24.47
13,21G4D_SEFL21G4d_sefltest_g4,sefltest,min,min01,304.5,3.78
13,21G4D_SEFL21G4d_sefltest_g4,sefltest,min,min02,273.38,10.33
13,21G4D_SEFL21G4d_sefltest_g4,sefltest,min,min03,243.47,10
13,21G4D_SEFL21G4d_sefltest_g4,sefltest,min,min04,266.63,11.28
13,21G4D_SEFL21G4d_sefltest_g4,sefltest,min,min05,195.64,22.39
13,21G4D_SEFL21G4d_sefltest_g4,sefltest,min,min06,215.99,24
13,21G4D_SEFL21G4d_sefltest_g4,sefltest,min,min07,171.35,22.5
13,21G4D_SEFL21G4d_sefltest_g4,sefltest,min,min08,220.81,9.94
13,21G4D_SEFL21G4d_sefltest_g4,sefltest,avg,avg,236.47,14.63
14,21G4D_SEFL21G4d_sefltest_g4,sefltest,min,min01,142.97,11.56
14,21G4D_SEFL21G4d_sefltest_g4,sefltest,min,min02,137.57,20.06
14,21G4D_SEFL21G4d_sefltest_g4,sefltest,min,min03,169.77,7.56
14,21G4D_SEFL21G4d_sefltest_g4,sefltest,min,min04,131.77,6.39
14,21G4D_SEFL21G4d_sefltest_g4,sefltest,min,min05,189.64,10.61
14,21G4D_SEFL21G4d_sefltest_g4,sefltest,min,min06,157.21,18.17
14,21G4D_SEFL21G4d_sefltest_g4,sefltest,min,min07,164.04,4.44
14,21G4D_SEFL21G4d_sefltest_g4,sefltest,min,min08,160.65,23.89
14,21G4D_SEFL21G4d_sefltest_g4,sefltest,avg,avg,156.7,13.11
15,21G4D_SEFL21G4d_sefltest_g4,sefltest,min,min01,62.28,12.22
15,21G4D_SEFL21G4d_sefltest_g4,sefltest,min,min02,103.2,8.61
15,21G4D_SEFL21G4d_sefltest_g4,sefltest,min,min03,46.31,39.83
15,21G4D_SEFL21G4d_sefltest_g4,sefltest,min,min04,171.07,25.28
15,21G4D_SEFL21G4d_sefltest_g4,sefltest,min,min05,138.61,16.61
15,21G4D_SEFL21G4d_sefltest_g4,sefltest,min,min06,188.52,14.22
15,21G4D_SEFL21G4d_sefltest_g4,sefltest,min,min07,135.33,26.5
15,21G4D_SEFL21G4d_sefltest_g4,sefltest,min,min08,113.17,29.61
15,21G4D_SEFL21G4d_sefltest_g4,sefltest,avg,avg,119.81,21.9
16,21G4D_SEFL21G4d_sefltest_g4,sefltest,min,min01,294.92,0
16,21G4D_SEFL21G4d_sefltest_g4,sefltest,min,min02,207.05,0
16,21G4D_SEFL21G4d_sefltest_g4,sefltest,min,min03,209.47,0
16,21G4D_SEFL21G4d_sefltest_g4,sefltest,min,min04,230.29,2.06
16,21G4D_SEFL21G4d_sefltest_g4,sefltest,min,min05,201.81,6.89
16,21G4D_SEFL21G4d_sefltest_g4,sefltest,min,min06,220.35,5.17
16,21G4D_SEFL21G4d_sefltest_g4,sefltest,min,min07,109.29,22.22
16,21G4D_SEFL21G4d_sefltest_g4,sefltest,min,min08,198.75,5.33
16,21G4D_SEFL21G4d_sefltest_g4,sefltest,avg,avg,208.99,5.21
17,21G4D_SEFL21G4d_sefltest_g5,sefltest,min,min01,436.51,0
17,21G4D_SEFL21G4d_sefltest_g5,sefltest,min,min02,360.76,1.83
17,21G4D_SEFL21G4d_sefltest_g5,sefltest,min,min03,312.37,7
17,21G4D_SEFL21G4d_sefltest_g5,sefltest,min,min04,248.82,13.28
17,21G4D_SEFL21G4d_sefltest_g5,sefltest,min,min05,317.36,7.06
17,21G4D_SEFL21G4d_sefltest_g5,sefltest,min,min06,196.91,8
17,21G4D_SEFL21G4d_sefltest_g5,sefltest,min,min07,232.68,15.94
17,21G4D_SEFL21G4d_sefltest_g5,sefltest,min,min08,175.2,31.94
17,21G4D_SEFL21G4d_sefltest_g5,sefltest,avg,avg,285.08,10.93
18,21G4D_SEFL21G4d_sefltest_g5,sefltest,min,min01,98.36,3.94
18,21G4D_SEFL21G4d_sefltest_g5,sefltest,min,min02,88.22,19.33
18,21G4D_SEFL21G4d_sefltest_g5,sefltest,min,min03,120.41,23.22
18,21G4D_SEFL21G4d_sefltest_g5,sefltest,min,min04,113.22,37
18,21G4D_SEFL21G4d_sefltest_g5,sefltest,min,min05,61.04,29.17
18,21G4D_SEFL21G4d_sefltest_g5,sefltest,min,min06,88.98,29.56
18,21G4D_SEFL21G4d_sefltest_g5,sefltest,min,min07,61.11,22
18,21G4D_SEFL21G4d_sefltest_g5,sefltest,min,min08,84.26,24.5
18,21G4D_SEFL21G4d_sefltest_g5,sefltest,avg,avg,89.45,24.08
20,21G4D_SEFL21G4d_sefltest_g5,sefltest,min,min01,389.09,0
20,21G4D_SEFL21G4d_sefltest_g5,sefltest,min,min02,193.95,4.39
20,21G4D_SEFL21G4d_sefltest_g5,sefltest,min,min03,182.09,11.28
20,21G4D_SEFL21G4d_sefltest_g5,sefltest,min,min04,211.04,4.44
20,21G4D_SEFL21G4d_sefltest_g5,sefltest,min,min05,162.51,12.61
20,21G4D_SEFL21G4d_sefltest_g5,sefltest,min,min06,123.89,27.72
20,21G4D_SEFL21G4d_sefltest_g5,sefltest,min,min07,124.65,34.33
20,21G4D_SEFL21G4d_sefltest_g5,sefltest,min,min08,210.95,3.78
20,21G4D_SEFL21G4d_sefltest_g5,sefltest,avg,avg,199.77,12.55
21,21G4D_SEFL21G4d_sefltest_g5,sefltest,min,min01,224.38,0
21,21G4D_SEFL21G4d_sefltest_g5,sefltest,min,min02,169.02,19.28
21,21G4D_SEFL21G4d_sefltest_g5,sefltest,min,min03,128.35,29.39
21,21G4D_SEFL21G4d_sefltest_g5,sefltest,min,min04,176.18,23.33
21,21G4D_SEFL21G4d_sefltest_g5,sefltest,min,min05,103.56,26.11
21,21G4D_SEFL21G4d_sefltest_g5,sefltest,min,min06,100.65,16.83
21,21G4D_SEFL21G4d_sefltest_g5,sefltest,min,min07,140.28,14.61
21,21G4D_SEFL21G4d_sefltest_g5,sefltest,min,min08,179.1,18.61
21,21G4D_SEFL21G4d_sefltest_g5,sefltest,avg,avg,152.69,18.52
22,21G4D_SEFL21G4d_sefltest_g6,sefltest,min,min01,347.05,3.94
22,21G4D_SEFL21G4d_sefltest_g6,sefltest,min,min02,322.17,3.28
22,21G4D_SEFL21G4d_sefltest_g6,sefltest,min,min03,319.37,7.06
22,21G4D_SEFL21G4d_sefltest_g6,sefltest,min,min04,265.37,5.83
22,21G4D_SEFL21G4d_sefltest_g6,sefltest,min,min05,145.38,32.61
22,21G4D_SEFL21G4d_sefltest_g6,sefltest,min,min06,296.86,2.72
22,21G4D_SEFL21G4d_sefltest_g6,sefltest,min,min07,316.11,6.17
22,21G4D_SEFL21G4d_sefltest_g6,sefltest,min,min08,208.29,21.56
22,21G4D_SEFL21G4d_sefltest_g6,sefltest,avg,avg,277.57,10.4
23,21G4D_SEFL21G4d_sefltest_g6,sefltest,min,min01,138.94,3.33
23,21G4D_SEFL21G4d_sefltest_g6,sefltest,min,min02,151.31,16.28
23,21G4D_SEFL21G4d_sefltest_g6,sefltest,min,min03,40.62,44.17
23,21G4D_SEFL21G4d_sefltest_g6,sefltest,min,min04,112.04,18.56
23,21G4D_SEFL21G4d_sefltest_g6,sefltest,min,min05,122.52,24.78
23,21G4D_SEFL21G4d_sefltest_g6,sefltest,min,min06,111.65,24.72
23,21G4D_SEFL21G4d_sefltest_g6,sefltest,min,min07,71.86,44.33
23,21G4D_SEFL21G4d_sefltest_g6,sefltest,min,min08,67.27,41.67
23,21G4D_SEFL21G4d_sefltest_g6,sefltest,avg,avg,102.03,27.27
24,21G4D_SEFL21G4d_sefltest_g6,sefltest,min,min01,242.68,0
24,21G4D_SEFL21G4d_sefltest_g6,sefltest,min,min02,170.11,1.83
24,21G4D_SEFL21G4d_sefltest_g6,sefltest,min,min03,157.76,21.61
24,21G4D_SEFL21G4d_sefltest_g6,sefltest,min,min04,188.16,8.06
24,21G4D_SEFL21G4d_sefltest_g6,sefltest,min,min05,156.45,17.67
24,21G4D_SEFL21G4d_sefltest_g6,sefltest,min,min06,158.27,9.22
24,21G4D_SEFL21G4d_sefltest_g6,sefltest,min,min07,138.07,34.89
24,21G4D_SEFL21G4d_sefltest_g6,sefltest,min,min08,172.35,18.67
24,21G4D_SEFL21G4d_sefltest_g6,sefltest,avg,avg,172.98,13.99
25,21G4D_SEFL21G4d_sefltest_g6,sefltest,min,min01,377.61,2.89
25,21G4D_SEFL21G4d_sefltest_g6,sefltest,min,min02,144.01,17.11
25,21G4D_SEFL21G4d_sefltest_g6,sefltest,min,min03,175.38,20
25,21G4D_SEFL21G4d_sefltest_g6,sefltest,min,min04,237.19,12.67
25,21G4D_SEFL21G4d_sefltest_g6,sefltest,min,min05,124.25,22.89
25,21G4D_SEFL21G4d_sefltest_g6,sefltest,min,min06,115.98,18.39
25,21G4D_SEFL21G4d_sefltest_g6,sefltest,min,min07,164.55,36.83
25,21G4D_SEFL21G4d_sefltest_g6,sefltest,min,min08,201.14,21.83
25,21G4D_SEFL21G4d_sefltest_g6,sefltest,avg,avg,192.51,19.28
26,21G4D_SEFL21G4d_sefltest_g7,sefltest,min,min01,417.02,0
26,21G4D_SEFL21G4d_sefltest_g7,sefltest,min,min02,310.06,2.22
26,21G4D_SEFL21G4d_sefltest_g7,sefltest,min,min03,268.11,6.11
26,21G4D_SEFL21G4d_sefltest_g7,sefltest,min,min04,262.59,6.61
26,21G4D_SEFL21G4d_sefltest_g7,sefltest,min,min05,253.79,13.56
26,21G4D_SEFL21G4d_sefltest_g7,sefltest,min,min06,295.86,6.28
26,21G4D_SEFL21G4d_sefltest_g7,sefltest,min,min07,187.65,4.83
26,21G4D_SEFL21G4d_sefltest_g7,sefltest,min,min08,201.39,7.94
26,21G4D_SEFL21G4d_sefltest_g7,sefltest,avg,avg,274.56,6.19
27,21G4D_SEFL21G4d_sefltest_g7,sefltest,min,min01,326.6,0
27,21G4D_SEFL21G4d_sefltest_g7,sefltest,min,min02,209.02,1.94
27,21G4D_SEFL21G4d_sefltest_g7,sefltest,min,min03,174.83,19.78
27,21G4D_SEFL21G4d_sefltest_g7,sefltest,min,min04,153.47,24.5
27,21G4D_SEFL21G4d_sefltest_g7,sefltest,min,min05,172.52,23.89
27,21G4D_SEFL21G4d_sefltest_g7,sefltest,min,min06,149.71,23
27,21G4D_SEFL21G4d_sefltest_g7,sefltest,min,min07,244.18,17.94
27,21G4D_SEFL21G4d_sefltest_g7,sefltest,min,min08,219.95,14.94
27,21G4D_SEFL21G4d_sefltest_g7,sefltest,avg,avg,206.29,15.84
28,21G4D_SEFL21G4d_sefltest_g7,sefltest,min,min01,235.07,2.39
28,21G4D_SEFL21G4d_sefltest_g7,sefltest,min,min02,75.64,28.22
28,21G4D_SEFL21G4d_sefltest_g7,sefltest,min,min03,104.37,31.72
28,21G4D_SEFL21G4d_sefltest_g7,sefltest,min,min04,110.04,36.83
28,21G4D_SEFL21G4d_sefltest_g7,sefltest,min,min05,12.5,60.33
28,21G4D_SEFL21G4d_sefltest_g7,sefltest,min,min06,94.33,36.28
28,21G4D_SEFL21G4d_sefltest_g7,sefltest,min,min07,119.64,35.44
28,21G4D_SEFL21G4d_sefltest_g7,sefltest,min,min08,180.84,21.67
28,21G4D_SEFL21G4d_sefltest_g7,sefltest,avg,avg,116.55,31.65
29,21G4D_SEFL21G4d_sefltest_g7,sefltest,min,min01,432.64,0
29,21G4D_SEFL21G4d_sefltest_g7,sefltest,min,min02,290.22,0
29,21G4D_SEFL21G4d_sefltest_g7,sefltest,min,min03,251.21,10.72
29,21G4D_SEFL21G4d_sefltest_g7,sefltest,min,min04,184.71,25.56
29,21G4D_SEFL21G4d_sefltest_g7,sefltest,min,min05,171.6,18.89
29,21G4D_SEFL21G4d_sefltest_g7,sefltest,min,min06,119.42,26.94
29,21G4D_SEFL21G4d_sefltest_g7,sefltest,min,min07,171.07,10.56
29,21G4D_SEFL21G4d_sefltest_g7,sefltest,min,min08,153.48,11.67
