Animal,TestNumber,Box,File,Location_Thresh,Use_Window,Window_Weight,Window_Size,Start_Frame,bin,range(f),Distance_px,Distance_cm
23,1,1,250606_10N6d_Loc1_23_24.avi,99,TRUE,0.9,100,0,3,"(60, 90)",12.71705198,2.497391789
25,1,1,250606_10N6d_Loc1_25_26.avi,99,TRUE,0.9,100,0,3,"(60, 90)",8.161267828,1.602720764
27,1,1,250606_10N6d_Loc1_27_28.avi,99,TRUE,0.9,100,0,3,"(60, 90)",46.04050651,9.041496656
29,1,1,250606_10N6d_Loc1_29_30.avi,99,TRUE,0.9,100,0,3,"(60, 90)",97.09092221,19.06684603
31,1,1,250606_10N6d_Loc1_31_32.avi,99,TRUE,0.9,100,0,3,"(60, 90)",12.70189227,2.494414706
1,1,1,250606_10N6d_Loc1_01_02.avi,99,TRUE,0.9,100,0,4,"(90, 120)",11.83492436,2.324158381
3,1,1,250606_10N6d_Loc1_03_04.avi,99,TRUE,0.9,100,0,4,"(90, 120)",6.889911249,1.353050048
5,1,1,250606_10N6d_Loc1_05_06.avi,99,TRUE,0.9,100,0,4,"(90, 120)",16.11973209,3.165614692
7,1,1,250606_10N6d_Loc1_07_08.avi,99,TRUE,0.9,100,0,4,"(90, 120)",16.77653837,3.294599192
9,1,1,250606_10N6d_Loc1_09_10.avi,99,TRUE,0.9,100,0,4,"(90, 120)",36.63817628,7.195054387
11,1,1,250606_10N6d_Loc1_11_12.avi,99,TRUE,0.9,100,0,4,"(90, 120)",13.76966898,2.704106134
13,1,1,250606_10N6d_Loc1_13_14.avi,99,TRUE,0.9,100,0,4,"(90, 120)",24.12242485,4.737194271
15,1,1,250606_10N6d_Loc1_15_16.avi,99,TRUE,0.9,100,0,4,"(90, 120)",11.88886079,2.334750489
17,1,1,250606_10N6d_Loc1_17_18.avi,99,TRUE,0.9,100,0,4,"(90, 120)",14.90246266,2.926565682
19,1,1,250606_10N6d_Loc1_19_20.avi,99,TRUE,0.9,100,0,4,"(90, 120)",10.70928286,2.103103386
21,1,1,250606_10N6d_Loc1_21_22.avi,99,TRUE,0.9,100,0,4,"(90, 120)",19.03765695,3.738640704
23,1,1,250606_10N6d_Loc1_23_24.avi,99,TRUE,0.9,100,0,4,"(90, 120)",9.950172691,1.95402831
25,1,1,250606_10N6d_Loc1_25_26.avi,99,TRUE,0.9,100,0,4,"(90, 120)",9.643668629,1.893836629
27,1,1,250606_10N6d_Loc1_27_28.avi,99,TRUE,0.9,100,0,4,"(90, 120)",73.62039601,14.45767249
29,1,1,250606_10N6d_Loc1_29_30.avi,99,TRUE,0.9,100,0,4,"(90, 120)",32.17086704,6.317758184
31,1,1,250606_10N6d_Loc1_31_32.avi,99,TRUE,0.9,100,0,4,"(90, 120)",12.07950725,2.372189897
1,1,1,250606_10N6d_Loc1_01_02.avi,99,TRUE,0.9,100,0,5,"(120, 150)",26.8109512,5.265170695
3,1,1,250606_10N6d_Loc1_03_04.avi,99,TRUE,0.9,100,0,5,"(120, 150)",40.96323416,8.044415076
5,1,1,250606_10N6d_Loc1_05_06.avi,99,TRUE,0.9,100,0,5,"(120, 150)",27.09428381,5.320811934
7,1,1,250606_10N6d_Loc1_07_08.avi,99,TRUE,0.9,100,0,5,"(120, 150)",13.81135656,2.712292796
9,1,1,250606_10N6d_Loc1_09_10.avi,99,TRUE,0.9,100,0,5,"(120, 150)",21.89867234,4.300490758
11,1,1,250606_10N6d_Loc1_11_12.avi,99,TRUE,0.9,100,0,5,"(120, 150)",8.469692916,1.663289698
13,1,1,250606_10N6d_Loc1_13_14.avi,99,TRUE,0.9,100,0,5,"(120, 150)",13.55641013,2.662226074
15,1,1,250606_10N6d_Loc1_15_16.avi,99,TRUE,0.9,100,0,5,"(120, 150)",8.269256651,1.623927755
17,1,1,250606_10N6d_Loc1_17_18.avi,99,TRUE,0.9,100,0,5,"(120, 150)",16.5004996,3.240390327
19,1,1,250606_10N6d_Loc1_19_20.avi,99,TRUE,0.9,100,0,5,"(120, 150)",16.67324854,3.274314997
21,1,1,250606_10N6d_Loc1_21_22.avi,99,TRUE,0.9,100,0,5,"(120, 150)",12.52441676,2.459561826
23,1,1,250606_10N6d_Loc1_23_24.avi,99,TRUE,0.9,100,0,5,"(120, 150)",11.37133391,2.233117864
25,1,1,250606_10N6d_Loc1_25_26.avi,99,TRUE,0.9,100,0,5,"(120, 150)",11.25362001,2.210001049
27,1,1,250606_10N6d_Loc1_27_28.avi,99,TRUE,0.9,100,0,5,"(120, 150)",23.49370092,4.613724618
29,1,1,250606_10N6d_Loc1_29_30.avi,99,TRUE,0.9,100,0,5,"(120, 150)",15.87673246,3.117894097
31,1,1,250606_10N6d_Loc1_31_32.avi,99,TRUE,0.9,100,0,5,"(120, 150)",11.36170891,2.231227694
1,1,1,250606_10N6d_Loc1_01_02.avi,99,TRUE,0.9,100,0,6,"(150, 180)",21.04303283,4.13245912
3,1,1,250606_10N6d_Loc1_03_04.avi,99,TRUE,0.9,100,0,6,"(150, 180)",69.73325881,13.69431125
5,1,1,250606_10N6d_Loc1_05_06.avi,99,TRUE,0.9,100,0,6,"(150, 180)",66.50267059,13.05988399
7,1,1,250606_10N6d_Loc1_07_08.avi,99,TRUE,0.9,100,0,6,"(150, 180)",12.04278124,2.364977595
9,1,1,250606_10N6d_Loc1_09_10.avi,99,TRUE,0.9,100,0,6,"(150, 180)",27.83454501,5.466185425
11,1,1,250606_10N6d_Loc1_11_12.avi,99,TRUE,0.9,100,0,6,"(150, 180)",12.257494,2.407143176
13,1,1,250606_10N6d_Loc1_13_14.avi,99,TRUE,0.9,100,0,6,"(150, 180)",11.60557057,2.279117574
15,1,1,250606_10N6d_Loc1_15_16.avi,99,TRUE,0.9,100,0,6,"(150, 180)",16.16973959,3.175435232
17,1,1,250606_10N6d_Loc1_17_18.avi,99,TRUE,0.9,100,0,6,"(150, 180)",21.83553204,4.288091181
19,1,1,250606_10N6d_Loc1_19_20.avi,99,TRUE,0.9,100,0,6,"(150, 180)",18.47986874,3.629101505
21,1,1,250606_10N6d_Loc1_21_22.avi,99,TRUE,0.9,100,0,6,"(150, 180)",15.11020593,2.967362586
23,1,1,250606_10N6d_Loc1_23_24.avi,99,TRUE,0.9,100,0,6,"(150, 180)",9.115271766,1.790069342
25,1,1,250606_10N6d_Loc1_25_26.avi,99,TRUE,0.9,100,0,6,"(150, 180)",10.77402142,2.115816832
27,1,1,250606_10N6d_Loc1_27_28.avi,99,TRUE,0.9,100,0,6,"(150, 180)",29.31852159,5.757610743
29,1,1,250606_10N6d_Loc1_29_30.avi,99,TRUE,0.9,100,0,6,"(150, 180)",17.73100028,3.482037707
31,1,1,250606_10N6d_Loc1_31_32.avi,99,TRUE,0.9,100,0,6,"(150, 180)",15.15356187,2.975876882
1,1,1,250606_10N6d_Loc1_01_02.avi,99,TRUE,0.9,100,0,7,"(180, 210)",14.90338737,2.926747278
3,1,1,250606_10N6d_Loc1_03_04.avi,99,TRUE,0.9,100,0,7,"(180, 210)",76.44757322,15.01287736
5,1,1,250606_10N6d_Loc1_05_06.avi,99,TRUE,0.9,100,0,7,"(180, 210)",48.61889711,9.547844475
7,1,1,250606_10N6d_Loc1_07_08.avi,99,TRUE,0.9,100,0,7,"(180, 210)",7.156278582,1.405359623
9,1,1,250606_10N6d_Loc1_09_10.avi,99,TRUE,0.9,100,0,7,"(180, 210)",19.69527176,3.867783986
11,1,1,250606_10N6d_Loc1_11_12.avi,99,TRUE,0.9,100,0,7,"(180, 210)",10.32334831,2.027313039
13,1,1,250606_10N6d_Loc1_13_14.avi,99,TRUE,0.9,100,0,7,"(180, 210)",11.63866194,2.285616102
15,1,1,250606_10N6d_Loc1_15_16.avi,99,TRUE,0.9,100,0,7,"(180, 210)",12.14466576,2.384985813
17,1,1,250606_10N6d_Loc1_17_18.avi,99,TRUE,0.9,100,0,7,"(180, 210)",71.55529884,14.05212593
19,1,1,250606_10N6d_Loc1_19_20.avi,99,TRUE,0.9,100,0,7,"(180, 210)",18.80396934,3.692748816
21,1,1,250606_10N6d_Loc1_21_22.avi,99,TRUE,0.9,100,0,7,"(180, 210)",16.96315577,3.331247369
23,1,1,250606_10N6d_Loc1_23_24.avi,99,TRUE,0.9,100,0,7,"(180, 210)",12.77723762,2.509211127
25,1,1,250606_10N6d_Loc1_25_26.avi,99,TRUE,0.9,100,0,7,"(180, 210)",11.87392836,2.331818038
27,1,1,250606_10N6d_Loc1_27_28.avi,99,TRUE,0.9,100,0,7,"(180, 210)",34.36581217,6.748804464
29,1,1,250606_10N6d_Loc1_29_30.avi,99,TRUE,0.9,100,0,7,"(180, 210)",13.11705087,2.575944111
31,1,1,250606_10N6d_Loc1_31_32.avi,99,TRUE,0.9,100,0,7,"(180, 210)",16.00652386,3.143382706
1,1,1,250606_10N6d_Loc1_01_02.avi,99,TRUE,0.9,100,0,8,"(210, 240)",16.51050564,3.242355328
3,1,1,250606_10N6d_Loc1_03_04.avi,99,TRUE,0.9,100,0,8,"(210, 240)",31.6610288,6.217635464
5,1,1,250606_10N6d_Loc1_05_06.avi,99,TRUE,0.9,100,0,8,"(210, 240)",15.03023125,2.95165705
7,1,1,250606_10N6d_Loc1_07_08.avi,99,TRUE,0.9,100,0,8,"(210, 240)",14.75808987,2.898213559
9,1,1,250606_10N6d_Loc1_09_10.avi,99,TRUE,0.9,100,0,8,"(210, 240)",13.26865771,2.605716866
11,1,1,250606_10N6d_Loc1_11_12.avi,99,TRUE,0.9,100,0,8,"(210, 240)",13.94404237,2.738349814
13,1,1,250606_10N6d_Loc1_13_14.avi,99,TRUE,0.9,100,0,8,"(210, 240)",8.798083293,1.727779443
15,1,1,250606_10N6d_Loc1_15_16.avi,99,TRUE,0.9,100,0,8,"(210, 240)",9.751802471,1.915072099
17,1,1,250606_10N6d_Loc1_17_18.avi,99,TRUE,0.9,100,0,8,"(210, 240)",13.94389595,2.738321061
19,1,1,250606_10N6d_Loc1_19_20.avi,99,TRUE,0.9,100,0,8,"(210, 240)",14.94475991,2.934872073
21,1,1,250606_10N6d_Loc1_21_22.avi,99,TRUE,0.9,100,0,8,"(210, 240)",18.08437533,3.551433975
23,1,1,250606_10N6d_Loc1_23_24.avi,99,TRUE,0.9,100,0,8,"(210, 240)",60.3182106,11.84537141
25,1,1,250606_10N6d_Loc1_25_26.avi,99,TRUE,0.9,100,0,8,"(210, 240)",9.711228568,1.907104141
27,1,1,250606_10N6d_Loc1_27_28.avi,99,TRUE,0.9,100,0,8,"(210, 240)",10.49512279,2.061046344
29,1,1,250606_10N6d_Loc1_29_30.avi,99,TRUE,0.9,100,0,8,"(210, 240)",11.49202543,2.256819426
31,1,1,250606_10N6d_Loc1_31_32.avi,99,TRUE,0.9,100,0,8,"(210, 240)",100.048144,19.64758922
1,1,1,250606_10N6d_Loc1_01_02.avi,99,TRUE,0.9,100,0,9,"(240, 270)",11.22373648,2.20413248
3,1,1,250606_10N6d_Loc1_03_04.avi,99,TRUE,0.9,100,0,9,"(240, 270)",72.38829421,14.21571068
5,1,1,250606_10N6d_Loc1_05_06.avi,99,TRUE,0.9,100,0,9,"(240, 270)",12.4832157,2.451470706
7,1,1,250606_10N6d_Loc1_07_08.avi,99,TRUE,0.9,100,0,9,"(240, 270)",15.78171954,3.099235333
9,1,1,250606_10N6d_Loc1_09_10.avi,99,TRUE,0.9,100,0,9,"(240, 270)",30.26777133,5.944025687
11,1,1,250606_10N6d_Loc1_11_12.avi,99,TRUE,0.9,100,0,9,"(240, 270)",10.41614105,2.045535803
13,1,1,250606_10N6d_Loc1_13_14.avi,99,TRUE,0.9,100,0,9,"(240, 270)",9.494735953,1.86458903
15,1,1,250606_10N6d_Loc1_15_16.avi,99,TRUE,0.9,100,0,9,"(240, 270)",17.47466953,3.43169913
17,1,1,250606_10N6d_Loc1_17_18.avi,99,TRUE,0.9,100,0,9,"(240, 270)",11.60836115,2.279665591
19,1,1,250606_10N6d_Loc1_19_20.avi,99,TRUE,0.9,100,0,9,"(240, 270)",19.20655037,3.77180822
21,1,1,250606_10N6d_Loc1_21_22.avi,99,TRUE,0.9,100,0,9,"(240, 270)",18.54444473,3.641783025
23,1,1,250606_10N6d_Loc1_23_24.avi,99,TRUE,0.9,100,0,9,"(240, 270)",48.19188644,9.463987543
25,1,1,250606_10N6d_Loc1_25_26.avi,99,TRUE,0.9,100,0,9,"(240, 270)",13.58602975,2.668042815
27,1,1,250606_10N6d_Loc1_27_28.avi,99,TRUE,0.9,100,0,9,"(240, 270)",23.00818464,4.518378277
29,1,1,250606_10N6d_Loc1_29_30.avi,99,TRUE,0.9,100,0,9,"(240, 270)",19.70282624,3.869267545
31,1,1,250606_10N6d_Loc1_31_32.avi,99,TRUE,0.9,100,0,9,"(240, 270)",50.23165919,9.864560863
1,1,1,250606_10N6d_Loc1_01_02.avi,99,TRUE,0.9,100,0,10,"(270, 300)",10.94744096,2.149873195
3,1,1,250606_10N6d_Loc1_03_04.avi,99,TRUE,0.9,100,0,10,"(270, 300)",36.26453379,7.121677972
5,1,1,250606_10N6d_Loc1_05_06.avi,99,TRUE,0.9,100,0,10,"(270, 300)",16.93561568,3.325839008
7,1,1,250606_10N6d_Loc1_07_08.avi,99,TRUE,0.9,100,0,10,"(270, 300)",10.36445637,2.035385896
9,1,1,250606_10N6d_Loc1_09_10.avi,99,TRUE,0.9,100,0,10,"(270, 300)",16.57296834,3.254621836
11,1,1,250606_10N6d_Loc1_11_12.avi,99,TRUE,0.9,100,0,10,"(270, 300)",13.39231777,2.630001396
13,1,1,250606_10N6d_Loc1_13_14.avi,99,TRUE,0.9,100,0,10,"(270, 300)",9.297360666,1.825828205
15,1,1,250606_10N6d_Loc1_15_16.avi,99,TRUE,0.9,100,0,10,"(270, 300)",15.31876422,3.008319543
17,1,1,250606_10N6d_Loc1_17_18.avi,99,TRUE,0.9,100,0,10,"(270, 300)",17.44092583,3.425072496
19,1,1,250606_10N6d_Loc1_19_20.avi,99,TRUE,0.9,100,0,10,"(270, 300)",18.0052357,3.535892428
21,1,1,250606_10N6d_Loc1_21_22.avi,99,TRUE,0.9,100,0,10,"(270, 300)",19.45363807,3.820331637
23,1,1,250606_10N6d_Loc1_23_24.avi,99,TRUE,0.9,100,0,10,"(270, 300)",25.15848855,4.940657854
25,1,1,250606_10N6d_Loc1_25_26.avi,99,TRUE,0.9,100,0,10,"(270, 300)",11.6589976,2.289609646
27,1,1,250606_10N6d_Loc1_27_28.avi,99,TRUE,0.9,100,0,10,"(270, 300)",28.7031642,5.636766031
29,1,1,250606_10N6d_Loc1_29_30.avi,99,TRUE,0.9,100,0,10,"(270, 300)",46.52758946,9.137150662
31,1,1,250606_10N6d_Loc1_31_32.avi,99,TRUE,0.9,100,0,10,"(270, 300)",75.47009047,14.82091798
1,1,1,250606_10N6d_Loc1_01_02.avi,99,TRUE,0.9,100,0,11,"(300, 330)",9.478141268,1.861330143
3,1,1,250606_10N6d_Loc1_03_04.avi,99,TRUE,0.9,100,0,11,"(300, 330)",27.41147326,5.383102025
5,1,1,250606_10N6d_Loc1_05_06.avi,99,TRUE,0.9,100,0,11,"(300, 330)",117.2172007,23.0192717
7,1,1,250606_10N6d_Loc1_07_08.avi,99,TRUE,0.9,100,0,11,"(300, 330)",8.506399404,1.670498168
9,1,1,250606_10N6d_Loc1_09_10.avi,99,TRUE,0.9,100,0,11,"(300, 330)",12.30650655,2.416768325
11,1,1,250606_10N6d_Loc1_11_12.avi,99,TRUE,0.9,100,0,11,"(300, 330)",10.25341025,2.01357851
13,1,1,250606_10N6d_Loc1_13_14.avi,99,TRUE,0.9,100,0,11,"(300, 330)",12.04212578,2.364848874
15,1,1,250606_10N6d_Loc1_15_16.avi,99,TRUE,0.9,100,0,11,"(300, 330)",14.64646709,2.876292927
17,1,1,250606_10N6d_Loc1_17_18.avi,99,TRUE,0.9,100,0,11,"(300, 330)",57.73996311,11.3390517
19,1,1,250606_10N6d_Loc1_19_20.avi,99,TRUE,0.9,100,0,11,"(300, 330)",34.0453963,6.685880765
21,1,1,250606_10N6d_Loc1_21_22.avi,99,TRUE,0.9,100,0,11,"(300, 330)",8.129489893,1.596480171
23,1,1,250606_10N6d_Loc1_23_24.avi,99,TRUE,0.9,100,0,11,"(300, 330)",11.08201448,2.176300924
25,1,1,250606_10N6d_Loc1_25_26.avi,99,TRUE,0.9,100,0,11,"(300, 330)",7.61363695,1.495176275
27,1,1,250606_10N6d_Loc1_27_28.avi,99,TRUE,0.9,100,0,11,"(300, 330)",69.87272814,13.72170043
29,1,1,250606_10N6d_Loc1_29_30.avi,99,TRUE,0.9,100,0,11,"(300, 330)",11.19070351,2.197645423
