Animal,File,phase,subphase,component,freezing,motion
17,240327_SEFL21H_trauma_17_18 Box 1.wmv,trauma,postshock,postshock_7,23.83333333,410.06
18,240327_SEFL21H_trauma_17_18 Box 2.wmv,trauma,postshock,postshock_7,55.83333333,243.7333333
20,240327_SEFL21H_trauma_19_20 Box 2.wmv,trauma,postshock,postshock_7,52,228.925
22,240327_SEFL21H_trauma_21_22 Box 2.wmv,trauma,postshock,postshock_7,58.83333333,224.9366667
25,240327_SEFL21H_trauma_24_25 Box 2.wmv,trauma,postshock,postshock_7,34.16666667,326.2733333
27,240327_SEFL21H_trauma_26_27 Box 2.wmv,trauma,postshock,postshock_7,78.66666667,145.6016667
19,240327_SEFL21H_trauma_19_20 Box 1.wmv,trauma,postshock,postshock_8,80.33333333,76.17833333
21,240327_SEFL21H_trauma_21_22 Box 1.wmv,trauma,postshock,postshock_8,18.66666667,368.5983333
24,240327_SEFL21H_trauma_24_25 Box 1.wmv,trauma,postshock,postshock_8,83.5,60.91833333
26,240327_SEFL21H_trauma_26_27 Box 1.wmv,trauma,postshock,postshock_8,71.33333333,164.265
28,240327_SEFL21H_trauma_28 Box 1.wmv,trauma,postshock,postshock_8,70.66666667,120.0866667
1,240327_SEFL21H_trauma_01_02 Box 1.wmv,trauma,postshock,postshock_8,98.5,3.615
2,240327_SEFL21H_trauma_01_02 Box 2.wmv,trauma,postshock,postshock_8,36.16666667,349.2166667
3,240327_SEFL21H_trauma_03_04 Box 1.wmv,trauma,postshock,postshock_8,38.33333333,367.2683333
4,240327_SEFL21H_trauma_03_04 Box 2.wmv,trauma,postshock,postshock_8,66.83333333,164.6166667
5,240327_SEFL21H_trauma_05_06 Box 1.wmv,trauma,postshock,postshock_8,60.66666667,162.0033333
6,240327_SEFL21H_trauma_05_06 Box 2.wmv,trauma,postshock,postshock_8,89.5,36.86333333
7,240327_SEFL21H_trauma_07_08 Box 1.wmv,trauma,postshock,postshock_8,27.16666667,577.6333333
8,240327_SEFL21H_trauma_07_08 Box 2.wmv,trauma,postshock,postshock_8,13.5,606.5683333
9,240327_SEFL21H_trauma_09_10 Box 1.wmv,trauma,postshock,postshock_8,10.16666667,681.1883333
10,240327_SEFL21H_trauma_09_10 Box 2.wmv,trauma,postshock,postshock_8,100,0.445
11,240327_SEFL21H_trauma_11_12 Box 1.wmv,trauma,postshock,postshock_8,76,90.215
12,240327_SEFL21H_trauma_11_12 Box 2.wmv,trauma,postshock,postshock_8,51.33333333,361.3933333
13,240327_SEFL21H_trauma_13_14 Box 1.wmv,trauma,postshock,postshock_8,100,11.91833333
14,240327_SEFL21H_trauma_13_14 Box 2.wmv,trauma,postshock,postshock_8,9.5,726.2
15,240327_SEFL21H_trauma_15_16 Box 1.wmv,trauma,postshock,postshock_8,83.33333333,59.35166667
16,240327_SEFL21H_trauma_15_16 Box 2.wmv,trauma,postshock,postshock_8,23.16666667,564.8433333
17,240327_SEFL21H_trauma_17_18 Box 1.wmv,trauma,postshock,postshock_8,77.16666667,122.275
18,240327_SEFL21H_trauma_17_18 Box 2.wmv,trauma,postshock,postshock_8,87.83333333,86.915
20,240327_SEFL21H_trauma_19_20 Box 2.wmv,trauma,postshock,postshock_8,93.33333333,17.64
22,240327_SEFL21H_trauma_21_22 Box 2.wmv,trauma,postshock,postshock_8,53.33333333,173.7066667
25,240327_SEFL21H_trauma_24_25 Box 2.wmv,trauma,postshock,postshock_8,36.66666667,439.38
27,240327_SEFL21H_trauma_26_27 Box 2.wmv,trauma,postshock,postshock_8,83,57.61
19,240327_SEFL21H_trauma_19_20 Box 1.wmv,trauma,postshock,postshock_9,34,419.5883333
21,240327_SEFL21H_trauma_21_22 Box 1.wmv,trauma,postshock,postshock_9,48,170.4766667
24,240327_SEFL21H_trauma_24_25 Box 1.wmv,trauma,postshock,postshock_9,96,10.265
26,240327_SEFL21H_trauma_26_27 Box 1.wmv,trauma,postshock,postshock_9,74,108.16
28,240327_SEFL21H_trauma_28 Box 1.wmv,trauma,postshock,postshock_9,60.33333333,251.6483333
1,240327_SEFL21H_trauma_01_02 Box 1.wmv,trauma,postshock,postshock_9,100,0.003333333
2,240327_SEFL21H_trauma_01_02 Box 2.wmv,trauma,postshock,postshock_9,54.83333333,281.2033333
3,240327_SEFL21H_trauma_03_04 Box 1.wmv,trauma,postshock,postshock_9,46,310.4316667
4,240327_SEFL21H_trauma_03_04 Box 2.wmv,trauma,postshock,postshock_9,90,66.36833333
5,240327_SEFL21H_trauma_05_06 Box 1.wmv,trauma,postshock,postshock_9,39.5,290.425
6,240327_SEFL21H_trauma_05_06 Box 2.wmv,trauma,postshock,postshock_9,83.83333333,56.90666667
7,240327_SEFL21H_trauma_07_08 Box 1.wmv,trauma,postshock,postshock_9,81.83333333,118.6766667
8,240327_SEFL21H_trauma_07_08 Box 2.wmv,trauma,postshock,postshock_9,41.66666667,288.8183333
9,240327_SEFL21H_trauma_09_10 Box 1.wmv,trauma,postshock,postshock_9,25,404.9483333
10,240327_SEFL21H_trauma_09_10 Box 2.wmv,trauma,postshock,postshock_9,68,156.57
11,240327_SEFL21H_trauma_11_12 Box 1.wmv,trauma,postshock,postshock_9,43.66666667,471.07
12,240327_SEFL21H_trauma_11_12 Box 2.wmv,trauma,postshock,postshock_9,79.5,81.25
13,240327_SEFL21H_trauma_13_14 Box 1.wmv,trauma,postshock,postshock_9,96.33333333,16.255
14,240327_SEFL21H_trauma_13_14 Box 2.wmv,trauma,postshock,postshock_9,41,292.81
15,240327_SEFL21H_trauma_15_16 Box 1.wmv,trauma,postshock,postshock_9,99.83333333,2.661666667
16,240327_SEFL21H_trauma_15_16 Box 2.wmv,trauma,postshock,postshock_9,40.33333333,347.9416667
17,240327_SEFL21H_trauma_17_18 Box 1.wmv,trauma,postshock,postshock_9,60.83333333,244.2083333
18,240327_SEFL21H_trauma_17_18 Box 2.wmv,trauma,postshock,postshock_9,68.5,169.2416667
20,240327_SEFL21H_trauma_19_20 Box 2.wmv,trauma,postshock,postshock_9,84.83333333,51.39666667
22,240327_SEFL21H_trauma_21_22 Box 2.wmv,trauma,postshock,postshock_9,68.66666667,128.485
25,240327_SEFL21H_trauma_24_25 Box 2.wmv,trauma,postshock,postshock_9,84.83333333,78.39666667
27,240327_SEFL21H_trauma_26_27 Box 2.wmv,trauma,postshock,postshock_9,68.5,87.30166667
19,240327_SEFL21H_trauma_19_20 Box 1.wmv,trauma,shock,shock_1,0,2937.133333
21,240327_SEFL21H_trauma_21_22 Box 1.wmv,trauma,shock,shock_1,0,3047
24,240327_SEFL21H_trauma_24_25 Box 1.wmv,trauma,shock,shock_1,0,2924.333333
26,240327_SEFL21H_trauma_26_27 Box 1.wmv,trauma,shock,shock_1,0,3703.6
28,240327_SEFL21H_trauma_28 Box 1.wmv,trauma,shock,shock_1,0,2395.233333
1,240327_SEFL21H_trauma_01_02 Box 1.wmv,trauma,shock,shock_1,0,2796.966667
2,240327_SEFL21H_trauma_01_02 Box 2.wmv,trauma,shock,shock_1,0,3085.733333
3,240327_SEFL21H_trauma_03_04 Box 1.wmv,trauma,shock,shock_1,0,2712.233333
4,240327_SEFL21H_trauma_03_04 Box 2.wmv,trauma,shock,shock_1,0,1768.833333
5,240327_SEFL21H_trauma_05_06 Box 1.wmv,trauma,shock,shock_1,0,3334.1
6,240327_SEFL21H_trauma_05_06 Box 2.wmv,trauma,shock,shock_1,0,2660.6
7,240327_SEFL21H_trauma_07_08 Box 1.wmv,trauma,shock,shock_1,0,3359.466667
8,240327_SEFL21H_trauma_07_08 Box 2.wmv,trauma,shock,shock_1,0,2543.966667
9,240327_SEFL21H_trauma_09_10 Box 1.wmv,trauma,shock,shock_1,0,3532.733333
10,240327_SEFL21H_trauma_09_10 Box 2.wmv,trauma,shock,shock_1,0,2757.833333
11,240327_SEFL21H_trauma_11_12 Box 1.wmv,trauma,shock,shock_1,0,2754.333333
12,240327_SEFL21H_trauma_11_12 Box 2.wmv,trauma,shock,shock_1,0,2792.1
13,240327_SEFL21H_trauma_13_14 Box 1.wmv,trauma,shock,shock_1,0,3226.1
14,240327_SEFL21H_trauma_13_14 Box 2.wmv,trauma,shock,shock_1,0,1996.5
15,240327_SEFL21H_trauma_15_16 Box 1.wmv,trauma,shock,shock_1,0,2499.533333
16,240327_SEFL21H_trauma_15_16 Box 2.wmv,trauma,shock,shock_1,0,2835.933333
17,240327_SEFL21H_trauma_17_18 Box 1.wmv,trauma,shock,shock_1,0,2467.133333
18,240327_SEFL21H_trauma_17_18 Box 2.wmv,trauma,shock,shock_1,0,2437.566667
20,240327_SEFL21H_trauma_19_20 Box 2.wmv,trauma,shock,shock_1,0,2814.266667
22,240327_SEFL21H_trauma_21_22 Box 2.wmv,trauma,shock,shock_1,0,3238.966667
25,240327_SEFL21H_trauma_24_25 Box 2.wmv,trauma,shock,shock_1,0,2710
27,240327_SEFL21H_trauma_26_27 Box 2.wmv,trauma,shock,shock_1,0,2680.5
19,240327_SEFL21H_trauma_19_20 Box 1.wmv,trauma,shock,shock_10,0,2222.266667
21,240327_SEFL21H_trauma_21_22 Box 1.wmv,trauma,shock,shock_10,0,2737.366667
24,240327_SEFL21H_trauma_24_25 Box 1.wmv,trauma,shock,shock_10,16.66666667,1998.733333
26,240327_SEFL21H_trauma_26_27 Box 1.wmv,trauma,shock,shock_10,16.66666667,2154.966667
28,240327_SEFL21H_trauma_28 Box 1.wmv,trauma,shock,shock_10,0,2775.6
1,240327_SEFL21H_trauma_01_02 Box 1.wmv,trauma,shock,shock_10,6.666666667,1759.066667
2,240327_SEFL21H_trauma_01_02 Box 2.wmv,trauma,shock,shock_10,0,3276.266667
3,240327_SEFL21H_trauma_03_04 Box 1.wmv,trauma,shock,shock_10,3.333333333,1942.966667
4,240327_SEFL21H_trauma_03_04 Box 2.wmv,trauma,shock,shock_10,10,1958.2
5,240327_SEFL21H_trauma_05_06 Box 1.wmv,trauma,shock,shock_10,0,2265.733333
6,240327_SEFL21H_trauma_05_06 Box 2.wmv,trauma,shock,shock_10,6.666666667,2619.633333
7,240327_SEFL21H_trauma_07_08 Box 1.wmv,trauma,shock,shock_10,6.666666667,2561
8,240327_SEFL21H_trauma_07_08 Box 2.wmv,trauma,shock,shock_10,3.333333333,2729.2
9,240327_SEFL21H_trauma_09_10 Box 1.wmv,trauma,shock,shock_10,0,2940.533333
10,240327_SEFL21H_trauma_09_10 Box 2.wmv,trauma,shock,shock_10,3.333333333,2094.1
11,240327_SEFL21H_trauma_11_12 Box 1.wmv,trauma,shock,shock_10,0,2689.6
12,240327_SEFL21H_trauma_11_12 Box 2.wmv,trauma,shock,shock_10,6.666666667,2649.133333
13,240327_SEFL21H_trauma_13_14 Box 1.wmv,trauma,shock,shock_10,6.666666667,2877.2
14,240327_SEFL21H_trauma_13_14 Box 2.wmv,trauma,shock,shock_10,0,2923.6
15,240327_SEFL21H_trauma_15_16 Box 1.wmv,trauma,shock,shock_10,0,2911
16,240327_SEFL21H_trauma_15_16 Box 2.wmv,trauma,shock,shock_10,0,1828.533333
17,240327_SEFL21H_trauma_17_18 Box 1.wmv,trauma,shock,shock_10,0,2904
18,240327_SEFL21H_trauma_17_18 Box 2.wmv,trauma,shock,shock_10,10,3138.166667
20,240327_SEFL21H_trauma_19_20 Box 2.wmv,trauma,shock,shock_10,6.666666667,2121.033333
22,240327_SEFL21H_trauma_21_22 Box 2.wmv,trauma,shock,shock_10,0,2401.666667
25,240327_SEFL21H_trauma_24_25 Box 2.wmv,trauma,shock,shock_10,0,2598.7
27,240327_SEFL21H_trauma_26_27 Box 2.wmv,trauma,shock,shock_10,0,2281.4
19,240327_SEFL21H_trauma_19_20 Box 1.wmv,trauma,shock,shock_2,0,3505.2
21,240327_SEFL21H_trauma_21_22 Box 1.wmv,trauma,shock,shock_2,0,2439
24,240327_SEFL21H_trauma_24_25 Box 1.wmv,trauma,shock,shock_2,0,2558.8
26,240327_SEFL21H_trauma_26_27 Box 1.wmv,trauma,shock,shock_2,0,2945.733333
28,240327_SEFL21H_trauma_28 Box 1.wmv,trauma,shock,shock_2,0,2215.133333
1,240327_SEFL21H_trauma_01_02 Box 1.wmv,trauma,shock,shock_2,0,2955.566667
2,240327_SEFL21H_trauma_01_02 Box 2.wmv,trauma,shock,shock_2,0,3162.233333
3,240327_SEFL21H_trauma_03_04 Box 1.wmv,trauma,shock,shock_2,0,3156.2
4,240327_SEFL21H_trauma_03_04 Box 2.wmv,trauma,shock,shock_2,0,2376.3
5,240327_SEFL21H_trauma_05_06 Box 1.wmv,trauma,shock,shock_2,0,3312.233333
6,240327_SEFL21H_trauma_05_06 Box 2.wmv,trauma,shock,shock_2,0,1884.166667
7,240327_SEFL21H_trauma_07_08 Box 1.wmv,trauma,shock,shock_2,0,3834.1
8,240327_SEFL21H_trauma_07_08 Box 2.wmv,trauma,shock,shock_2,0,2375.966667
9,240327_SEFL21H_trauma_09_10 Box 1.wmv,trauma,shock,shock_2,0,2473.033333
10,240327_SEFL21H_trauma_09_10 Box 2.wmv,trauma,shock,shock_2,0,2724.633333
11,240327_SEFL21H_trauma_11_12 Box 1.wmv,trauma,shock,shock_2,0,1932.366667
12,240327_SEFL21H_trauma_11_12 Box 2.wmv,trauma,shock,shock_2,0,2861.333333
13,240327_SEFL21H_trauma_13_14 Box 1.wmv,trauma,shock,shock_2,0,3214.166667
14,240327_SEFL21H_trauma_13_14 Box 2.wmv,trauma,shock,shock_2,0,2732.766667
15,240327_SEFL21H_trauma_15_16 Box 1.wmv,trauma,shock,shock_2,0,2778.766667
16,240327_SEFL21H_trauma_15_16 Box 2.wmv,trauma,shock,shock_2,0,3263
17,240327_SEFL21H_trauma_17_18 Box 1.wmv,trauma,shock,shock_2,0,2219.9
18,240327_SEFL21H_trauma_17_18 Box 2.wmv,trauma,shock,shock_2,0,2389.133333
20,240327_SEFL21H_trauma_19_20 Box 2.wmv,trauma,shock,shock_2,0,2412.266667
22,240327_SEFL21H_trauma_21_22 Box 2.wmv,trauma,shock,shock_2,0,3252.833333
25,240327_SEFL21H_trauma_24_25 Box 2.wmv,trauma,shock,shock_2,0,2745.466667
27,240327_SEFL21H_trauma_26_27 Box 2.wmv,trauma,shock,shock_2,0,2494.766667
19,240327_SEFL21H_trauma_19_20 Box 1.wmv,trauma,shock,shock_3,0,2596.3
21,240327_SEFL21H_trauma_21_22 Box 1.wmv,trauma,shock,shock_3,0,2422.5
24,240327_SEFL21H_trauma_24_25 Box 1.wmv,trauma,shock,shock_3,0,2949.666667
26,240327_SEFL21H_trauma_26_27 Box 1.wmv,trauma,shock,shock_3,10,3048.3
28,240327_SEFL21H_trauma_28 Box 1.wmv,trauma,shock,shock_3,0,1834
1,240327_SEFL21H_trauma_01_02 Box 1.wmv,trauma,shock,shock_3,6.666666667,2223.433333
2,240327_SEFL21H_trauma_01_02 Box 2.wmv,trauma,shock,shock_3,0,3139.833333
3,240327_SEFL21H_trauma_03_04 Box 1.wmv,trauma,shock,shock_3,0,2782.866667
4,240327_SEFL21H_trauma_03_04 Box 2.wmv,trauma,shock,shock_3,6.666666667,2900.933333
5,240327_SEFL21H_trauma_05_06 Box 1.wmv,trauma,shock,shock_3,0,2865.8
6,240327_SEFL21H_trauma_05_06 Box 2.wmv,trauma,shock,shock_3,0,2525.9
7,240327_SEFL21H_trauma_07_08 Box 1.wmv,trauma,shock,shock_3,0,2692.533333
8,240327_SEFL21H_trauma_07_08 Box 2.wmv,trauma,shock,shock_3,0,2906.5
9,240327_SEFL21H_trauma_09_10 Box 1.wmv,trauma,shock,shock_3,0,3281.133333
10,240327_SEFL21H_trauma_09_10 Box 2.wmv,trauma,shock,shock_3,0,3256.433333
11,240327_SEFL21H_trauma_11_12 Box 1.wmv,trauma,shock,shock_3,0,2081.466667
12,240327_SEFL21H_trauma_11_12 Box 2.wmv,trauma,shock,shock_3,0,2602.966667
13,240327_SEFL21H_trauma_13_14 Box 1.wmv,trauma,shock,shock_3,6.666666667,2487.433333
14,240327_SEFL21H_trauma_13_14 Box 2.wmv,trauma,shock,shock_3,0,3523.1
15,240327_SEFL21H_trauma_15_16 Box 1.wmv,trauma,shock,shock_3,16.66666667,2182.5
16,240327_SEFL21H_trauma_15_16 Box 2.wmv,trauma,shock,shock_3,0,3038.166667
17,240327_SEFL21H_trauma_17_18 Box 1.wmv,trauma,shock,shock_3,0,2144.4
18,240327_SEFL21H_trauma_17_18 Box 2.wmv,trauma,shock,shock_3,0,3038.1
20,240327_SEFL21H_trauma_19_20 Box 2.wmv,trauma,shock,shock_3,0,2441.466667
22,240327_SEFL21H_trauma_21_22 Box 2.wmv,trauma,shock,shock_3,0,2832.366667
25,240327_SEFL21H_trauma_24_25 Box 2.wmv,trauma,shock,shock_3,6.666666667,2471.966667
27,240327_SEFL21H_trauma_26_27 Box 2.wmv,trauma,shock,shock_3,3.333333333,3010.6
19,240327_SEFL21H_trauma_19_20 Box 1.wmv,trauma,shock,shock_4,0,2625.866667
21,240327_SEFL21H_trauma_21_22 Box 1.wmv,trauma,shock,shock_4,0,2593.2
24,240327_SEFL21H_trauma_24_25 Box 1.wmv,trauma,shock,shock_4,0,3118.366667
26,240327_SEFL21H_trauma_26_27 Box 1.wmv,trauma,shock,shock_4,0,2387
28,240327_SEFL21H_trauma_28 Box 1.wmv,trauma,shock,shock_4,0,2188.866667
1,240327_SEFL21H_trauma_01_02 Box 1.wmv,trauma,shock,shock_4,6.666666667,2698.4
2,240327_SEFL21H_trauma_01_02 Box 2.wmv,trauma,shock,shock_4,0,2564.833333
3,240327_SEFL21H_trauma_03_04 Box 1.wmv,trauma,shock,shock_4,0,2087.766667
4,240327_SEFL21H_trauma_03_04 Box 2.wmv,trauma,shock,shock_4,6.666666667,2253.8
5,240327_SEFL21H_trauma_05_06 Box 1.wmv,trauma,shock,shock_4,0,2751.066667
6,240327_SEFL21H_trauma_05_06 Box 2.wmv,trauma,shock,shock_4,0,1937.266667
7,240327_SEFL21H_trauma_07_08 Box 1.wmv,trauma,shock,shock_4,3.333333333,2353.933333
8,240327_SEFL21H_trauma_07_08 Box 2.wmv,trauma,shock,shock_4,0,2474.866667
9,240327_SEFL21H_trauma_09_10 Box 1.wmv,trauma,shock,shock_4,10,2401.833333
10,240327_SEFL21H_trauma_09_10 Box 2.wmv,trauma,shock,shock_4,0,1494.566667
11,240327_SEFL21H_trauma_11_12 Box 1.wmv,trauma,shock,shock_4,0,2876.866667
12,240327_SEFL21H_trauma_11_12 Box 2.wmv,trauma,shock,shock_4,3.333333333,2901.266667
13,240327_SEFL21H_trauma_13_14 Box 1.wmv,trauma,shock,shock_4,0,3177.2
14,240327_SEFL21H_trauma_13_14 Box 2.wmv,trauma,shock,shock_4,6.666666667,2236.633333
15,240327_SEFL21H_trauma_15_16 Box 1.wmv,trauma,shock,shock_4,0,2298.933333
16,240327_SEFL21H_trauma_15_16 Box 2.wmv,trauma,shock,shock_4,0,2913.233333
17,240327_SEFL21H_trauma_17_18 Box 1.wmv,trauma,shock,shock_4,0,2140.133333
18,240327_SEFL21H_trauma_17_18 Box 2.wmv,trauma,shock,shock_4,0,2761.233333
20,240327_SEFL21H_trauma_19_20 Box 2.wmv,trauma,shock,shock_4,0,2850.366667
22,240327_SEFL21H_trauma_21_22 Box 2.wmv,trauma,shock,shock_4,3.333333333,4135.533333
25,240327_SEFL21H_trauma_24_25 Box 2.wmv,trauma,shock,shock_4,6.666666667,2634.866667
27,240327_SEFL21H_trauma_26_27 Box 2.wmv,trauma,shock,shock_4,10,3058.933333
19,240327_SEFL21H_trauma_19_20 Box 1.wmv,trauma,shock,shock_5,0,2388.7
21,240327_SEFL21H_trauma_21_22 Box 1.wmv,trauma,shock,shock_5,0,2781.433333
24,240327_SEFL21H_trauma_24_25 Box 1.wmv,trauma,shock,shock_5,0,2622.333333
26,240327_SEFL21H_trauma_26_27 Box 1.wmv,trauma,shock,shock_5,3.333333333,2704.766667
28,240327_SEFL21H_trauma_28 Box 1.wmv,trauma,shock,shock_5,0,1797.633333
1,240327_SEFL21H_trauma_01_02 Box 1.wmv,trauma,shock,shock_5,3.333333333,2623.566667
2,240327_SEFL21H_trauma_01_02 Box 2.wmv,trauma,shock,shock_5,0,2933.866667
3,240327_SEFL21H_trauma_03_04 Box 1.wmv,trauma,shock,shock_5,10,2892.8
4,240327_SEFL21H_trauma_03_04 Box 2.wmv,trauma,shock,shock_5,6.666666667,2450.133333
5,240327_SEFL21H_trauma_05_06 Box 1.wmv,trauma,shock,shock_5,0,2934.2
6,240327_SEFL21H_trauma_05_06 Box 2.wmv,trauma,shock,shock_5,13.33333333,2682.133333
7,240327_SEFL21H_trauma_07_08 Box 1.wmv,trauma,shock,shock_5,0,2416.3
8,240327_SEFL21H_trauma_07_08 Box 2.wmv,trauma,shock,shock_5,0,2659.833333
9,240327_SEFL21H_trauma_09_10 Box 1.wmv,trauma,shock,shock_5,0,2515
10,240327_SEFL21H_trauma_09_10 Box 2.wmv,trauma,shock,shock_5,10,2283.566667
11,240327_SEFL21H_trauma_11_12 Box 1.wmv,trauma,shock,shock_5,0,2011.933333
12,240327_SEFL21H_trauma_11_12 Box 2.wmv,trauma,shock,shock_5,3.333333333,2295.766667
13,240327_SEFL21H_trauma_13_14 Box 1.wmv,trauma,shock,shock_5,0,2728.266667
14,240327_SEFL21H_trauma_13_14 Box 2.wmv,trauma,shock,shock_5,0,2467.333333
15,240327_SEFL21H_trauma_15_16 Box 1.wmv,trauma,shock,shock_5,0,2391.866667
16,240327_SEFL21H_trauma_15_16 Box 2.wmv,trauma,shock,shock_5,0,2651.3
17,240327_SEFL21H_trauma_17_18 Box 1.wmv,trauma,shock,shock_5,0,2793.333333
18,240327_SEFL21H_trauma_17_18 Box 2.wmv,trauma,shock,shock_5,3.333333333,3516.566667
20,240327_SEFL21H_trauma_19_20 Box 2.wmv,trauma,shock,shock_5,0,2928.3
22,240327_SEFL21H_trauma_21_22 Box 2.wmv,trauma,shock,shock_5,0,3504.4
25,240327_SEFL21H_trauma_24_25 Box 2.wmv,trauma,shock,shock_5,3.333333333,2956
27,240327_SEFL21H_trauma_26_27 Box 2.wmv,trauma,shock,shock_5,0,2837.133333
19,240327_SEFL21H_trauma_19_20 Box 1.wmv,trauma,shock,shock_6,0,2835.8
21,240327_SEFL21H_trauma_21_22 Box 1.wmv,trauma,shock,shock_6,3.333333333,2761.233333
24,240327_SEFL21H_trauma_24_25 Box 1.wmv,trauma,shock,shock_6,0,2557.466667
26,240327_SEFL21H_trauma_26_27 Box 1.wmv,trauma,shock,shock_6,10,2186
28,240327_SEFL21H_trauma_28 Box 1.wmv,trauma,shock,shock_6,6.666666667,2766.6
1,240327_SEFL21H_trauma_01_02 Box 1.wmv,trauma,shock,shock_6,3.333333333,3500.166667
2,240327_SEFL21H_trauma_01_02 Box 2.wmv,trauma,shock,shock_6,0,2268.2
3,240327_SEFL21H_trauma_03_04 Box 1.wmv,trauma,shock,shock_6,0,2980.033333
4,240327_SEFL21H_trauma_03_04 Box 2.wmv,trauma,shock,shock_6,6.666666667,2846.533333
5,240327_SEFL21H_trauma_05_06 Box 1.wmv,trauma,shock,shock_6,0,1994.633333
6,240327_SEFL21H_trauma_05_06 Box 2.wmv,trauma,shock,shock_6,13.33333333,1724.366667
7,240327_SEFL21H_trauma_07_08 Box 1.wmv,trauma,shock,shock_6,3.333333333,3314.366667
8,240327_SEFL21H_trauma_07_08 Box 2.wmv,trauma,shock,shock_6,0,3021.8
9,240327_SEFL21H_trauma_09_10 Box 1.wmv,trauma,shock,shock_6,0,2726.3
10,240327_SEFL21H_trauma_09_10 Box 2.wmv,trauma,shock,shock_6,6.666666667,2265.733333
11,240327_SEFL21H_trauma_11_12 Box 1.wmv,trauma,shock,shock_6,0,2461.133333
12,240327_SEFL21H_trauma_11_12 Box 2.wmv,trauma,shock,shock_6,0,2452.1
13,240327_SEFL21H_trauma_13_14 Box 1.wmv,trauma,shock,shock_6,16.66666667,2061.466667
14,240327_SEFL21H_trauma_13_14 Box 2.wmv,trauma,shock,shock_6,0,3211.166667
15,240327_SEFL21H_trauma_15_16 Box 1.wmv,trauma,shock,shock_6,13.33333333,2636.833333
16,240327_SEFL21H_trauma_15_16 Box 2.wmv,trauma,shock,shock_6,0,2447.766667
17,240327_SEFL21H_trauma_17_18 Box 1.wmv,trauma,shock,shock_6,0,1817.733333
18,240327_SEFL21H_trauma_17_18 Box 2.wmv,trauma,shock,shock_6,3.333333333,3955.566667
20,240327_SEFL21H_trauma_19_20 Box 2.wmv,trauma,shock,shock_6,13.33333333,2924.6
22,240327_SEFL21H_trauma_21_22 Box 2.wmv,trauma,shock,shock_6,0,3507.633333
25,240327_SEFL21H_trauma_24_25 Box 2.wmv,trauma,shock,shock_6,0,3928.566667
27,240327_SEFL21H_trauma_26_27 Box 2.wmv,trauma,shock,shock_6,6.666666667,3224.5
19,240327_SEFL21H_trauma_19_20 Box 1.wmv,trauma,shock,shock_7,6.666666667,1481.266667
21,240327_SEFL21H_trauma_21_22 Box 1.wmv,trauma,shock,shock_7,0,2399.433333
24,240327_SEFL21H_trauma_24_25 Box 1.wmv,trauma,shock,shock_7,6.666666667,2805.966667
26,240327_SEFL21H_trauma_26_27 Box 1.wmv,trauma,shock,shock_7,0,2999.066667
28,240327_SEFL21H_trauma_28 Box 1.wmv,trauma,shock,shock_7,10,1923.933333
1,240327_SEFL21H_trauma_01_02 Box 1.wmv,trauma,shock,shock_7,6.666666667,3101.833333
2,240327_SEFL21H_trauma_01_02 Box 2.wmv,trauma,shock,shock_7,0,3117.366667
3,240327_SEFL21H_trauma_03_04 Box 1.wmv,trauma,shock,shock_7,6.666666667,2314.933333
4,240327_SEFL21H_trauma_03_04 Box 2.wmv,trauma,shock,shock_7,0,2750.9
5,240327_SEFL21H_trauma_05_06 Box 1.wmv,trauma,shock,shock_7,0,3193
6,240327_SEFL21H_trauma_05_06 Box 2.wmv,trauma,shock,shock_7,0,2665.9
7,240327_SEFL21H_trauma_07_08 Box 1.wmv,trauma,shock,shock_7,3.333333333,3218.7
8,240327_SEFL21H_trauma_07_08 Box 2.wmv,trauma,shock,shock_7,0,3025.666667
9,240327_SEFL21H_trauma_09_10 Box 1.wmv,trauma,shock,shock_7,13.33333333,2878.566667
10,240327_SEFL21H_trauma_09_10 Box 2.wmv,trauma,shock,shock_7,10,1580.566667
11,240327_SEFL21H_trauma_11_12 Box 1.wmv,trauma,shock,shock_7,6.666666667,2348.933333
12,240327_SEFL21H_trauma_11_12 Box 2.wmv,trauma,shock,shock_7,0,1759.266667
13,240327_SEFL21H_trauma_13_14 Box 1.wmv,trauma,shock,shock_7,0,3230.433333
14,240327_SEFL21H_trauma_13_14 Box 2.wmv,trauma,shock,shock_7,0,2387.3
15,240327_SEFL21H_trauma_15_16 Box 1.wmv,trauma,shock,shock_7,6.666666667,3266.166667
16,240327_SEFL21H_trauma_15_16 Box 2.wmv,trauma,shock,shock_7,0,2501.266667
17,240327_SEFL21H_trauma_17_18 Box 1.wmv,trauma,shock,shock_7,0,2148.7
18,240327_SEFL21H_trauma_17_18 Box 2.wmv,trauma,shock,shock_7,0,3943.233333
20,240327_SEFL21H_trauma_19_20 Box 2.wmv,trauma,shock,shock_7,6.666666667,2358.133333
22,240327_SEFL21H_trauma_21_22 Box 2.wmv,trauma,shock,shock_7,0,2703.2
25,240327_SEFL21H_trauma_24_25 Box 2.wmv,trauma,shock,shock_7,0,2584.8
27,240327_SEFL21H_trauma_26_27 Box 2.wmv,trauma,shock,shock_7,0,2516.333333
19,240327_SEFL21H_trauma_19_20 Box 1.wmv,trauma,shock,shock_8,0,2433.8
21,240327_SEFL21H_trauma_21_22 Box 1.wmv,trauma,shock,shock_8,0,2392.533333
