Animal,file,phase,subphase,Box,component,freezing,motion
19,200718_SEFL17_trauma_g5,trauma,postshock,3,postshock02,3.56,151.04
19,200718_SEFL17_trauma_g5,trauma,postshock,3,postshock03,7,92.35
19,200718_SEFL17_trauma_g5,trauma,postshock,3,postshock04,50.11,48.36
19,200718_SEFL17_trauma_g5,trauma,postshock,3,postshock05,24.56,111.29
19,200718_SEFL17_trauma_g5,trauma,postshock,3,postshock06,37.89,23.31
19,200718_SEFL17_trauma_g5,trauma,postshock,3,postshock07,24.89,98.3
19,200718_SEFL17_trauma_g5,trauma,postshock,3,postshock08,50.33,52.12
19,200718_SEFL17_trauma_g5,trauma,postshock,3,postshock09,90.44,2.98
19,200718_SEFL17_trauma_g5,trauma,postshock,3,postshock10,35.56,72.74
20,200718_SEFL17_trauma_g5,trauma,baseline,4,baseline,0,236.58
20,200718_SEFL17_trauma_g5,trauma,shock,4,shock01,0,350.07
20,200718_SEFL17_trauma_g5,trauma,shock,4,shock02,0,42.47
20,200718_SEFL17_trauma_g5,trauma,shock,4,shock03,0,200.6
20,200718_SEFL17_trauma_g5,trauma,shock,4,shock04,0,305.87
20,200718_SEFL17_trauma_g5,trauma,shock,4,shock05,0,38.4
20,200718_SEFL17_trauma_g5,trauma,shock,4,shock06,0,640.3
20,200718_SEFL17_trauma_g5,trauma,shock,4,shock07,0,358.17
20,200718_SEFL17_trauma_g5,trauma,shock,4,shock08,0,349.73
20,200718_SEFL17_trauma_g5,trauma,shock,4,shock09,0,139.4
20,200718_SEFL17_trauma_g5,trauma,shock,4,shock10,0,23.03
20,200718_SEFL17_trauma_g5,trauma,postshock,4,postshock01,0,149.91
20,200718_SEFL17_trauma_g5,trauma,postshock,4,postshock02,0,199.11
20,200718_SEFL17_trauma_g5,trauma,postshock,4,postshock03,0,235.65
20,200718_SEFL17_trauma_g5,trauma,postshock,4,postshock04,0,259.27
20,200718_SEFL17_trauma_g5,trauma,postshock,4,postshock05,0,281.12
20,200718_SEFL17_trauma_g5,trauma,postshock,4,postshock06,0,157.2
20,200718_SEFL17_trauma_g5,trauma,postshock,4,postshock07,0,195.31
20,200718_SEFL17_trauma_g5,trauma,postshock,4,postshock08,0,246.03
20,200718_SEFL17_trauma_g5,trauma,postshock,4,postshock09,0,222.67
20,200718_SEFL17_trauma_g5,trauma,postshock,4,postshock10,8.78,220.53
21,200719_SEFL17_trauma_g6,trauma,baseline,1,baseline,0.34,185.57
21,200719_SEFL17_trauma_g6,trauma,shock,1,shock01,0,92.17
21,200719_SEFL17_trauma_g6,trauma,shock,1,shock02,0,106.8
21,200719_SEFL17_trauma_g6,trauma,shock,1,shock03,0,68.73
21,200719_SEFL17_trauma_g6,trauma,shock,1,shock04,0,174.93
21,200719_SEFL17_trauma_g6,trauma,shock,1,shock05,0,184.33
21,200719_SEFL17_trauma_g6,trauma,shock,1,shock06,0,323.47
21,200719_SEFL17_trauma_g6,trauma,shock,1,shock07,0,63.13
21,200719_SEFL17_trauma_g6,trauma,shock,1,shock08,0,314.67
21,200719_SEFL17_trauma_g6,trauma,shock,1,shock09,0,35.1
21,200719_SEFL17_trauma_g6,trauma,shock,1,shock10,0,286.47
21,200719_SEFL17_trauma_g6,trauma,postshock,1,postshock01,0,214.72
21,200719_SEFL17_trauma_g6,trauma,postshock,1,postshock02,8.89,117.77
21,200719_SEFL17_trauma_g6,trauma,postshock,1,postshock03,0,90.16
21,200719_SEFL17_trauma_g6,trauma,postshock,1,postshock04,0,141.93
21,200719_SEFL17_trauma_g6,trauma,postshock,1,postshock05,0,242.24
21,200719_SEFL17_trauma_g6,trauma,postshock,1,postshock06,0,153.05
21,200719_SEFL17_trauma_g6,trauma,postshock,1,postshock07,0,167.64
21,200719_SEFL17_trauma_g6,trauma,postshock,1,postshock08,0,202.32
21,200719_SEFL17_trauma_g6,trauma,postshock,1,postshock09,4.44,143.74
21,200719_SEFL17_trauma_g6,trauma,postshock,1,postshock10,0,201.65
22,200719_SEFL17_trauma_g6,trauma,baseline,2,baseline,0,200.23
22,200719_SEFL17_trauma_g6,trauma,shock,2,shock01,0,1468.7
22,200719_SEFL17_trauma_g6,trauma,shock,2,shock02,0,457
22,200719_SEFL17_trauma_g6,trauma,shock,2,shock03,0,916.2
22,200719_SEFL17_trauma_g6,trauma,shock,2,shock04,0,1625.27
22,200719_SEFL17_trauma_g6,trauma,shock,2,shock05,0,1103.4
22,200719_SEFL17_trauma_g6,trauma,shock,2,shock06,0,881
22,200719_SEFL17_trauma_g6,trauma,shock,2,shock07,0,555.03
22,200719_SEFL17_trauma_g6,trauma,shock,2,shock08,0,1185.5
22,200719_SEFL17_trauma_g6,trauma,shock,2,shock09,0,1129.8
22,200719_SEFL17_trauma_g6,trauma,shock,2,shock10,0,1009.57
22,200719_SEFL17_trauma_g6,trauma,postshock,2,postshock01,69,17.81
22,200719_SEFL17_trauma_g6,trauma,postshock,2,postshock02,24.89,83.77
22,200719_SEFL17_trauma_g6,trauma,postshock,2,postshock03,46.67,69.97
22,200719_SEFL17_trauma_g6,trauma,postshock,2,postshock04,56.89,29.74
22,200719_SEFL17_trauma_g6,trauma,postshock,2,postshock05,34.89,40.97
22,200719_SEFL17_trauma_g6,trauma,postshock,2,postshock06,33.89,47.03
22,200719_SEFL17_trauma_g6,trauma,postshock,2,postshock07,44,68.99
22,200719_SEFL17_trauma_g6,trauma,postshock,2,postshock08,0,131.02
22,200719_SEFL17_trauma_g6,trauma,postshock,2,postshock09,46.78,23.03
22,200719_SEFL17_trauma_g6,trauma,postshock,2,postshock10,28.89,26.86
23,200719_SEFL17_trauma_g6,trauma,baseline,3,baseline,0.39,230.31
23,200719_SEFL17_trauma_g6,trauma,shock,3,shock01,0,288.87
23,200719_SEFL17_trauma_g6,trauma,shock,3,shock02,0,176.33
23,200719_SEFL17_trauma_g6,trauma,shock,3,shock03,0,109.5
23,200719_SEFL17_trauma_g6,trauma,shock,3,shock04,0,42.33
23,200719_SEFL17_trauma_g6,trauma,shock,3,shock05,0,301.07
23,200719_SEFL17_trauma_g6,trauma,shock,3,shock06,100,0.17
23,200719_SEFL17_trauma_g6,trauma,shock,3,shock07,0,160.27
23,200719_SEFL17_trauma_g6,trauma,shock,3,shock08,0,24.33
23,200719_SEFL17_trauma_g6,trauma,shock,3,shock09,0,95.23
23,200719_SEFL17_trauma_g6,trauma,shock,3,shock10,100,0
23,200719_SEFL17_trauma_g6,trauma,postshock,3,postshock01,0,279.06
23,200719_SEFL17_trauma_g6,trauma,postshock,3,postshock02,0,192.03
23,200719_SEFL17_trauma_g6,trauma,postshock,3,postshock03,0,193.35
23,200719_SEFL17_trauma_g6,trauma,postshock,3,postshock04,0,318.61
23,200719_SEFL17_trauma_g6,trauma,postshock,3,postshock05,15.89,112.97
23,200719_SEFL17_trauma_g6,trauma,postshock,3,postshock06,10.22,74.87
23,200719_SEFL17_trauma_g6,trauma,postshock,3,postshock07,27.67,65.32
23,200719_SEFL17_trauma_g6,trauma,postshock,3,postshock08,0,114.46
23,200719_SEFL17_trauma_g6,trauma,postshock,3,postshock09,0,213.84
23,200719_SEFL17_trauma_g6,trauma,postshock,3,postshock10,64.44,13.09
24,200719_SEFL17_trauma_g6,trauma,baseline,4,baseline,0,202.91
24,200719_SEFL17_trauma_g6,trauma,shock,4,shock01,0,1048.8
24,200719_SEFL17_trauma_g6,trauma,shock,4,shock02,0,969.67
24,200719_SEFL17_trauma_g6,trauma,shock,4,shock03,0,878.13
24,200719_SEFL17_trauma_g6,trauma,shock,4,shock04,0,1194.7
24,200719_SEFL17_trauma_g6,trauma,shock,4,shock05,0,1009.53
24,200719_SEFL17_trauma_g6,trauma,shock,4,shock06,0,262.17
24,200719_SEFL17_trauma_g6,trauma,shock,4,shock07,0,576.53
24,200719_SEFL17_trauma_g6,trauma,shock,4,shock08,0,387.77
24,200719_SEFL17_trauma_g6,trauma,shock,4,shock09,0,455.33
24,200719_SEFL17_trauma_g6,trauma,shock,4,shock10,0,1370.87
24,200719_SEFL17_trauma_g6,trauma,postshock,4,postshock01,25.56,91.16
24,200719_SEFL17_trauma_g6,trauma,postshock,4,postshock02,55.44,45.48
24,200719_SEFL17_trauma_g6,trauma,postshock,4,postshock03,58.89,22.69
24,200719_SEFL17_trauma_g6,trauma,postshock,4,postshock04,41.89,52.12
24,200719_SEFL17_trauma_g6,trauma,postshock,4,postshock05,34.22,50.8
24,200719_SEFL17_trauma_g6,trauma,postshock,4,postshock06,15.11,70.91
24,200719_SEFL17_trauma_g6,trauma,postshock,4,postshock07,39.33,54.38
24,200719_SEFL17_trauma_g6,trauma,postshock,4,postshock08,81.56,9.22
24,200719_SEFL17_trauma_g6,trauma,postshock,4,postshock09,0,173.71
24,200719_SEFL17_trauma_g6,trauma,postshock,4,postshock10,4.11,95.7
25,200720_SEFL17_trauma_g7,trauma,baseline,1,baseline,0.75,182.23
25,200720_SEFL17_trauma_g7,trauma,shock,1,shock01,0,182.37
25,200720_SEFL17_trauma_g7,trauma,shock,1,shock02,0,27.5
25,200720_SEFL17_trauma_g7,trauma,shock,1,shock03,0,175.3
25,200720_SEFL17_trauma_g7,trauma,shock,1,shock04,0,525.5
25,200720_SEFL17_trauma_g7,trauma,shock,1,shock05,0,262.17
25,200720_SEFL17_trauma_g7,trauma,shock,1,shock06,0,340
25,200720_SEFL17_trauma_g7,trauma,shock,1,shock07,0,124.63
25,200720_SEFL17_trauma_g7,trauma,shock,1,shock08,0,50.87
25,200720_SEFL17_trauma_g7,trauma,shock,1,shock09,0,269.2
25,200720_SEFL17_trauma_g7,trauma,shock,1,shock10,0,121.33
25,200720_SEFL17_trauma_g7,trauma,postshock,1,postshock01,0,155.33
25,200720_SEFL17_trauma_g7,trauma,postshock,1,postshock02,0,192.13
25,200720_SEFL17_trauma_g7,trauma,postshock,1,postshock03,0,157.64
25,200720_SEFL17_trauma_g7,trauma,postshock,1,postshock04,0,164.49
25,200720_SEFL17_trauma_g7,trauma,postshock,1,postshock05,0,249.28
25,200720_SEFL17_trauma_g7,trauma,postshock,1,postshock06,0,176.87
25,200720_SEFL17_trauma_g7,trauma,postshock,1,postshock07,0,244.79
25,200720_SEFL17_trauma_g7,trauma,postshock,1,postshock08,0,242.52
25,200720_SEFL17_trauma_g7,trauma,postshock,1,postshock09,0,207.3
25,200720_SEFL17_trauma_g7,trauma,postshock,1,postshock10,3.89,76.76
26,200720_SEFL17_trauma_g7,trauma,baseline,2,baseline,0,237.12
26,200720_SEFL17_trauma_g7,trauma,shock,2,shock01,0,1406.2
26,200720_SEFL17_trauma_g7,trauma,shock,2,shock02,0,878.47
26,200720_SEFL17_trauma_g7,trauma,shock,2,shock03,0,801.6
26,200720_SEFL17_trauma_g7,trauma,shock,2,shock04,0,673.3
26,200720_SEFL17_trauma_g7,trauma,shock,2,shock05,0,803.37
26,200720_SEFL17_trauma_g7,trauma,shock,2,shock06,0,615.7
26,200720_SEFL17_trauma_g7,trauma,shock,2,shock07,0,773.8
26,200720_SEFL17_trauma_g7,trauma,shock,2,shock08,0,1017.93
26,200720_SEFL17_trauma_g7,trauma,shock,2,shock09,0,855.3
26,200720_SEFL17_trauma_g7,trauma,shock,2,shock10,0,919.83
26,200720_SEFL17_trauma_g7,trauma,postshock,2,postshock01,47.11,37.14
26,200720_SEFL17_trauma_g7,trauma,postshock,2,postshock02,27.22,54.45
26,200720_SEFL17_trauma_g7,trauma,postshock,2,postshock03,4.11,94.24
26,200720_SEFL17_trauma_g7,trauma,postshock,2,postshock04,16.89,83.65
26,200720_SEFL17_trauma_g7,trauma,postshock,2,postshock05,47,92.63
26,200720_SEFL17_trauma_g7,trauma,postshock,2,postshock06,21.56,144.06
26,200720_SEFL17_trauma_g7,trauma,postshock,2,postshock07,12.78,223.79
26,200720_SEFL17_trauma_g7,trauma,postshock,2,postshock08,23,28.57
26,200720_SEFL17_trauma_g7,trauma,postshock,2,postshock09,45.89,72.79
26,200720_SEFL17_trauma_g7,trauma,postshock,2,postshock10,31.67,69.23
27,200720_SEFL17_trauma_g7,trauma,baseline,3,baseline,0.28,284.15
27,200720_SEFL17_trauma_g7,trauma,shock,3,shock01,0,178.43
27,200720_SEFL17_trauma_g7,trauma,shock,3,shock02,0,5.6
27,200720_SEFL17_trauma_g7,trauma,shock,3,shock03,0,161.47
27,200720_SEFL17_trauma_g7,trauma,shock,3,shock04,0,236.7
27,200720_SEFL17_trauma_g7,trauma,shock,3,shock05,0,14.17
27,200720_SEFL17_trauma_g7,trauma,shock,3,shock06,0,91
27,200720_SEFL17_trauma_g7,trauma,shock,3,shock07,0,577.4
27,200720_SEFL17_trauma_g7,trauma,shock,3,shock08,0,222.5
27,200720_SEFL17_trauma_g7,trauma,shock,3,shock09,0,14.03
27,200720_SEFL17_trauma_g7,trauma,shock,3,shock10,0,473.77
27,200720_SEFL17_trauma_g7,trauma,postshock,3,postshock01,0,151
27,200720_SEFL17_trauma_g7,trauma,postshock,3,postshock02,0,271.92
27,200720_SEFL17_trauma_g7,trauma,postshock,3,postshock03,0,153.95
27,200720_SEFL17_trauma_g7,trauma,postshock,3,postshock04,0,72.3
27,200720_SEFL17_trauma_g7,trauma,postshock,3,postshock05,0,248.2
27,200720_SEFL17_trauma_g7,trauma,postshock,3,postshock06,0,150.74
27,200720_SEFL17_trauma_g7,trauma,postshock,3,postshock07,0,158.97
27,200720_SEFL17_trauma_g7,trauma,postshock,3,postshock08,0,204.42
27,200720_SEFL17_trauma_g7,trauma,postshock,3,postshock09,26,42.87
27,200720_SEFL17_trauma_g7,trauma,postshock,3,postshock10,3.78,188.4
28,200720_SEFL17_trauma_g7,trauma,baseline,4,baseline,1.04,212.09
28,200720_SEFL17_trauma_g7,trauma,shock,4,shock01,0,1016.07
28,200720_SEFL17_trauma_g7,trauma,shock,4,shock02,0,979.83
28,200720_SEFL17_trauma_g7,trauma,shock,4,shock03,0,515.07
28,200720_SEFL17_trauma_g7,trauma,shock,4,shock04,0,925.87
28,200720_SEFL17_trauma_g7,trauma,shock,4,shock05,0,600.17
28,200720_SEFL17_trauma_g7,trauma,shock,4,shock06,0,878.07
28,200720_SEFL17_trauma_g7,trauma,shock,4,shock07,0,498.9
28,200720_SEFL17_trauma_g7,trauma,shock,4,shock08,0,556.3
28,200720_SEFL17_trauma_g7,trauma,shock,4,shock09,0,560.8
28,200720_SEFL17_trauma_g7,trauma,shock,4,shock10,0,717.83
28,200720_SEFL17_trauma_g7,trauma,postshock,4,postshock01,13.22,122.31
28,200720_SEFL17_trauma_g7,trauma,postshock,4,postshock02,56,52.86
28,200720_SEFL17_trauma_g7,trauma,postshock,4,postshock03,19.22,102.67
28,200720_SEFL17_trauma_g7,trauma,postshock,4,postshock04,13.44,85.25
28,200720_SEFL17_trauma_g7,trauma,postshock,4,postshock05,55,40.02
28,200720_SEFL17_trauma_g7,trauma,postshock,4,postshock06,66.11,22.94
28,200720_SEFL17_trauma_g7,trauma,postshock,4,postshock07,50.56,43.46
28,200720_SEFL17_trauma_g7,trauma,postshock,4,postshock08,48,43.28
28,200720_SEFL17_trauma_g7,trauma,postshock,4,postshock09,52.78,48.34
28,200720_SEFL17_trauma_g7,trauma,postshock,4,postshock10,33.78,43.06
